uncovered_fraction,system_T_if_material_T_1e_6,area_uncovered_m2
0.01,0.01000099,976404369764.1377
0.001,0.001000999,97640436976.41377
0.0001,0.00010099990000000001,9764043697.641376
1e-05,1.099999e-05,976404369.7641377
