protected_radius_RMoon,screen_diameter_km,area_m2,closed,cant_deg,total_mass_kg,power_mass_fraction,fuel_buffer_fraction,energy_storage_mass_kg,propellant_kg_s,mean_power_W,peak_power_W,power_system_mass_kg,fuel_buffer_mass_kg,Gyr_propellant_kg
2.0,7675.072892710096,46265248477391.65,True,45.0,2896215264414.919,0.17372645493068253,0.027554453884326577,0.0,131950.44633333926,84825286928575.25,150944763180879.97,503149210602.9332,79803629942.4036,4.1640394052089875e+21
3.0,11149.872892710095,97640436976413.77,True,45.0,6112313957060.487,0.17372645493068253,0.027554453884326577,0.0,278474.6578312647,179019422891527.34,318561190555035.1,1061870635183.4504,168421473056.3489,8.78799186197592e+21
4.0,14624.672892710098,167981789525126.12,True,45.0,10515698909607.004,0.17372645493068253,0.027554453884326577,0.0,479091.1717364905,307987181830601.06,548056527805340.6,1826855092684.4688,289754340666.2295,1.5118967561191472e+22
5.0,18099.4728927101,257289306123528.72,True,45.0,16106370122054.469,0.17372645493068253,0.027554453884326577,0.0,733799.9880490167,471728563745796.44,839430774931796.1,2798102583105.9873,443802232772.04535,2.315696650285565e+22
