allowance_kg_s,efficiency_assumption,permitted_incident_power_W,permitted_fraction_of_total_thruster_kinetic_power,Gyr_mass_kg
1.0,0.1,9406392.920455853,7.506282812799623e-08,3.15576e+16
10.0,0.1,94063929.20455854,7.506282812799624e-07,3.15576e+17
100.0,0.1,940639292.0455853,7.506282812799623e-06,3.15576e+18
1000.0,0.1,9406392920.455853,7.506282812799623e-05,3.15576e+19
