cold_surface_area_m2,heat_leak_W_m2,COP,cold_load_W,electrical_W
15791367041.742971,0.01,0.002,157913670.41742972,78956835208.71486
15791367041.742971,0.01,0.01,157913670.41742972,15791367041.742971
15791367041.742971,0.05,0.002,789568352.0871487,394784176043.57434
15791367041.742971,0.05,0.01,789568352.0871487,78956835208.71486
15791367041.742971,0.1,0.002,1579136704.1742973,789568352087.1487
15791367041.742971,0.1,0.01,1579136704.1742973,157913670417.42972
