radius_km,equatorial_vertical_cutoff_GV,required_equatorial_B_T,uniform_field_energy_scale_J,energy_over_1MJ_kg_support_scale_kg
2000.0,1.0,6.671281903963041e-06,593413363228596.5,593413363.2285964
2000.0,5.0,3.3356409519815205e-05,1.4835334080714912e+16,14835334080.714912
2000.0,20.0,0.00013342563807926082,2.373653452914386e+17,237365345291.4386
400000.0,1.0,3.3356409519815205e-08,1.186826726457193e+17,118682672645.7193
400000.0,5.0,1.6678204759907605e-07,2.967066816142983e+18,2967066816142.9834
400000.0,20.0,6.671281903963042e-07,4.747306905828773e+19,47473069058287.734
