solar_wind_pressure_nPa,balance_field_nT,dipole_equatorial_standoff_km,uniform_sphere_field_energy_at_RP_J
2.0,70.89815403622065,12837.647419317971,1186265283117.5452
20.0,224.19964865591714,8746.18737214374,11862652831175.451
100.0,501.3256549262001,6688.423689254621,59313264155877.26
