component,mass_kg,life_years,gross_replacement_kg_s,fresh_at_99percent_recovery_kg_s,fresh_at_99_9percent_recovery_kg_s,Gyr_fresh_at_99_9percent_recovery_kg,rebuild_power_at_100MJ_kg_W,fraction_of_500yr_atmosphere_construction_rate
near_filter,4882021848820.688,20.0,7735.096852771897,77.35096852771898,7.735096852771897,2.441010924410344e+17,773509685277.1897,3.8852902867883775e-05
near_filter,4882021848820.688,100.0,1547.0193705543795,15.470193705543796,1.5470193705543795,4.882021848820689e+16,154701937055.43796,7.770580573576756e-06
near_filter,4882021848820.688,1000.0,154.70193705543795,1.5470193705543795,0.15470193705543794,4882021848820688.0,15470193705.543795,7.770580573576755e-07
all_near_hardware_excluding_fuel,5943892484004.139,20.0,9417.52934951349,94.17529349513491,9.41752934951349,2.971946242002069e+17,941752934951.349,4.7303655020295115e-05
all_near_hardware_excluding_fuel,5943892484004.139,100.0,1883.5058699026981,18.83505869902698,1.883505869902698,5.9438924840041384e+16,188350586990.2698,9.460731004059023e-06
all_near_hardware_excluding_fuel,5943892484004.139,1000.0,188.35058699026982,1.8835058699026983,0.18835058699026982,5943892484004139.0,18835058699.02698,9.460731004059024e-07
lunar_magnets_10x_floor,2143176281526338.0,20.0,3395657.9104975313,33956.57910497532,3395.6579104975312,1.071588140763169e+20,339565791049753.1,0.017056175181807038
lunar_magnets_10x_floor,2143176281526338.0,100.0,679131.5820995063,6791.315820995063,679.1315820995063,2.1431762815263384e+19,67913158209950.625,0.0034112350363614077
lunar_magnets_10x_floor,2143176281526338.0,1000.0,67913.15820995063,679.1315820995063,67.91315820995064,2.1431762815263383e+18,6791315820995.063,0.0003411235036361408
broad_L1_band,4235407641638669.5,20.0,6710598.463822771,67105.9846382277,6710.598463822771,2.1177038208193348e+20,671059846382277.1,0.03370691217742724
broad_L1_band,4235407641638669.5,100.0,1342119.6927645542,13421.196927645542,1342.1196927645542,4.2354076416386695e+19,134211969276455.42,0.006741382435485448
broad_L1_band,4235407641638669.5,1000.0,134211.9692764554,1342.119692764554,134.21196927645542,4.2354076416386693e+18,13421196927645.541,0.0006741382435485447
broad_L1_disk,2.7652622225942376e+16,20.0,43812936.06919154,438129.3606919154,43812.936069191535,1.382631111297119e+21,4381293606919154.0,0.22006961022641752
broad_L1_disk,2.7652622225942376e+16,100.0,8762587.213838307,87625.87213838307,8762.587213838307,2.7652622225942377e+20,876258721383830.8,0.0440139220452835
broad_L1_disk,2.7652622225942376e+16,1000.0,876258.7213838308,8762.587213838307,876.2587213838308,2.765262222594238e+19,87625872138383.08,0.0044013922045283505
