pressure_nPa,minimum_scalar_balance_radius_km,maximum_scalar_balance_radius_km
2.0,12471.36567829958,16526.52170686749
20.0,8173.3035803987195,11516.188599177285
100.0,5851.76568385806,9046.621585655008
