energy_keV,wavelength_nm,silica_attenuation_length_um,T_10um_silica_1um_titania,T_100um_silica_1um_titania
0.05,24.796839679999998,0.03530320613714389,1.509920848466649e-170,0.0
0.1,12.398419839999999,0.0889424489719853,6.12402463616689e-57,0.0
0.2,6.1992099199999995,0.11641671770395766,1.5251303240478359e-40,0.0
0.5,2.479683968,0.8441103650985227,1.850089596922731e-08,9.166949685803584e-55
1,1.239841984,1.4172931950635932,0.00010834818085468819,2.861180760002243e-32
2,0.619920992,2.7247174189520424,0.018173325548713454,8.208727883109151e-17
5,0.2479683968,33.19711438346377,0.6231276624065772,0.041416212203824486
10,0.1239841984,253.81663635133702,0.9357013302796544,0.6563601501846082
20,0.0619920992,2083.168015096442,0.9915646975892896,0.9496379149212492
30,0.04132806613333333,7358.195866995709,0.997541662204231,0.9854147863573833
