protected_radius_R,distance_m,areal_kg_m2,screen_diameter_km,screen_area_m2,mass_kg,replacement_100yr_kg_s,full_absorber_solar_acceleration,thrust_1e4ms2_N,propellant_ve50kms_kg_s
2,60000000.0,0.001,7507.6,44268227446331.695,44268227446.331696,14.027754786907654,0.00453980733564685,4426822.74463317,88.5364548926634
2,60000000.0,0.01,7507.6,44268227446331.695,442682274463.31696,140.27754786907653,0.00045398073356468495,44268227.446331695,885.3645489266339
2,60000000.0,0.1,7507.6,44268227446331.695,4426822744633.17,1402.7754786907653,4.539807335646849e-05,442682274.46331704,8853.64548926634
2,1500000000.0,0.001,20899.6,343056640022011.06,343056640022.01105,108.70808934203204,0.00453980733564685,34305664.0022011,686.1132800440221
2,1500000000.0,0.01,20899.6,343056640022011.06,3430566400220.111,1087.0808934203205,0.00045398073356468495,343056640.0220111,6861.132800440222
2,1500000000.0,0.1,20899.6,343056640022011.06,34305664002201.11,10870.808934203205,4.539807335646849e-05,3430566400.220111,68611.32800440222
3,60000000.0,0.001,10982.4,94729314887158.84,94729314887.15884,30.017908487070894,0.00453980733564685,9472931.488715885,189.4586297743177
3,60000000.0,0.01,10982.4,94729314887158.84,947293148871.5885,300.17908487070895,0.00045398073356468495,94729314.88715886,1894.586297743177
3,60000000.0,0.1,10982.4,94729314887158.84,9472931488715.885,3001.7908487070895,4.539807335646849e-05,947293148.8715885,18945.86297743177
3,1500000000.0,0.001,24374.4,466613983061276.0,466613983061.276,147.8610487049953,0.00453980733564685,46661398.3061276,933.2279661225521
3,1500000000.0,0.01,24374.4,466613983061276.0,4666139830612.76,1478.610487049953,0.00045398073356468495,466613983.061276,9332.27966122552
3,1500000000.0,0.1,24374.4,466613983061276.0,46661398306127.6,14786.104870499532,4.539807335646849e-05,4666139830.612761,93322.79661225522
5,60000000.0,0.001,17932.0,252549981917883.84,252549981917.88385,80.02826004445328,0.00453980733564685,25254998.191788387,505.0999638357677
5,60000000.0,0.01,17932.0,252549981917883.84,2525499819178.8384,800.2826004445327,0.00045398073356468495,252549981.91788384,5050.999638357677
5,60000000.0,0.1,17932.0,252549981917883.84,25254998191788.387,8002.826004445327,4.539807335646849e-05,2525499819.1788387,50509.99638357678
5,1500000000.0,0.001,31324.0,770627161288876.5,770627161288.8765,244.1970115879777,0.00453980733564685,77062716.12888765,1541.254322577753
5,1500000000.0,0.01,31324.0,770627161288876.5,7706271612888.766,2441.970115879777,0.00045398073356468495,770627161.2888767,15412.543225777534
5,1500000000.0,0.1,31324.0,770627161288876.5,77062716128887.66,24419.701158797772,4.539807335646849e-05,7706271612.888766,154125.43225777533
