case_id,height_m,design,exposure,soil,water_mm,reference_height_m,base_diameter_m,root_plate_radius_m,status,maximum_search_speed_m_s,buckling_utilization,stem_threshold_m_s,root_threshold_m_s,crown_threshold_m_s,domain_threshold_m_s,first_threshold_m_s,first_mode,first_threshold_within_displacement_domain,interpretation,stem_threshold_within_domain,root_threshold_within_domain,crown_threshold_within_domain,tree_top_speed_at_first_threshold_m_s
300m-rigid-uniform-reference-30mm,300.0,rigid,uniform,reference,30.0,300.0,8.571428571428571,30.0,CONDITIONAL_STATIC_ENVELOPE,100.0,0.16126148224775452,30.411581938883245,23.54789613430859,75.62856606626657,26.003147918568235,23.54789613430859,root,True,thresholds after first damage retain the original intact geometry,False,True,False,23.54789613430859
300m-reconfiguring-uniform-reference-30mm,300.0,reconfiguring,uniform,reference,30.0,300.0,8.571428571428571,30.0,CONDITIONAL_STATIC_ENVELOPE,100.0,0.16126148224775452,57.695610010055525,40.41758460610499,,48.615115377572664,40.41758460610499,root,True,thresholds after first damage retain the original intact geometry,False,True,False,40.41758460610499
300m-wide_roots-uniform-reference-30mm,300.0,wide_roots,uniform,reference,30.0,300.0,8.571428571428571,45.0,CONDITIONAL_STATIC_ENVELOPE,100.0,0.16126148224775452,30.411581938883245,38.13619713964121,75.62856606626657,26.003147918568235,30.411581938883245,stem,False,thresholds after first damage retain the original intact geometry,False,False,False,30.411581938883245
300m-thick_stem-uniform-reference-30mm,300.0,thick_stem,uniform,reference,30.0,300.0,10.714285714285714,30.0,CONDITIONAL_STATIC_ENVELOPE,100.0,0.09190201563204105,44.131440778171005,23.558489242724484,,42.096408298818424,23.558489242724484,root,True,thresholds after first damage retain the original intact geometry,False,True,False,23.558489242724484
300m-porous_crown-uniform-reference-30mm,300.0,porous_crown,uniform,reference,30.0,300.0,8.571428571428571,30.0,CONDITIONAL_STATIC_ENVELOPE,100.0,0.16126148224775452,41.06567448675503,30.731056421572827,,34.94185405081738,30.731056421572827,root,True,thresholds after first damage retain the original intact geometry,False,True,False,30.731056421572827
300m-small_branches-uniform-reference-30mm,300.0,small_branches,uniform,reference,30.0,300.0,8.571428571428571,30.0,CONDITIONAL_STATIC_ENVELOPE,100.0,0.16126148224775452,30.411581938883245,23.54789613430859,26.10986428718723,26.003147918568235,23.54789613430859,root,True,thresholds after first damage retain the original intact geometry,False,True,False,23.54789613430859
300m-combined-uniform-reference-30mm,300.0,combined,uniform,reference,30.0,300.0,9.857142857142856,45.0,CONDITIONAL_STATIC_ENVELOPE,100.0,0.1128870983266456,71.86312534667347,72.52657490065448,,64.77477798675164,71.86312534667347,stem,False,thresholds after first damage retain the original intact geometry,False,False,False,71.86312534667347
300m-diameter_capped_8m-uniform-reference-30mm,300.0,diameter_capped_8m,uniform,reference,30.0,300.0,8.0,30.0,CONDITIONAL_STATIC_ENVELOPE,100.0,0.1934630960679183,26.84439044642575,23.42969599972086,68.00081162100881,22.19619644212206,23.42969599972086,root,False,thresholds after first damage retain the original intact geometry,False,False,False,23.42969599972086
