cycle_net,cycle_balance_feasible,minimum_capacity,worst_single_cycle_deficit,deficit_duration_days,deficit_start_phase,deficit_end_phase,layout,participating_atmosphere,latitude_deg,cell_min_K,cell_max_K,light_reference_W_m2,hypothetical_trait_assumptions,cold_or_heat_injury_not_modelled
14.526542491096219,True,4.8479654124378495,4.8479654124378495,18.538648166666665,0.375,0.002777777777777778,dry,0.02,-56.44269023807929,244.5080168941899,300.9740776784026,600.0,True,True
-94.81589087948589,False,,118.36283407936187,21.696780708333332,0.26666666666666666,0.001388888888888889,dry,0.02,-9.594068226860466,242.70902729354214,336.9545086641617,600.0,True,True
23.88642839220464,True,1.593924431694436,1.593924431694436,15.954721541666665,0.4666666666666667,0.006944444444444444,dry,0.1,-56.44269023807929,261.18443699393424,282.9943300499373,600.0,True,True
28.20254757126717,True,8.421111343955502,8.421111343955502,17.882412833333333,0.4013888888888889,0.006944444444444444,dry,0.1,-9.594068226860466,268.12029606349716,306.3238318323983,600.0,True,True
25.022632422020948,True,1.3876408402723541,1.3876408402723541,15.749647999999999,0.48194444444444445,0.015277777777777777,dry,1.0,-56.44269023807929,270.778025527847,273.46441473525834,600.0,True,True
38.58972724460921,True,4.082776535517361,4.082776535517361,16.2418245,0.4708333333333333,0.020833333333333332,dry,1.0,-9.594068226860466,284.32828112993315,289.1186120115234,600.0,True,True
24.99122679705151,True,1.3933834659548445,1.3933834659548445,15.708633291666665,0.48194444444444445,0.013888888888888888,concentrated,0.02,-56.44269023807929,269.8220924434785,274.4141089813733,600.0,True,True
38.31490461390589,True,4.160382416442765,4.160382416442765,16.323853916666664,0.4666666666666667,0.019444444444444445,concentrated,0.02,-9.594068226860466,282.6501098754242,290.82686377035867,600.0,True,True
25.00171775388469,True,1.3915372005797657,1.3915372005797657,15.708633291666665,0.48194444444444445,0.013888888888888888,concentrated,0.1,-56.44269023807929,270.0938264747065,274.1448969514783,600.0,True,True
38.40758914047885,True,4.134252799459134,4.134252799459134,16.282839208333332,0.46805555555555556,0.019444444444444445,concentrated,0.1,-9.594068226860466,283.12464642889927,290.3422586686225,600.0,True,True
25.032168233273392,True,1.3861933377427818,1.3861933377427818,15.708633291666665,0.48333333333333334,0.015277777777777777,concentrated,1.0,-56.44269023807929,271.24994894536553,272.9940003728837,600.0,True,True
38.67229283184024,True,4.059659155007665,4.059659155007665,16.2418245,0.4722222222222222,0.022222222222222223,concentrated,1.0,-9.594068226860466,285.1636275835763,288.27419098043924,600.0,True,True
24.8935625004215,True,1.4265306921411423,1.4265306921411423,15.749647999999999,0.4791666666666667,0.0125,distributed,0.02,-56.44269023807929,267.82498930302734,276.4214789084839,600.0,True,True
37.80315416012516,True,4.521419967249727,4.521419967249727,16.405883333333332,0.4597222222222222,0.015277777777777777,distributed,0.02,-9.594068226860466,279.8737275512369,293.6590137693988,600.0,True,True
24.98217330531719,True,1.4215846594149077,1.4215846594149077,15.708633291666665,0.48055555555555557,0.0125,distributed,0.1,-56.44269023807929,268.7611429683551,275.4564867119925,600.0,True,True
38.44275263213685,True,4.3923929273502225,4.3923929273502225,16.364868625,0.4638888888888889,0.018055555555555554,distributed,0.1,-9.594068226860466,281.44496116358613,291.8708932053456,600.0,True,True
25.04401854517506,True,1.3909064989097395,1.3909064989097395,15.708633291666665,0.48333333333333334,0.015277777777777777,distributed,1.0,-56.44269023807929,271.16615593561727,273.0463416262789,600.0,True,True
38.70225114332043,True,4.070854702430232,4.070854702430232,16.2418245,0.4722222222222222,0.022222222222222223,distributed,1.0,-9.594068226860466,285.12644824714164,288.27835050296795,600.0,True,True
