hour,mu0,ground_k,air_k,air_300m_k,column_mean_k,sensible_w_m2,latent_w_m2,sw_ground_w_m2,lw_down_w_m2,olr_w_m2,mixed_layer_m,rh_ground,dew_kg_m2,condensed_kg_m2
0.25,0.999998,296.828,294.238,293.755,238.982,202.041,263.847,645.428,387.08,219.761,7026.68,0.476182,0,0.870004
0.75,0.999978,296.84,294.246,293.763,239.015,202.226,263.197,645.412,387.08,219.761,9270.94,0.478357,0,1.24293
1.25,0.999939,296.852,294.254,293.771,239.008,202.551,262.594,645.38,387.08,219.761,9270.94,0.480523,0,0
1.75,0.99988,296.864,294.261,293.778,239.002,202.88,261.995,645.332,387.08,219.761,9270.94,0.48268,0,0
2.25,0.999801,296.874,294.251,293.768,239.004,203.133,261.361,645.269,386.876,220.229,9270.94,0.469536,0,0.27653
2.75,0.999703,296.839,294.258,293.775,238.998,201.327,265.61,645.189,386.876,220.229,9270.94,0.471766,0,0
3.25,0.999585,296.848,294.265,293.782,238.991,201.246,264.84,645.094,386.876,220.229,9270.94,0.47399,0,0
3.75,0.999447,296.858,294.272,293.789,238.986,201.488,264.175,644.983,386.876,220.229,9270.94,0.476205,0,0
4.25,0.99929,296.869,294.259,293.776,238.992,201.826,263.546,644.855,387.027,220.035,9270.94,0.474092,0,0.394551
4.75,0.999113,296.855,294.266,293.783,238.986,201.891,264.179,644.712,387.027,220.035,9270.94,0.476296,0,0
5.25,0.998917,296.865,294.273,293.79,238.981,201.943,263.465,644.553,387.027,220.035,9270.94,0.478493,0,0
5.75,0.998701,296.875,294.281,293.797,238.975,202.172,262.809,644.379,387.027,220.035,9270.94,0.480681,0,0
6.25,0.998465,296.887,294.288,293.804,238.97,202.593,262.219,644.188,387.441,219.958,9270.94,0.482861,0,0
6.75,0.99821,296.897,294.279,293.796,238.981,202.866,261.581,643.981,387.441,219.958,9270.94,0.478937,0,0.52054
7.25,0.997935,296.882,294.286,293.803,238.983,202.477,262.825,643.759,387.441,219.958,9270.94,0.481126,0,0.228157
7.75,0.997641,296.891,294.293,293.81,238.977,202.502,262.103,643.521,387.441,219.958,9270.94,0.483307,0,0
8.25,0.997327,296.9,294.3,293.817,238.972,202.695,261.434,643.266,387.424,219.967,9270.94,0.485482,0,0
8.75,0.996993,296.909,294.299,293.816,238.973,202.909,260.774,642.996,387.424,219.967,9270.94,0.466405,0,0.196272
9.25,0.99664,296.868,294.305,293.822,238.968,199.757,266.985,642.711,387.424,219.967,9270.94,0.468675,0,0.0180145
9.75,0.996267,296.875,294.311,293.828,238.965,199.548,266.137,642.409,387.424,219.967,9270.94,0.470943,0,0.0318532
10.25,0.995874,296.883,294.299,293.816,238.969,199.714,265.414,642.091,387.477,219.737,9270.94,0.470126,0,0.31276
10.75,0.995462,296.871,294.305,293.822,238.995,199.82,265.588,641.758,387.477,219.737,7026.68,0.472373,0,1.00536
11.25,0.995031,296.879,294.311,293.828,238.989,199.821,264.823,641.409,387.477,219.737,7026.68,0.474612,0,0
11.75,0.994579,296.887,294.314,293.831,238.987,199.972,264.11,641.044,387.477,219.737,9270.94,0.463128,0,0.11147
12.25,0.994109,296.86,294.319,293.836,238.981,197.705,267.776,640.663,386.94,219.916,9270.94,0.465416,0,0
12.75,0.993619,296.867,294.308,293.824,238.982,197.584,266.945,640.266,386.94,219.916,9270.94,0.465976,0,0.185436
13.25,0.993109,296.857,294.313,293.83,238.976,197.841,266.646,639.854,386.94,219.916,12021.5,0.468252,0,0
13.75,0.99258,296.864,294.319,293.836,238.971,197.831,265.859,639.425,386.94,219.916,12021.5,0.470521,0,0
14.25,0.992031,296.874,294.303,293.82,238.975,198.203,265.192,638.981,387.519,219.767,12021.5,0.469915,0,0.29912
14.75,0.991463,296.858,294.309,293.826,238.97,198.41,265.263,638.522,387.519,219.767,12021.5,0.472173,0,0.00918536
15.25,0.990875,296.865,294.314,293.831,238.965,198.347,264.466,638.046,387.519,219.767,12021.5,0.474424,0,0.0104219
15.75,0.990268,296.872,294.32,293.837,238.961,198.445,263.723,637.555,387.519,219.767,12021.5,0.476666,0,0.0091798
16.25,0.989641,296.881,294.307,293.824,238.969,198.752,263.05,637.048,387.98,219.681,12021.5,0.474449,0,0.414728
16.75,0.988995,296.864,294.313,293.83,238.992,198.597,263.657,636.525,387.98,219.681,7026.68,0.47669,0,0.913114
17.25,0.988329,296.87,294.318,293.835,239.025,198.5,262.853,635.987,387.98,219.681,9270.94,0.478924,0,1.26405
17.75,0.987644,296.877,294.323,293.84,239.018,198.569,262.104,635.432,387.98,219.681,9270.94,0.481149,0,0
18.25,0.98694,296.879,294.327,293.844,239.018,198.368,261.26,634.862,387.271,220.275,9270.94,0.468034,0,0.238523
18.75,0.986216,296.852,294.331,293.848,239.011,195.879,265.501,634.277,387.271,220.275,9270.94,0.470321,0,0
19.25,0.985473,296.856,294.335,293.852,239.004,195.694,264.622,633.675,387.271,220.275,9270.94,0.472618,0,0
