case,planet,dry_pressure_pa,shield,n2o_ppb,kzz_scale,stratospheric_h2o_prescribed,surface_temperature_k,surface_pressure_pa,ozone_du,ozone_peak_ppm,ozone_peak_mixing_pa,ozone_peak_density_pa,ozone_peak_density_km,tropopause_pa,tropopause_km,tropopause_k,stratospheric_h2o,stratopause_k,stratopause_pa,t_1000pa,t_100pa,t_10pa,t_1pa,t_top,top_pressure_pa,top_km,noy_max_ppb,uv_index_mean,uv_index_subsolar,uv_index_45deg,asr,olr,net_toa,asr_uv,asr_nir,uv_heating,day_night_k_100pa,day_night_k_10pa,day_night_k_1pa,day_night_k_top,relaxation_days_100pa,relaxation_days_1pa,column_heat_capacity_j_m2_k,night_column_cooling_k,outer_iterations,seconds
earth_control,earth,101325,none,330,1,5e-06,288,102626,276.625,6.27787,994.227,3968.36,21.8886,25711.7,10.3224,214.691,5e-06,256.446,82.3113,220.383,255.748,233.8,198.02,199.468,0.107166,91.5287,42.4573,2.16941,15.0011,6.33522,291.029,267.031,23.998,54.9778,236.051,7.32563,4.67323,1.74598,1.96883,6.79658,3.83624,2.76442,1.05403e+07,1.09444,6,803.4
moon_1.2atm_titania_stack,moon,121590,titania_stack,330,36,,288,122891,1.49761e-11,3.43763e-15,118.907,114570,3.57225,17257.8,86.0706,178.903,2.40002e-08,176.824,16089.4,150.976,152.603,162.458,168.975,168.097,0.107262,559.914,7.67048e-08,0.0240388,0.118067,0.0698471,230.092,215.259,14.8325,21.2042,208.887,0.37,1.33924,2.87139,9.31858,40.8922,110.308,10.9576,8.04477e+07,3.41353,4,467.3
moon_1.2atm_edge_310nm,moon,121590,edge_310nm,330,36,,288,122891,138.471,1.12383,44.5596,6029.38,124.786,22844.2,75.91,193.829,3.49318e-07,191.041,21297.5,173.941,177.303,178.551,175.03,169.602,0.107262,621.056,0.460339,0.213219,1.0808,0.621098,234.88,213.331,21.5486,24.7353,210.144,1.13506,3.76222,5.21851,9.80888,39.899,51.2687,9.52773,8.0498e+07,3.38084,4,438.5
moon_1.2atm_edge_200nm,moon,121590,edge_200nm,330,36,,288,122891,298.134,3.12604,118.907,5240.56,132.463,22844.2,75.91,193.829,3.49318e-07,263.633,29.2587,203.13,245.312,252.811,224.672,185.826,0.107262,815.53,36.8902,0.388341,2.39168,1.12247,242.745,219.912,22.8332,31.1994,211.546,7.75001,32.0201,42.3517,30.3019,35.9357,12.2543,3.65714,8.05402e+07,3.48331,5,545.8
moon_1.2atm_none,moon,121590,none,330,36,,288,122891,316.704,3.394,118.907,4554.93,138.572,22844.2,75.91,193.829,3.49318e-07,265.093,29.2587,204.985,247.04,254.13,226.251,187.487,0.107262,822.996,29.6631,0.374685,2.31013,1.08245,252.589,220.512,32.0768,32.0558,220.533,7.96094,33.5616,43.3864,31.7267,37.8873,11.7858,3.58284,8.05455e+07,3.49259,5,795.5
moon_1.0atm_edge_200nm,moon,101325,edge_200nm,330,36,,288,102626,284.989,3.40551,108.564,3968.36,137.179,19494.2,75.5615,198.439,8.74995e-07,264.547,31.2371,201.758,244.952,253.599,223.893,186.43,0.107166,799.197,40.8611,0.509545,3.20464,1.47071,248.13,225.448,22.6819,33.5368,214.593,7.65241,32.9438,44.1455,29.7184,36.6224,11.8994,3.6461,6.70117e+07,4.29192,5,570.4
moon_1.0atm_titania_stack,moon,101325,titania_stack,330,36,,288,102626,1.81215e-11,5.04871e-15,94.5305,95763.5,3.51554,14780.2,85.7844,183.358,6.63069e-08,181.208,13791.9,151.987,152.895,163.204,170.167,168.744,0.107166,553.44,8.50283e-08,0.0272637,0.13341,0.0792864,235.436,221.624,13.8118,23.2186,212.217,0.370194,1.37531,2.98614,9.92272,41.1258,107.754,10.4676,6.69381e+07,4.22376,4,533.2
moon_1.2atm_edge_200nm_no_n2o,moon,121590,edge_200nm,0,36,,288,122891,558.041,5.54697,157.397,4554.93,140.11,26282.8,70.5621,201.746,1.22919e-06,264.206,38.7298,209.181,250.547,249.445,220.278,184.534,0.107262,822.927,6e-21,0.234212,1.43254,0.672821,245.362,220.164,25.1983,31.6592,213.703,8.2818,40.8001,36.9841,25.4029,35.7803,10.2453,3.97375,8.05641e+07,3.48626,5,595.7
moon_1.2atm_edge_200nm_slow_mixing,moon,121590,edge_200nm,330,1,,288,122891,154.101,2.43745,89.829,846.72,202.69,22844.2,75.91,193.829,3.49318e-07,262.994,29.2587,199.65,242.933,253.179,220.944,185.934,0.107262,798.384,57.1219,0.787348,4.886,2.28963,241.111,219.212,21.8987,30.7813,210.33,7.238,29.072,43.7644,26.0784,36.9106,13.1728,3.87841,8.0504e+07,3.47379,6,667
moon_1.2atm_edge_200nm_wet_stratosphere,moon,121590,edge_200nm,330,36,5e-06,288,122891,392.721,3.25843,136.805,7981.1,115.958,30239,65.0294,209.969,5e-06,256.482,38.7298,195.899,243.059,240.643,213.307,182.773,0.107262,783.287,35.1343,0.285142,1.72846,0.821349,243.833,213.764,30.0695,31.5362,212.297,8.20268,36.2504,30.3123,21.3098,36.4442,11.801,4.41294,8.05343e+07,3.38617,5,934.1
