case,shield,dry_pressure_pa,base,base_pressure_pa,base_temperature_k,deposited_heat_w_m2,heat_source,atomic_o_fraction_at_top,status,exobase_temperature_k,exobase_radius_R,molecular_loss_kg_s,jeans_lambda_N2,atomic_o_fraction_at_base,jeans_lambda_O,atomic_o_loss_mixed_kg_s,atomic_o_loss_eddy_kg_s,atomic_o_loss_separated_kg_s,atomic_o_fraction_at_exobase_eddy,atomic_o_fraction_at_exobase_separated,homopause_pa,flags
moon_1.2atm_titania_stack,titania_stack,121590.0,middle_atmosphere_top,0.1,168.1,3e-06,swept,3.42443e-21,converged,211.22897982478995,2.271751795292593,0.0003679869454732816,19.813519503489236,3.42443000000001e-21,11.316595345649857,3.3013127538519276e-21,8.928841260573782e-20,2.663172389400609e-18,9.261828296113683e-20,2.7624911983253446e-18,4.5764845912734544e-05,MOLECULAR_LIMIT_ONLY PRESCRIBED_LOWER_ATMOSPHERE NO_IR_COOLING NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION FIXED_MIXING_RATIO
moon_1.2atm_titania_stack,titania_stack,121590.0,middle_atmosphere_top,0.1,168.1,1e-05,swept,3.42443e-21,converged,312.53223700672186,3.229859322216228,5.203872017048886,9.418843498513246,3.42443000000001e-21,5.379621751597876,5.324944916808667e-19,2.5124656511585166e-17,5.866476782941972e-16,1.6157468075656958e-19,3.772684864099952e-18,7.944072778177689e-05,MOLECULAR_LIMIT_ONLY PRESCRIBED_LOWER_ATMOSPHERE NO_IR_COOLING NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION FIXED_MIXING_RATIO KINETIC_ESCAPE_SENSITIVITY_REQUIRED
moon_1.2atm_titania_stack,titania_stack,121590.0,middle_atmosphere,10.0,162.46,0.0,swept,3.42443e-21,converged,162.45730177943534,1.9704480380178657,3.108220456440211e-08,29.701048818614,8.70131343800378e-23,16.96390945396931,4.9204308557100975e-25,9.87370338705377e-24,2.6892424676684408e-21,1.7460704252135173e-21,4.75566923063628e-19,3.0341756486499432e-05,MOLECULAR_LIMIT_ONLY PRESCRIBED_LOWER_ATMOSPHERE NO_IR_COOLING NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION FIXED_MIXING_RATIO
moon_1.2atm_titania_stack,titania_stack,121590.0,middle_atmosphere,10.0,162.46,1e-06,swept,3.42443e-21,converged,181.05270394796423,2.0855125218362116,2.3157124498739905e-06,25.1801429437273,8.70131343800378e-23,14.381770406292587,5.278183168786792e-24,1.205082071854881e-22,3.033478478999057e-20,1.9866299615627984e-21,5.000820587148513e-19,3.6859379888191936e-05,MOLECULAR_LIMIT_ONLY PRESCRIBED_LOWER_ATMOSPHERE NO_IR_COOLING NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION FIXED_MIXING_RATIO
moon_1.2atm_titania_stack,titania_stack,121590.0,middle_atmosphere,10.0,162.46,3e-06,swept,3.42443e-21,converged,218.98576122488478,2.376267760805211,0.0015705327589123192,18.271102542185403,8.70131343800378e-23,10.435635826960183,1.8459398629989512e-22,5.426976659134452e-21,1.1909012819661676e-18,2.5581453588169407e-21,5.613620213647247e-19,4.9925082842618914e-05,MOLECULAR_LIMIT_ONLY PRESCRIBED_LOWER_ATMOSPHERE NO_IR_COOLING NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION FIXED_MIXING_RATIO
moon_1.2atm_titania_stack,titania_stack,121590.0,middle_atmosphere,10.0,162.46,1e-05,swept,3.42443e-21,converged,313.65712950849,4.051755526743225,29.936214788349634,7.481309321182302,8.70131343800378e-23,4.272988967384068,3.3759648195614294e-20,2.0863471739152792e-18,3.493887731569114e-16,5.377414064133702e-21,9.005251504228742e-19,9.050806819887779e-05,MOLECULAR_LIMIT_ONLY PRESCRIBED_LOWER_ATMOSPHERE NO_IR_COOLING NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION FIXED_MIXING_RATIO KINETIC_ESCAPE_SENSITIVITY_REQUIRED EARTH_TIDES_REQUIRE_REVIEW
moon_1.2atm_titania_stack,titania_stack,121590.0,baseline_180K,0.1,180.0,0.0,swept,3.42443e-21,converged,179.99999145900597,2.1989298638585146,7.083150651170422e-06,24.021058792959085,3.42443000000001e-21,13.71975342826452,3.8650821333706445e-22,9.256401853533778e-21,3.029279423251884e-19,8.201093561666127e-20,2.6839158852026653e-18,3.7044430137078414e-05,MOLECULAR_LIMIT_ONLY PRESCRIBED_LOWER_ATMOSPHERE NO_IR_COOLING NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION FIXED_MIXING_RATIO
moon_1.2atm_titania_stack,titania_stack,121590.0,baseline_180K,0.1,180.0,1e-06,swept,3.42443e-21,converged,194.3880545977243,2.2845377516748324,8.345555595783384e-05,21.409577435947558,3.42443000000001e-21,12.228192185709727,1.485377913585802e-21,3.8656064902593756e-20,1.2042258504535932e-18,8.911872670492818e-20,2.776254508264305e-18,4.13995868754804e-05,MOLECULAR_LIMIT_ONLY PRESCRIBED_LOWER_ATMOSPHERE NO_IR_COOLING NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION FIXED_MIXING_RATIO
moon_1.2atm_titania_stack,titania_stack,121590.0,baseline_180K,0.1,180.0,3e-06,swept,3.42443e-21,converged,223.64060526926986,2.485714005130814,0.004710577808463029,17.103074597621948,3.42443000000001e-21,9.768510554304408,1.3191001577885309e-20,4.042735839965837e-19,1.1524194614177861e-17,1.0495083190395341e-19,2.9917211009048926e-18,5.05575162176893e-05,MOLECULAR_LIMIT_ONLY PRESCRIBED_LOWER_ATMOSPHERE NO_IR_COOLING NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION FIXED_MIXING_RATIO
moon_1.2atm_titania_stack,titania_stack,121590.0,baseline_180K,0.1,180.0,1e-05,swept,3.42443e-21,converged,316.54736458231366,3.623934676213993,14.436140373645463,8.288137462081341,3.42443000000001e-21,4.733813082071489,9.071161966979083e-19,4.828937719200887e-17,1.1066362434392382e-15,1.82295931369751e-19,4.1776327717612895e-18,8.406557392813846e-05,MOLECULAR_LIMIT_ONLY PRESCRIBED_LOWER_ATMOSPHERE NO_IR_COOLING NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION FIXED_MIXING_RATIO KINETIC_ESCAPE_SENSITIVITY_REQUIRED EARTH_TIDES_REQUIRE_REVIEW
