deposited_heat_w_m2,lower_temperature_k,lower_pressure_pa,lower_radius_R,oxygen_mole_fraction,conductivity_multiplier,heating_shape,exobase_temperature_k,max_temperature_k,exobase_radius_R,exobase_pressure_pa,jeans_lambda_N2,jeans_lambda_O2,N2_loss_kg_s,O2_loss_kg_s,molecular_loss_kg_s,max_mach,lower_conductive_flux_W_m2,upper_energy_to_infinity_W_m2,net_energy_boundary_residual_W_m2,max_scaled_BC_residual,max_collocation_residual,mesh_nodes,domain_flags,numerical_status
0.0,150.0,0.001,1.4303436697444072,0.175,1.0,low,149.99999999972988,150.0,1.8386786176203518,4.1645028852156883e-08,34.47298763073136,39.37639337631783,3.156007199034128e-10,6.043775011838113e-13,3.1620509740459657e-10,1.0429448060747071e-14,1.5900019786888422e-17,7.525287893731806e-19,4.81482486096809e-34,7.105427357601002e-16,1.0274849897946107e-14,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
1e-08,150.0,0.001,1.4303436697444072,0.175,1.0,low,150.04797989455383,150.04797995216342,1.838821011447253,4.163857952288239e-08,34.459295770499665,39.36075399860239,3.1977834156096194e-10,6.135710006649112e-13,3.203919125616269e-10,1.0569232430299655e-14,-9.999999984651944e-09,7.627405194314903e-19,-7.627405194314903e-19,4.922852923527898e-07,2.156533179689367e-08,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
1e-07,150.0,0.001,1.4303436697444072,0.175,1.0,low,150.47989460053148,150.4798946017312,1.840104052805051,4.1580533277745624e-08,34.33643070608438,39.220412721529264,3.598117750124881e-10,7.025470354363606e-13,3.605143220479245e-10,1.1909913050954938e-14,-9.999999998186888e-08,8.607663289202367e-19,2.5589685356047478e-22,4.346967017454517e-08,1.618101052143114e-09,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
3e-07,150.0,0.001,1.4303436697444072,0.175,1.0,low,151.440125644422,151.44012565856798,1.842964403912029,4.145156442908022e-08,34.06576136739725,38.91124362747746,4.665589729201061e-10,9.467061333740206e-13,4.675056790534801e-10,1.5493666345832123e-14,-2.999999999764795e-07,1.1234524758405463e-18,1.5660967907747096e-21,4.7082346696925017e-07,1.5280655245360287e-08,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
1e-06,150.0,0.001,1.4303436697444072,0.175,1.0,low,154.80563116701643,154.80563117346446,1.8530765177658906,4.1000401876256314e-08,33.14331168926121,37.85758556380089,1.13023692729772e-09,2.6146839667740683e-12,1.132851611264494e-09,3.795886627528468e-14,-9.999999999429474e-07,2.783787126253035e-18,4.1017137185006247e-22,1.2000576319337596e-07,9.724632316332492e-09,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
3e-06,150.0,0.001,1.4303436697444072,0.175,1.0,low,164.4624134548724,164.46241346988637,1.8828655121782616,3.971332206491768e-08,30.703652939777005,35.070912019497264,1.1677869624210561e-08,3.821180963968156e-11,1.1716081433850242e-08,4.0463415622689634e-13,-2.9999999994081265e-06,3.0616460415465375e-17,1.6630454094469183e-21,1.429339043568234e-07,2.669710500711641e-08,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
1e-05,150.0,0.001,1.4303436697444072,0.175,1.0,low,198.77782587258133,198.7778259474276,1.9990705568575886,3.523048121912292e-08,23.926542705664083,27.329831919575604,7.328715677750161e-06,6.28120353384382e-08,7.391527713088599e-06,2.806499729731883e-10,-9.999999622461932e-06,2.3428733594686566e-14,6.398775658481613e-19,2.9298525348053774e-07,8.972032782373605e-08,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
3e-05,150.0,0.001,1.4303436697444072,0.175,1.0,low,302.4554933495961,302.4629831491285,2.4970001292781454,2.2580714969253648e-08,12.58913719799081,14.379804381521339,0.27175808428736836,0.011633948285817722,0.28339203257318607,1.3272881099084656e-05,-2.9985035339036993e-05,1.3833745961548397e-09,-1.5192838108424946e-15,1.4662745684290711e-09,2.743153573610121e-07,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO"", ""KINETIC_ESCAPE_SENSITIVITY_REQUIRED""]",converged
0.0,150.0,0.001,1.4303436697444072,0.175,1.0,middle,149.99999999972988,150.0,1.8386786176203518,4.1645028852156883e-08,34.47298763073136,39.37639337631783,3.156007199034128e-10,6.043775011838113e-13,3.1620509740459657e-10,1.0429448060747071e-14,1.5900019786888422e-17,7.525287893731806e-19,4.81482486096809e-34,7.105427357601002e-16,1.0274849897946107e-14,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
1e-08,150.0,0.001,1.4303436697444072,0.175,1.0,middle,150.09596678956166,150.09596678956166,1.8389278414411323,4.1633741590526735e-08,34.44627762926113,39.345884169044005,3.237963715575122e-10,6.224308398302653e-13,3.244188023973425e-10,1.0703784513870722e-14,-9.999999983686448e-09,7.725777267061462e-19,1.227414083186371e-23,2.1166144392736897e-10,1.728991906404162e-10,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
