deposited_heat_w_m2,lower_temperature_k,lower_pressure_pa,lower_radius_R,oxygen_mole_fraction,conductivity_multiplier,heating_shape,exobase_temperature_k,max_temperature_k,exobase_radius_R,exobase_pressure_pa,jeans_lambda_N2,jeans_lambda_O2,N2_loss_kg_s,O2_loss_kg_s,molecular_loss_kg_s,max_mach,lower_conductive_flux_W_m2,upper_energy_to_infinity_W_m2,net_energy_boundary_residual_W_m2,max_scaled_BC_residual,max_collocation_residual,mesh_nodes,domain_flags,numerical_status
1e-07,150.0,0.001,1.4303436697444072,0.175,1.0,middle,150.9598998456715,150.9598998456715,1.8411752001009833,4.153216646614965e-08,34.20733908596878,39.0729592292556,4.0724759488655125e-10,8.098926362315262e-13,4.0805748752278284e-10,1.3502027232423062e-14,-9.999999997947375e-08,9.77434041771861e-19,1.2066496620763224e-21,1.528253228855192e-07,3.827158769824536e-09,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
3e-07,150.0,0.001,1.4303436697444072,0.175,1.0,middle,152.88125597593125,152.88125597593125,1.846197529085028,4.130650856487417e-08,33.68554675649914,38.4769476434299,6.717977008906217e-10,1.438855484273268e-12,6.73236556374895e-10,2.2417730311591808e-14,-2.999999999661157e-07,1.6334639347884166e-18,-1.3835567701780343e-23,4.1225476365980285e-09,5.18995314132606e-09,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
1e-06,150.0,0.001,1.4303436697444072,0.175,1.0,middle,159.62253608711973,159.62253608711973,1.8640887051308572,4.0517409538553315e-08,31.953263926877078,36.49826651289071,3.531355785106647e-09,9.674925064622637e-12,3.5410307101712696e-09,1.2048240367924242e-13,-9.999999998213878e-07,8.976419689805137e-18,4.670649932209636e-21,5.776936077950268e-07,2.2757246310127894e-08,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
3e-06,150.0,0.001,1.4303436697444072,0.175,1.0,middle,179.03058358938907,179.03058358938907,1.9180733594921315,3.8268760581868303e-08,27.687488773551177,31.62573146337433,2.067391447624044e-07,1.0384759575314636e-09,2.0777762071993586e-07,7.487023680726466e-12,-2.9999999894542527e-06,5.918950923915982e-16,1.4366828947855243e-19,8.525193365471751e-07,6.015991141095474e-08,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
1e-05,150.0,0.001,1.4303436697444072,0.175,1.0,middle,248.93749134411553,248.93749281587617,2.1498647043193455,3.046158978641359e-08,17.765382798721944,20.29231434932942,0.0023367934669926253,4.8030397898986626e-05,0.002384823864891612,1.0133239013777481e-07,-9.999876221371056e-06,9.513525403350006e-12,2.4816822143287805e-16,4.2699442133198317e-07,1.806185954444462e-07,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
3e-05,150.0,0.001,1.4303436697444072,0.175,1.0,middle,426.78303819112693,428.70597609764525,3.402403002933847,1.2161953442913248e-08,6.547614539666274,7.4789411510292005,53.43521630513592,5.362312237764403,58.797528542900324,0.003271217736492139,-2.6766951378913198e-05,4.1372590082060424e-07,-1.3035061281943116e-14,3.346572903240031e-08,5.776566148175838e-07,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO"", ""KINETIC_ESCAPE_SENSITIVITY_REQUIRED""]",converged
0.0,150.0,0.001,1.4303436697444072,0.175,1.0,high,149.99999999972988,150.0,1.8386786176203518,4.1645028852156883e-08,34.47298763073136,39.37639337631783,3.156007199034128e-10,6.043775011838113e-13,3.1620509740459657e-10,1.0429448060747071e-14,1.5900019786888422e-17,7.525287893731806e-19,4.81482486096809e-34,7.105427357601002e-16,1.0274849897946107e-14,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
1e-08,150.0,0.001,1.4303436697444072,0.175,1.0,high,150.1439512899403,150.1439512899403,1.838999065951491,4.1630516699944043e-08,34.43393526514461,39.33178623851789,3.276510338691709e-10,6.309465459189427e-13,3.2828198041508984e-10,1.0832976337776851e-14,-9.999999983491919e-09,7.820309646291063e-19,2.6945509153723506e-23,4.088079208486306e-10,8.729215775709192e-11,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
1e-07,150.0,0.001,1.4303436697444072,0.175,1.0,high,151.43996058486422,151.43996058486422,1.8418902871165195,4.149992425156692e-08,34.08566430890896,38.93397754490597,4.5762401238396543e-10,9.25952594008668e-13,4.5854996497797413e-10,1.5196855606217454e-14,-9.999999997692859e-08,1.101922005027523e-18,3.072179335114378e-21,2.9397434033739953e-07,5.350070059946571e-09,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
3e-07,150.0,0.001,1.4303436697444072,0.175,1.0,high,154.3228872573128,154.3228872573128,1.8483619580912356,4.120982549202337e-08,33.33179074119381,38.07287370104018,9.427199148857769e-10,2.123234790538038e-12,9.44843149676315e-10,3.160979781907631e-14,-2.9999999995242363e-07,2.3143829884148357e-18,2.866083913314484e-23,9.408194046045538e-09,2.616117425855688e-09,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
1e-06,150.0,0.001,1.4303436697444072,0.175,1.0,high,164.44518603791374,164.44518603791374,1.8715349323409523,4.0195639563887256e-08,30.892773911199537,35.28693338225858,9.723769870361749e-09,3.0973911100967055e-11,9.754743781462717e-09,3.368784872711275e-13,-9.999999995072155e-07,2.5486354699608216e-17,4.431668000541317e-22,1.3266800635847175e-08,8.713453927484802e-09,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
3e-06,150.0,0.001,1.4303436697444072,0.175,1.0,high,193.65477757109798,193.65477757109798,1.9426221482547497,3.730767176409843e-08,25.27315474638413,28.867984806371215,2.035733311399209e-06,1.4409946450120653e-08,2.0501432578493294e-06,7.683253210310105e-11,-2.99999989545885e-06,6.325608471737731e-15,9.922341079580943e-20,6.948102324599858e-08,2.6278086957127017e-08,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
1e-05,150.0,0.001,1.4303436697444072,0.175,1.0,high,299.90567538908806,299.90567538908806,2.2708201485599724,2.7302935337675245e-08,13.960744686961954,15.946508045914047,0.07622556258101244,0.0026871022072145327,0.07891266478822696,3.680322534258463e-06,-9.99583740163103e-06,3.810682010051184e-10,-3.4388267936284325e-17,4.781242068929714e-11,8.840771395960703e-08,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO"", ""KINETIC_ESCAPE_SENSITIVITY_REQUIRED""]",converged
3e-05,150.0,0.001,1.4303436697444072,0.175,1.0,high,500.2028824897061,501.1231351467991,3.636483191672006,1.0646617465446186e-08,5.226948649922267,5.970424971628317,152.53917298460675,18.405189890977663,170.9443628755844,0.010296146365381158,-2.0376745256200972e-05,1.4250870663412867e-06,-3.242110487514788e-14,1.0807034958382627e-09,4.478131049444807e-08,161,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO"", ""KINETIC_ESCAPE_SENSITIVITY_REQUIRED"", ""EARTH_TIDES_REQUIRE_REVIEW""]",converged
0.0,150.0,0.1,1.2986636222332653,0.175,1.0,low,149.99999999958328,150.0,1.8386786176196819,4.164502885218742e-08,34.47298763077761,39.376393376370665,3.156007198893771e-10,6.043775011529607e-13,3.1620509739053e-10,1.0429448060277967e-14,1.7567599640833222e-17,7.52528789338956e-19,-1.2518544638517033e-33,1.554312234475219e-16,1.0155942094719772e-14,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
1e-08,150.0,0.1,1.2986636222332653,0.175,1.0,low,150.06989112009344,150.0698911201588,1.8389807702950414,4.16313450516565e-08,34.45127131338334,39.351588150158136,3.222568480924345e-10,6.19031882726081e-13,3.228758799751606e-10,1.0651952372312274e-14,-9.999999982061416e-09,7.687684256255148e-19,6.618236368653401e-24,2.017792155584175e-10,1.276580300108896e-10,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
1e-07,150.0,0.1,1.2986636222332653,0.175,1.0,low,150.69905139989027,150.69905140435912,1.841705973568379,4.15082311062233e-08,34.25667384978712,39.12931132406234,3.885226678021056e-10,7.672552156772873e-13,3.892899230177829e-10,1.2869902284904168e-14,-9.999999997838395e-08,9.30851580434041e-19,-1.6373634754617092e-20,1.4592460786388984e-07,5.299552266543852e-09,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
3e-07,150.0,0.1,1.2986636222332653,0.175,1.0,low,152.09809915793153,152.09809915984428,1.8477998460853573,4.123490186752189e-08,33.82963367866237,38.64152935558834,5.855688296874218e-10,1.2287465563552275e-12,5.867975762437771e-10,1.9489335592929415e-14,-2.9999999996737895e-07,1.4163694705617952e-18,2.8435925005193854e-23,4.92773040150496e-09,3.775539972641123e-09,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
1e-06,150.0,0.1,1.2986636222332653,0.175,1.0,low,157.00479362182966,157.00479364529974,1.8695494673555604,4.028106117073118e-08,32.39113267488869,36.99841730497148,2.3286344980804722e-09,5.994878471087196e-12,2.3346293765515593e-09,7.878095209843431e-14,-9.99999999870026e-07,5.8201477697723484e-18,2.7802261273392428e-21,7.009396718160588e-07,3.022646516279271e-08,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
3e-06,150.0,0.1,1.2986636222332653,0.175,1.0,low,171.11344772352226,171.11344774320813,1.935569833003626,3.758003061098488e-08,28.70668353070208,32.78989553625782,7.902639498034027e-08,3.4344012910727134e-10,7.936983510944753e-08,2.7960464236137397e-12,-2.9999999955631987e-06,2.1599315390639484e-16,1.941709346255857e-21,4.552487027353891e-08,3.8007524430389066e-08,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
1e-05,150.0,0.1,1.2986636222332653,0.175,1.0,low,221.70738963773786,221.7073946669581,2.2259656237755117,2.8414362445835618e-08,19.26537142762757,22.005659967773525,0.000596670659014409,9.912548027528572e-06,0.0006065832070419376,2.4323568643386836e-08,-9.99996558678832e-06,2.15199875543633e-12,1.4334793906693515e-17,1.4449176219955006e-07,1.2956091315070398e-07,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
3e-05,150.0,0.1,1.2986636222332653,0.175,1.0,low,338.47006351782017,344.2666840784656,3.9116321952948403,9.201503476751172e-09,7.181211757858599,8.202660649116474,34.515249163248605,3.16927391051582,37.68452307376442,0.0018671103401749203,-2.7784951570633593e-05,2.0948648663805625e-07,-2.902970930936623e-15,9.676569681556144e-11,5.1681629010012145e-08,161,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO"", ""KINETIC_ESCAPE_SENSITIVITY_REQUIRED"", ""EARTH_TIDES_REQUIRE_REVIEW""]",converged
0.0,150.0,0.1,1.2986636222332653,0.175,1.0,middle,149.99999999958328,150.0,1.8386786176196819,4.164502885218742e-08,34.47298763077761,39.376393376370665,3.156007198893771e-10,6.043775011529607e-13,3.1620509739053e-10,1.0429448060277967e-14,1.7567599640833222e-17,7.52528789338956e-19,-1.2518544638517033e-33,1.554312234475219e-16,1.0155942094719772e-14,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
1e-08,150.0,0.1,1.2986636222332653,0.175,1.0,middle,150.13978458563093,150.13978458563093,1.8392074696819187,4.162108278535559e-08,34.43098900532554,39.32842090543835,3.285950389186025e-10,6.33029429411662e-13,3.2922806834801417e-10,1.086404554190707e-14,-9.999999981708104e-09,7.842637913111416e-19,2.7506481011623387e-23,7.155364301070222e-10,2.529054786332536e-10,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
1e-07,150.0,0.1,1.2986636222332653,0.175,1.0,middle,151.39833771119788,151.39833771119788,1.843985024858349,4.1405691568570433e-08,34.056303820131625,38.900440847471984,4.709305373648178e-10,9.568620509245286e-13,4.718873994157424e-10,1.563672360776781e-14,-9.99999999737692e-08,1.1336730930575113e-18,3.190705945569132e-21,5.144213822916299e-07,1.3641243210486572e-08,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
3e-07,150.0,0.1,1.2986636222332653,0.175,1.0,middle,154.1983317725355,154.1983317725355,1.8547186340241748,4.092783276168052e-08,33.24438457924651,37.97303496779147,1.0266230185900654e-09,2.341109397676988e-12,1.0289641279877425e-09,3.441017658394076e-14,-2.999999999427632e-07,2.5184854895915153e-18,1.1403950994340634e-22,2.5395110014869715e-08,7.600156190237698e-09,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
1e-06,150.0,0.1,1.2986636222332653,0.175,1.0,middle,164.03392685525816,164.03392685525816,1.8936093756041321,3.9263953673934606e-08,30.609196632606775,34.96302033491655,1.2813145836518665e-08,4.2493205605017783e-11,1.2855639042123682e-08,4.43411895267098e-13,-9.99999999282848e-07,3.3508194318136835e-17,8.525917169137347e-22,5.1265644884779246e-08,2.5371750998208963e-08,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
3e-06,150.0,0.1,1.2986636222332653,0.175,1.0,middle,192.46396722636328,192.46396722636328,2.017647331895407,3.4584723707486886e-08,24.48394059820486,27.966513570696847,4.360811664282917e-06,3.453008019420231e-08,4.395341744477119e-06,1.6421551515603095e-10,-2.99999975276695e-06,1.348457867391594e-14,7.872397650711708e-19,4.22856998483212e-07,7.862577886173694e-08,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
1e-05,150.0,0.1,1.2986636222332653,0.175,1.0,middle,296.44916369592676,296.45522812724704,2.7095390125811116,1.9177147188869624e-08,11.836692630734058,13.520332797812058,0.5502776628385196,0.0262042831659259,0.5764819460044456,2.673053523929603e-05,-9.96656880332669e-06,2.7623516546110155e-09,-4.894699826897795e-18,4.894699413307488e-13,2.6507439990635384e-07,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO"", ""KINETIC_ESCAPE_SENSITIVITY_REQUIRED""]",converged
3e-05,150.0,0.1,1.2986636222332653,0.175,1.0,middle,379.23653136772094,395.564173601159,4.898625784864518,5.867137826740865e-09,5.117897436694725,5.845862415106978,191.9493493757144,23.513866703522677,215.46321607923707,0.011299911702748805,-1.716697994730709e-05,1.363356646616293e-06,-1.616823625971589e-14,5.389412086571964e-10,8.156879999410751e-07,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO"", ""KINETIC_ESCAPE_SENSITIVITY_REQUIRED"", ""EARTH_TIDES_REQUIRE_REVIEW""]",converged
0.0,150.0,0.1,1.2986636222332653,0.175,1.0,high,149.99999999958328,150.0,1.8386786176196819,4.164502885218742e-08,34.47298763077761,39.376393376370665,3.156007198893771e-10,6.043775011529607e-13,3.1620509739053e-10,1.0429448060277967e-14,1.7567599640833222e-17,7.52528789338956e-19,-1.2518544638517033e-33,1.554312234475219e-16,1.0155942094719772e-14,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
1e-08,150.0,0.1,1.2986636222332653,0.175,1.0,high,150.20967922447727,150.20967922447727,1.8393586430483313,4.161424155264108e-08,34.41213929015342,39.30689002428584,3.345916938585208e-10,6.463111594080319e-13,3.3523800501792886e-10,1.106493931075584e-14,-9.999999981373779e-09,7.989573986458687e-19,6.267713340370004e-23,1.3842360147009458e-09,1.3091899832800762e-10,81,"[""MOLECULAR_LIMIT_ONLY"", ""PRESCRIBED_LOWER_ATMOSPHERE"", ""NO_IR_COOLING"", ""NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION"", ""FIXED_MIXING_RATIO""]",converged
