minimum_g_m3,maximum_g_m3,threshold_g_m3,threshold_satisfied,prescribed_aerobic_demand_feasible,capacity_g_m3,outgassing_above_cap_g_m3,unmet_respiration_g_m3,periodic_residual,mass_balance_residual,exchange_per_day,respiration_g_m3_day
5.723156205954462,9.6,2.0,True,True,9.6,3.708466834900479,0.0,0.0,4.884981308350689e-15,0.01,0.25
6.00659168585156,9.6,2.0,True,True,9.6,3.6942399299021704,0.0,0.0,-1.7319479184152442e-14,0.05,0.25
6.348746406624632,9.6,2.0,True,True,9.6,3.486417648968471,0.0,0.0,1.9095836023552692e-14,0.1,0.25
6.867889685974481,9.6,2.0,True,True,9.6,2.6745506396077086,0.0,0.0,1.6431300764452317e-14,0.2,0.25
7.500525041302859,9.6,2.0,True,True,9.6,0.11576176979041165,0.0,0.0,2.9101721032986916e-14,0.5,0.25
2.092622831705218,9.6,2.0,True,True,9.6,7.849775428582781,0.0,0.0,-8.881784197001252e-16,0.01,0.5
3.314902941469112,9.6,2.0,True,True,9.6,9.024064419150141,0.0,-4.440892098500626e-16,2.6645352591003757e-14,0.05,0.5
4.392504702353832,9.6,2.0,True,True,9.6,9.551760124290505,0.0,0.0,8.881784197001252e-15,0.1,0.5
5.68089909124031,9.6,2.0,True,True,9.6,9.228318671582977,0.0,0.0,1.0658141036401503e-14,0.2,0.5
7.000895745071568,9.6,2.0,True,True,9.6,5.707167355046168,0.0,0.0,2.842170943040401e-14,0.5,0.5
0.0,9.6,2.0,False,False,9.6,21.02289743391854,5.343603129996041,0.0,-3.561595462997502e-13,0.01,1.0
0.0,9.6,2.0,False,False,9.6,21.31486037556714,2.3085976914475603,0.0,-4.440892098500626e-15,0.05,1.0
0.4708190698268584,9.6,2.0,False,True,9.6,21.81721942419479,0.0,-1.1102230246251565e-16,-1.4210854715202004e-14,0.1,1.0
3.3007227020036116,9.6,2.0,True,True,9.6,22.808148630922485,0.0,0.0,2.842170943040401e-14,0.2,1.0
6.0014715976372415,9.6,2.0,True,True,9.6,19.69541324232171,0.0,0.0,1.4210854715202004e-14,0.5,1.0
0.0,9.6,2.0,False,False,9.6,51.46433515903288,20.872009599780313,0.0,-3.481659405224491e-13,0.01,2.0
0.0,9.6,2.0,False,False,9.6,51.43497750485633,16.69824514840994,0.0,1.2079226507921703e-13,0.05,2.0
0.0,9.6,2.0,False,False,9.6,51.327196811052964,11.667686771488828,0.0,2.7355895326763857e-13,0.1,2.0
0.0,9.6,2.0,False,False,9.6,50.89539782064202,2.6583043438594274,0.0,1.4921397450962104e-13,0.2,2.0
4.002501600778366,9.6,2.0,True,True,9.6,48.86796827541579,0.0,0.0,8.526512829121202e-14,0.5,2.0
