layout,water_fraction,participating_atmosphere,olr_at_273_w_m2,olr_slope_w_m2_k,heat_transport_w_m2_k,water_depth_m,global_mean_K,minimum_K,maximum_K,grid_time_fraction_273_313,freezing_flag,radiative_extrapolation_flag,max_discrete_energy_residual_W_m2,periodic_residual_K,quadrature_normalization,status,land_min_K,land_max_K,water_min_K,water_max_K
dry,0.0,0.02,180.0,2.0,0.3,10.0,290.3287499999998,245.13037939131777,356.714131164371,0.39861111111111114,True,True,2.7615891947628737e-12,2.550369674596186e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,245.13037939131777,356.714131164371,,
dry,0.0,0.02,180.0,2.0,1.0,10.0,290.32874999999973,252.70902729354182,346.9545086641618,0.44583333333333336,True,True,3.689647422296568e-12,1.6680971992988233e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,252.70902729354182,346.9545086641618,,
dry,0.0,0.02,200.0,2.0,0.3,10.0,280.3287499999999,235.1303793913179,346.71413116437105,0.3384259259259259,True,True,2.0183213222690743e-12,2.1552368608445568e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,235.1303793913179,346.71413116437105,,
dry,0.0,0.02,200.0,2.0,1.0,10.0,280.3287499999999,242.70902729354196,336.9545086641619,0.3861111111111111,True,False,1.9604780913425236e-12,1.0458321624023248e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,242.70902729354196,336.9545086641619,,
dry,0.0,0.02,220.0,2.0,0.3,10.0,270.32875000000007,225.13037939131803,336.7141311643712,0.28564814814814815,True,False,1.4690833225671644e-12,1.7075941347652822e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,225.13037939131803,336.7141311643712,,
dry,0.0,0.02,220.0,2.0,1.0,10.0,270.32875000000007,232.70902729354208,326.954508664162,0.3416666666666667,True,False,1.232962313349521e-12,4.3966624351701666e-14,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,232.70902729354208,326.954508664162,,
dry,0.0,0.1,180.0,2.0,0.3,10.0,290.32874999999984,262.2664896720111,323.38938528799116,0.7314814814814815,True,False,9.655183765028494e-12,2.425296581248176e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,262.2664896720111,323.38938528799116,,
dry,0.0,0.1,180.0,2.0,1.0,10.0,290.32874999999984,271.184436993934,316.32383183239835,0.9009259259259259,True,False,9.297120370479836e-12,2.0545567261475624e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,271.184436993934,316.32383183239835,,
dry,0.0,0.1,200.0,2.0,0.3,10.0,280.32875,252.26648967201123,313.3893852879912,0.6101851851851852,True,False,5.454010333021231e-12,2.475160299047671e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,252.26648967201123,313.3893852879912,,
dry,0.0,0.1,200.0,2.0,1.0,10.0,280.32875,261.1844369939342,306.32383183239847,0.6606481481481481,True,False,5.329036230927844e-12,2.3788323055520205e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,261.1844369939342,306.32383183239847,,
dry,0.0,0.1,220.0,2.0,0.3,10.0,270.32874999999996,242.2664896720113,303.3893852879913,0.4134259259259259,True,False,2.1993902048810822e-12,1.4715589755586083e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,242.2664896720113,303.3893852879913,,
dry,0.0,0.1,220.0,2.0,1.0,10.0,270.32875000000007,251.18443699393427,296.32383183239847,0.34305555555555556,True,False,1.9904744423776456e-12,1.1837068431465698e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,251.18443699393427,296.32383183239847,,
dry,0.0,1.0,180.0,2.0,0.3,10.0,290.32875000000007,271.67015026359417,306.09424096723353,0.8194444444444444,True,False,5.3540952146642434e-11,3.953485374945206e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,271.67015026359417,306.09424096723353,,
dry,0.0,1.0,180.0,2.0,1.0,10.0,290.32875000000007,280.77802552784686,299.1186120115247,1.0,False,False,5.311901416930134e-11,4.838638039477629e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,280.77802552784686,299.1186120115247,,
dry,0.0,1.0,200.0,2.0,0.3,10.0,280.3287500000001,261.67015026359434,296.0942409672336,0.6666666666666666,True,False,2.971657089840159e-11,2.878987215125113e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,261.67015026359434,296.0942409672336,,
dry,0.0,1.0,200.0,2.0,1.0,10.0,280.3287500000001,270.778025527847,289.1186120115247,0.725925925925926,True,False,2.3788337504510402e-11,3.80168810766543e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,270.778025527847,289.1186120115247,,
dry,0.0,1.0,220.0,2.0,0.3,10.0,270.32874999999996,251.67015026359417,286.0942409672334,0.5736111111111111,True,False,1.7722742477998086e-11,1.5844724882285484e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,251.67015026359417,286.0942409672334,,
dry,0.0,1.0,220.0,2.0,1.0,10.0,270.32874999999996,260.77802552784686,279.11861201152453,0.43472222222222223,True,False,1.534940551877216e-11,2.5072040270187576e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,260.77802552784686,279.11861201152453,,
concentrated,0.5,0.02,180.0,2.0,0.3,10.0,290.3287500000007,243.9617025111289,359.9216399771864,0.6181905864197531,True,True,3.331564778752594e-11,7.764493395111388e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,243.9617025111289,359.9216399771864,268.511807461821,308.9485568832956
concentrated,0.5,0.02,180.0,2.0,1.0,10.0,290.32875000000104,250.97290958320895,351.71527817510247,0.7554591049382716,True,True,3.099755544485881e-11,5.033180183945083e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,250.97290958320895,351.71527817510247,275.46492261793816,304.3440680776539
concentrated,0.5,0.02,200.0,2.0,0.3,10.0,280.3287500000005,233.96170251112875,349.9216399771864,0.5021026234567901,True,True,1.8158732221920338e-11,5.139547556417864e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,233.96170251112875,349.9216399771864,258.51180746182087,298.94855688329534
