coupled_atmosphere_fraction,ocean_m,OLR_slope_W_m2_K,forcing_amplitude_W_m2,response_amplitude_K,radiative_timescale_days
0.1,0,1,200,10.260114206254078,91.49509786669528
0.1,0,2,200,10.219849413711396,45.74754893334764
0.1,0,4,200,10.063404136827824,22.87377446667382
0.1,10,1,200,1.6338789633684128,575.2913941629915
0.1,10,2,200,1.6337154227249062,287.64569708149577
0.1,10,4,200,1.633061750887657,143.82284854074788
0.1,50,1,200,0.3744254117534184,2510.4765793481765
0.1,50,2,200,0.3744234433061234,1255.2382896740883
0.1,50,4,200,0.37441556982739044,627.6191448370441
1,0,1,200,1.0273506391588325,914.9509786669527
1,0,2,200,1.0273099797021146,457.47548933347633
1,0,4,200,1.027147390137253,228.73774466673817
1,10,1,200,0.6720174435190363,1398.747274963249
1,10,2,200,0.672006063005124,699.3736374816245
1,10,4,200,0.6719605467306088,349.68681874081227
1,50,1,200,0.2819454057292194,3333.9324601484336
1,50,2,200,0.2819445652550079,1666.9662300742168
1,50,4,200,0.2819412034333237,833.4831150371084
