depletion_timescale_yr,loss_kg_s,build_throughput_fraction,inventory_replacements_per_Gyr
100000.0,995433.581934935,0.005,10000.0
1000000.0,99543.35819349349,0.0005,1000.0
10000000.0,9954.33581934935,5e-05,100.0
100000000.0,995.433581934935,5e-06,10.0
1000000000.0,99.5433581934935,5e-07,1.0
10000000000.0,9.95433581934935,5e-08,0.1
