status,tc,te,ph,sigma,mass_kg,column_kg_m2,exo_R,exo_T,exo_p_Pa,lambda_N2,loss_N2_kg_s,loss_O2_kg_s,loss_kg_s,lifetime_yr
hydrostatic_proxy,150,230,0.001,5.5e-19,3.133600212685661e+18,78572.13906134892,2.088112392850228,227.45251079598663,3.228992802504197e-08,20.018493991361378,0.00028770598810742875,4.295092494440129e-06,0.0002920010806018689,340059696042808.06
hydrostatic_proxy,150,230,0.1,5.5e-19,3.13360031076273e+18,78572.13972769896,2.286004293040249,229.4833097816818,2.6941435711809778e-08,18.123741599340832,0.0017332870678387245,3.3859718928599035e-05,0.0017671467867673234,56191032100488.51
hydrostatic_proxy,150,230,10,5.5e-19,3.1336064282294164e+18,78572.18998345052,2.532041411946108,229.89601571138502,2.1960044198588635e-08,16.333293237554493,0.009405250946462648,0.00023685994800890387,0.009642110894471551,10298366899023.465
hydrostatic_proxy,150,250,0.001,5.5e-19,3.1336002131311944e+18,78572.13906373145,2.1654588534662884,246.89192380375852,3.0024442147469707e-08,17.783579815743657,0.002306367399718595,4.728276047962562e-05,0.0023536501601982207,42188852195178.58
hydrostatic_proxy,150,250,0.1,5.5e-19,3.1336003370597893e+18,78572.13990147732,2.444487444832114,249.3823633283411,2.3561297177676397e-08,15.596331619217906,0.018067273810070863,0.000505125275767396,0.01857239908583826,5346525357111.103
hydrostatic_proxy,150,250,10,5.5e-19,3.133608056864209e+18,78572.20304424188,2.8196801310120607,249.87901680433427,1.770822906444855e-08,13.494176169558127,0.12900202982667716,0.0048583004937158185,0.133860330320393,741803393454.9023
hydrostatic_proxy,150,260,0.001,5.5e-19,3.1336002133583416e+18,78572.1390649349,2.207067804299521,256.624222265561,2.8903036256129785e-08,16.786597855925002,0.0058053899183057945,0.00013709778674725562,0.0059424877050530504,16709802975363.922
hydrostatic_proxy,150,260,0.1,5.5e-19,3.1336003504345175e+18,78572.13998914546,2.5344842126507077,259.33677955468323,2.1917733322187764e-08,14.465128778281725,0.05116936484662361,0.0016794025184975235,0.05284876736512114,1878904807610.9895
hydrostatic_proxy,150,260,10,5.5e-19,3.1336088833889e+18,78572.20962655415,2.9956673641830935,259.872183013777,1.5688724732067892e-08,12.213007546153074,0.415235190126442,0.018748190419122193,0.4339833805455642,228806166141.24765
hydrostatic_proxy,150,300,0.001,5.5e-19,3.133600214298655e+18,78572.13906983388,2.397481733877376,295.64375134227333,2.4494253294958712e-08,13.413805256123101,0.12781059126336566,0.00486853718329652,0.1326791284466622,748405570094.4255
hydrostatic_proxy,150,300,0.1,5.5e-19,3.133600405562052e+18,78572.14034523825,2.9981348255523055,299.1914340768412,1.5662911769725783e-08,10.59926361576114,1.7059578305200096,0.09677097102597441,1.802728801545984,55081942852.61945
hydrostatic_proxy,150,300,10,5.5e-19,3.133612276367935e+18,78572.23631496992,4.107174223628889,299.85877200678175,8.346195796779665e-09,7.719979095607157,22.804832926597683,1.9413711778339238,24.746204104431605,4012663136.9246545
hydrostatic_proxy,150,350,0.001,5.5e-19,3.1336002155557775e+18,78572.1390761647,2.710842438755859,344.64837807374397,1.9158710171483147e-08,10.176431021353325,2.337552295000417,0.14076014614922397,2.478312441149641,40066699079.52736
hydrostatic_proxy,150,350,0.1,5.5e-19,3.1336004786353316e+18,78572.14080338756,4.05016966296354,349.11778833999387,8.58278802674796e-09,6.724048142114249,50.68227835761062,4.961900769863353,55.644179127473976,1784513828.7259207
no_exobase_below_30R,150,350,10,,,,,,,,,,,
hydrostatic_proxy,150,400,0.001,5.5e-19,3.1336002169265336e+18,78572.13908275537,3.1695611648542314,393.9725696791695,1.4014465755563672e-08,7.613965173838326,21.851497801018354,1.888140544344928,23.739638345363282,4182784817.6727834
hydrostatic_proxy,150,400,0.1,5.5e-19,3.13360055772091e+18,78572.14127768503,8.414903651901332,399.3227242445153,1.988275400134203e-09,2.829455285757557,1154.4425865923615,193.39669656145753,1347.839283153819,73671847.14694071
no_exobase_below_30R,150,400,10,,,,,,,,,,,
no_exobase_below_30R,150,600,0.001,,,,,,,,,,,
no_exobase_below_30R,150,600,0.1,,,,,,,,,,,
no_exobase_below_30R,150,600,10,,,,,,,,,,,
hydrostatic_proxy,180,230,0.001,5.5e-19,3.141349359869751e+18,78658.4714823031,2.4301439460777035,228.56095750234692,2.3840250842829818e-08,17.117564077545616,0.004500381291350777,0.00010140498438678544,0.004601786275737563,21631459699666.676
hydrostatic_proxy,180,230,0.1,5.5e-19,3.1413494445082706e+18,78658.47198652233,2.5968034345452957,229.7033787709536,2.0878373618191885e-08,15.939311126902531,0.01363550841291738,0.00036312586875995856,0.013998634281677339,7110933470304.34
hydrostatic_proxy,180,230,10,5.5e-19,3.141354099946189e+18,78658.50728062188,2.7925035034606376,229.9391165670535,1.8054578990030392e-08,14.807080009491001,0.039457197126991805,0.0012337401225167672,0.04069093724950857,2446331082611.2
hydrostatic_proxy,180,250,0.001,5.5e-19,3.141349360586619e+18,78658.47148545801,2.5423714888497235,248.04507404997463,2.178195215656333e-08,15.076703425406263,0.02950643523849777,0.0008880070456032723,0.030394442284101042,3275051190687.002
hydrostatic_proxy,180,250,0.1,5.5e-19,3.1413494805269903e+18,78658.47219584549,2.8125414066644705,249.60624715863094,1.7798236326780365e-08,13.543210621500839,0.12331192534276174,0.004611864727686949,0.12792379007044868,778145786164.3573
hydrostatic_proxy,180,250,10,5.5e-19,3.1413560650994437e+18,78658.52187745049,3.1584173048830757,249.92148065861045,1.4113534803749418e-08,12.044892062674146,0.49456421656640964,0.022867555759015196,0.5174317723254248,192380082109.4503
hydrostatic_proxy,180,260,0.001,5.5e-19,3.1413493609534336e+18,78658.47148705405,2.603855190457911,257.80110892795267,2.0765441218954797e-08,14.163624328052617,0.06802849875641491,0.0023301859948483723,0.07035868475126328,1414798397047.1938
hydrostatic_proxy,180,260,0.1,5.5e-19,3.1413494988832957e+18,78658.47230153516,2.938307518493393,259.5629309063096,1.630723485585292e-08,12.466257472386747,0.3287099869147659,0.014318965159160018,0.3430289520739259,290189379565.0147
hydrostatic_proxy,180,260,10,5.5e-19,3.141357063448056e+18,78658.52923721205,3.389772098640641,259.91439457916914,1.2252756932802536e-08,10.791335012947956,1.5354819480424962,0.08476827342248949,1.6202502214649857,61437176284.88119
hydrostatic_proxy,180,300,0.001,5.5e-19,3.1413493624826353e+18,78658.47149356939,2.8962039270025084,296.9275363025098,1.678481436221248e-08,11.055958384086734,1.1273244709977477,0.05995046304101384,1.1872749340387616,83841873182.88298
hydrostatic_proxy,180,300,0.1,5.5e-19,3.14134957483826e+18,78658.47273148477,3.630831594327025,299.43066381323615,1.0679787418301532e-08,8.745278192662727,9.148169320433967,0.6741256856260818,9.822295006060049,10134430000.384039
hydrostatic_proxy,180,300,10,5.5e-19,3.141361169776687e+18,78658.55910176465,5.030936258184433,299.9013098858583,5.562591811607973e-09,6.30157095441629,78.86853778741363,8.191845098146965,87.0603828855606,1143387213.6114187
hydrostatic_proxy,180,350,0.001,5.5e-19,3.141349364560162e+18,78658.47150203768,3.4252243984097412,346.10792514849373,1.200042875377016e-08,8.020019706914054,16.26543053281953,1.3274613480617838,17.592891880881314,5658157578.226408
hydrostatic_proxy,180,350,0.1,5.5e-19,3.141349676456684e+18,78658.47328638766,5.667298242306061,349.400591145247,4.383516903870166e-09,4.801493051656815,260.2137100053619,33.30585808346774,293.51956808882966,339137063.50237405
no_exobase_below_30R,180,350,10,,,,,,,,,,,
hydrostatic_proxy,180,400,0.001,5.5e-19,3.1413493668916265e+18,78658.47151092802,4.3624875998479435,395.71328288746224,7.397865161235774e-09,5.507584566011914,135.37238313031094,15.708513775815941,151.08089690612687,658874527.6939727
no_exobase_below_30R,180,400,0.1,,,,,,,,,,,
no_exobase_below_30R,180,400,10,,,,,,,,,,,
no_exobase_below_30R,180,600,0.001,,,,,,,,,,,
