fatom,tc,te,ph,status,exo_R,exo_T,atomic_number_fraction_exo,lambda_N,loss_N2_kg_s,loss_O2_kg_s,loss_N_kg_s,loss_O_kg_s,total_kg_s,inventory_timescale_yr
0,180,250,0.1,diffusive_proxy,2.86998294530646,250.0,0.0,6.625622498453647,0.18733109200278816,0.0008127917877768635,0.0,0.0,0.18814388379056501,529081021333.12805
1e-08,180,250,0.1,diffusive_proxy,2.86998294530646,250.0,2.3505272857886082e-05,6.625622498453647,0.18733109012947724,0.0008127917796489455,0.0012011653980279274,3.9778877199273964e-05,0.1893848261843534,525614222633.6271
1e-06,180,250,0.1,diffusive_proxy,2.870870018129983,250.0,0.0023498535347646283,6.623575241134373,0.18739287027388893,0.000813057771457767,0.12015853633930652,0.003979260775057942,0.31234372515971115,318698120612.4562
0.0001,180,250,0.1,diffusive_proxy,2.969223120190653,250.0,0.22670407010749516,6.404174695830797,0.19425957278099346,0.0008426147625954244,12.483351608604423,0.41320467226648927,13.0916584684145,7603571268.961537
0.01,180,250,0.1,no_exobase_below_30R,,,,,,,,,,
0,180,260,0.1,diffusive_proxy,3.005226236152595,260.0,0.0,6.084088082136758,0.5014645510205215,0.0025033729562885377,0.0,0.0,0.50396792397681,197519234933.98795
1e-08,180,260,0.1,diffusive_proxy,3.005226236152595,260.0,2.4606740194363574e-05,6.084088082136758,0.501464546005876,0.002503372931254808,0.001969381074035564,6.98945651294826e-05,0.5060071945762958,196723208369.6402
1e-06,180,260,0.1,diffusive_proxy,3.0063099512028875,260.0,0.002460057492592301,6.081894889176307,0.5016586201047784,0.002504333806347635,0.1970191538815607,0.006992294156869203,0.7081744019495558,140563339342.8704
0.0001,180,260,0.1,diffusive_proxy,3.12729162950274,260.0,0.2377156125988634,5.84661211477997,0.5233901577576455,0.00261189492746259,20.611232065538015,0.731051522400456,21.86828564062358,4551950729.519153
0.01,180,260,0.1,no_exobase_below_30R,,,,,,,,,,
0,180,300,0.1,diffusive_proxy,3.766347174740809,300.0,0.0,4.2073089854206325,14.265393044959596,0.11349871143231255,0.0,0.0,14.378891756391909,6922881322.740807
1e-08,180,300,0.1,diffusive_proxy,3.766347174740809,300.0,3.079380829900991e-05,4.2073089854206325,14.26539290230567,0.11349871029732544,0.011042021093164945,0.0004924832974611529,14.390426116993622,6917332424.5407
1e-06,180,300,0.1,diffusive_proxy,3.769064030470474,300.0,0.003079292911119244,4.204276229428402,14.276762920198681,0.1135881911704027,1.1051516974523294,0.04928997844044858,15.544792787261862,6403646709.501836
0.0001,180,300,0.1,diffusive_proxy,4.105922399419097,300.0,0.303469463338471,3.8593487087682234,15.698927656694257,0.12477060168375802,122.45994602241464,5.452233302061025,143.73587758285367,692543593.5412681
0.01,180,300,0.1,no_exobase_below_30R,,,,,,,,,,
0,180,350,0.1,diffusive_proxy,6.273462810951026,350.0,0.0,2.1650635093095416,445.3479780609207,5.424426880616746,0.0,0.0,450.77240494153745,220828434.28501582
1e-08,180,350,0.1,diffusive_proxy,6.273462810951026,350.0,5.1146570958681214e-05,2.1650635093095416,445.3479736074409,5.4244268263724775,0.07987454122766074,0.004360603462111028,450.85663557850313,220787178.33309644
1e-06,180,350,0.1,diffusive_proxy,6.294176855439641,350.0,0.005124980790180056,2.157938316789132,447.0947944409628,5.445354233162483,8.022187683054794,0.4379160907371094,461.0002524479172,215929088.70126274
0.0001,180,350,0.1,no_exobase_below_30R,,,,,,,,,,
0.01,180,350,0.1,no_exobase_below_30R,,,,,,,,,,
