absorption_radius_R,efficiency,unfiltered_kg_s,transmission_for_10kg_s,transmission_for_100kg_s
1.5,0.01,526.2557984585292,0.01900216592252529,0.1900216592252529
1.5,0.1,5262.557984585291,0.0019002165922525293,0.019002165922525294
1.5,0.3,15787.67395375587,0.0006334055307508432,0.006334055307508432
2,0.01,1247.4211519016987,0.008016538748565357,0.08016538748565356
2,0.1,12474.211519016982,0.000801653874856536,0.008016538748565361
2,0.3,37422.63455705095,0.00026721795828551196,0.00267217958285512
3,0.01,4210.046387668233,0.0023752707403156613,0.023752707403156614
3,0.1,42100.46387668233,0.00023752707403156616,0.0023752707403156617
3,0.3,126301.39163004696,7.91756913438554e-05,0.000791756913438554
5,0.01,19490.955498464045,0.0005130584799081828,0.005130584799081828
5,0.1,194909.55498464042,5.130584799081829e-05,0.0005130584799081829
5,0.3,584728.6649539212,1.7101949330272763e-05,0.00017101949330272764
