shape,variation,max_root_utilization,relative_change,maximum_divergence,momentum_relative_residual
flat,coarse,0.5398822112895959,0.0,8.838416110101832e-16,1.534993770564203e-08
flat,fine,0.5235385790519947,-0.0302725889014972,1.942890293094024e-15,3.5310546129813465e-09
flat,wide,0.5344204499020738,-0.010116579641466172,8.864436962241484e-16,1.4551582333078654e-08
flat,tall,0.5337403426193702,-0.011376312354420492,8.951173136040325e-16,1.6096855034012848e-08
flat,long,0.5397091226032182,-0.0003206045369863464,8.881784197001252e-16,1.1647657584306657e-09
flat,mixing_half,0.5373873148771006,-0.004621186548332212,8.836247705756861e-16,2.0648526002027407e-09
flat,mixing_double,0.5440855042446814,0.0077855740885501845,9.08995101411847e-16,9.992800443993688e-08
dome,coarse,0.5994170038784272,0.0,8.951173136040325e-16,1.796092137633865e-08
dome,fine,0.5705083806660691,-0.04822789981817277,1.915134717478395e-15,4.76892825776092e-09
dome,wide,0.5934475515983871,-0.009958763667723414,8.881784197001252e-16,1.621380238451731e-08
dome,tall,0.5926829142058676,-0.011234398805819334,8.951173136040325e-16,1.1647962950553616e-08
dome,long,0.5992181689244096,-0.0003317139032278371,8.936902219065866e-16,1.1292641779772308e-09
dome,mixing_half,0.5965396540884874,-0.004800247192392582,8.890457814381136e-16,3.1990935404997375e-09
dome,mixing_double,0.6039567375376433,0.0075735817133022465,9.345822726825048e-16,9.565969367789406e-08
