layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
0,95763.5,3.51554,285.118,0.0106567,0.157136,-0.33462,0.000680138,,,7.90843e-20,4.21108e-25,4.48613e-11,1.96071e-23,1.86799e-15,6.34111e-13,2.26735e-11,5.3e-07,1.55844e-13,1.23861e-14,5.81414e-21,2.69051e-25,9.50859e-15,3.3e-07,1.95754e-37,7.962e-06,0.00187525
1,83384.9,10.4966,279.195,0.00714568,0.142742,-0.276191,0.000726765,,,2.19358e-19,1.56108e-24,9.20996e-11,6.12971e-23,6.4162e-15,1.18334e-12,4.9176e-11,5.13194e-07,1.81768e-13,1.82764e-14,3.50388e-20,4.81245e-24,6.67211e-14,3.29927e-07,1.02313e-36,1.26565e-05,0.00249776
2,72606.4,17.3753,273.089,0.00457457,0.149565,-0.232163,0.000746553,,,6.5382e-19,5.22402e-24,2.09338e-10,1.16034e-22,1.35225e-14,1.62323e-12,5.62235e-11,4.96324e-07,2.54645e-13,2.76142e-14,1.40111e-19,6.20693e-23,1.60767e-13,3.29846e-07,4.822e-36,1.65048e-05,0.00302763
3,63221.1,24.1468,266.828,0.0027504,0.154391,-0.255336,0.000749004,,,2.06347e-18,1.72494e-23,5.15323e-10,1.93333e-22,2.53865e-14,1.99876e-12,5.52607e-11,4.80243e-07,4.00887e-13,4.71198e-14,5.3266e-19,9.05733e-22,3.66762e-13,3.29758e-07,2.27993e-35,1.97127e-05,0.00347574
4,55049,30.8021,260.096,0.00152616,0.157254,-0.323408,0.000765829,,,6.15835e-18,5.19445e-23,1.22862e-09,2.84911e-22,4.31242e-14,2.18458e-12,4.60512e-11,4.65903e-07,6.88914e-13,8.75945e-14,1.89503e-18,1.45592e-20,8.21889e-13,3.29661e-07,1.09348e-34,2.23127e-05,0.00385096
5,47933.3,37.3246,252.679,0.000770556,0.152883,-0.373841,0.000826306,,,1.59611e-17,1.33637e-22,2.60933e-09,3.60455e-22,6.49399e-14,2.04198e-12,3.04761e-11,4.5417e-07,1.29618e-12,1.72533e-13,5.96369e-18,2.1913e-19,1.76204e-12,3.29557e-07,5.37019e-34,2.43982e-05,0.00416151
6,41737.3,43.6952,244.64,0.000350616,0.141306,-0.360885,0.000952187,,,3.44351e-17,2.85728e-22,4.72084e-09,3.91595e-22,8.68252e-14,1.57326e-12,1.49421e-11,4.4545e-07,2.68743e-12,3.48538e-13,1.61309e-17,2.16553e-18,3.52403e-12,3.29444e-07,2.79657e-33,2.62031e-05,0.00442306
7,36342.3,49.8972,236.172,0.000143981,0.121989,-0.335198,0.00111712,,,6.12423e-17,5.03316e-22,7.17514e-09,3.74889e-22,1.05509e-13,9.5698e-13,5.0108e-12,4.39588e-07,6.05394e-12,6.88278e-13,3.70565e-17,1.12978e-17,6.38771e-12,3.29323e-07,1.65092e-32,2.77528e-05,0.00464905
8,31644.6,55.9193,227.533,5.40103e-05,0.0948935,-0.31551,0.00127349,,,9.13913e-17,7.44607e-22,9.27613e-09,3.19414e-22,1.17056e-13,4.49921e-13,1.14761e-12,4.36067e-07,1.41158e-11,1.26307e-12,6.90054e-17,3.52586e-17,1.00439e-11,3.29196e-07,1.34762e-31,2.91389e-05,0.00483777
9,27554.1,61.756,218.947,1.88045e-05,0.0709396,-0.273647,0.00137847,,,1.19207e-16,9.64698e-22,1.05771e-08,2.2555e-22,1.09783e-13,1.62463e-13,2.16185e-13,4.34235e-07,3.17846e-11,2.05207e-12,8.8749e-17,6.40767e-17,1.27114e-11,3.29061e-07,1.95963e-30,3.0457e-05,0.00499828
10,23992.4,67.4066,210.557,6.15438e-06,0.0501434,-0.194811,0.00144497,,,1.43814e-16,1.16835e-21,1.11619e-08,1.16473e-22,7.64626e-14,4.45514e-14,4.44692e-14,4.33401e-07,6.39961e-11,2.8198e-12,6.30876e-17,5.47267e-17,1.1838e-11,3.28919e-07,3.93366e-29,3.22087e-05,0.00515001
11,20891.1,72.8736,202.431,1.90713e-06,0.0361264,-0.112437,0.00147892,,,1.67037e-16,1.36074e-21,1.13883e-08,4.74152e-23,4.24338e-14,1.09313e-14,1.01422e-14,4.3299e-07,1.09422e-10,3.22194e-12,2.73915e-17,2.40483e-17,8.27094e-12,3.28769e-07,7.67825e-28,3.39188e-05,0.00528302
12,18190.7,78.1606,194.596,5.61159e-07,0.0289002,-0.0407294,0.00149159,,,1.91065e-16,1.56212e-21,1.14905e-08,2.06077e-23,2.52465e-14,3.25911e-15,2.94477e-15,4.32713e-07,1.62107e-10,3.15436e-12,1.1893e-17,9.068e-18,5.30776e-12,3.28612e-07,1.32909e-26,3.5637e-05,0.00540149
13,15839.3,83.3091,189.809,2.47324e-07,0.0251087,-0.0227214,0.00149196,0.417766,262.631,2.31502e-16,1.81274e-21,1.15485e-08,1.57883e-23,2.24848e-14,1.78255e-15,1.82698e-15,4.32474e-07,2.18167e-10,3.07231e-12,9.21792e-18,5.941e-18,4.70376e-12,3.28445e-07,2.04708e-25,3.71962e-05,0.00550885
14,13791.9,88.387,187.193,2.47324e-07,0.0251342,-0.0264894,0.00186228,0.420248,254.116,3.26091e-16,2.28416e-21,1.24709e-08,6.27226e-24,8.38363e-15,6.8743e-17,2.03653e-16,4.25309e-07,2.05993e-09,2.42842e-11,3.45689e-18,1.50316e-17,1.29143e-11,3.227e-07,2.83582e-24,3.85951e-05,0.00560777
15,12009.1,93.4273,184.951,2.47324e-07,0.0256239,-0.0244424,0.00213971,0.430295,239.462,4.49088e-16,2.82994e-21,1.32727e-08,6.10802e-24,7.86875e-15,3.24109e-17,1.41976e-16,4.18191e-07,3.93657e-09,3.88554e-11,2.6167e-18,1.56373e-17,1.63645e-11,3.1677e-07,3.47926e-23,3.98453e-05,0.00570033
