layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
0,117351,3.873,305.716,0.0302323,0.120837,-0.0594846,0.000503742,,,1.66331e-18,3.70516e-24,9.34282e-10,3.32382e-22,1.70598e-14,2.17912e-12,3.3554e-10,5.3e-07,6.79769e-13,4.18482e-13,1.53127e-17,2.03498e-21,7.75224e-12,3.3e-07,6.83497e-50,4.0846e-06,0.00172605
1,101973,11.5844,301.127,0.023182,0.111411,-0.119639,0.000563726,,,2.55229e-18,8.02339e-24,1.03203e-09,6.02015e-22,3.12474e-14,3.03892e-12,3.3808e-10,5.26205e-07,8.69676e-13,4.04814e-13,2.08809e-17,4.09747e-21,9.41474e-12,3.29981e-07,9.91247e-49,6.87236e-06,0.00242476
2,88610.8,19.2271,296.483,0.017548,0.120553,-0.213882,0.000599496,,,4.1681e-18,1.50629e-23,1.24258e-09,9.22022e-22,4.85495e-14,3.76862e-12,3.12702e-10,5.22474e-07,1.15402e-12,4.52187e-13,2.98534e-17,1.02329e-20,1.12213e-11,3.2996e-07,1.39232e-47,9.25621e-06,0.00302749
3,76999.3,26.8009,291.758,0.0130795,0.130416,-0.300502,0.000621566,,,7.07886e-18,2.69436e-23,1.58716e-09,1.30477e-21,7e-14,4.35029e-12,2.69576e-10,5.18923e-07,1.55506e-12,5.40319e-13,4.23424e-17,2.79217e-20,1.32176e-11,3.29937e-07,1.72995e-46,1.12622e-05,0.00353764
4,66909.4,34.3042,286.916,0.00956818,0.141011,-0.340462,0.000638543,,,1.21316e-17,4.63605e-23,2.07903e-09,1.74528e-21,9.59557e-14,4.72217e-12,2.18034e-10,5.15652e-07,2.11873e-12,6.6406e-13,5.85758e-17,7.91938e-20,1.54152e-11,3.29911e-07,1.82531e-45,1.29219e-05,0.00396703
5,58141.6,41.7336,281.918,0.00684062,0.151082,-0.294518,0.000657369,,,2.0489e-17,7.65265e-23,2.72025e-09,2.22425e-21,1.26293e-13,4.82095e-12,1.65264e-10,5.12739e-07,2.93398e-12,8.25854e-13,7.8645e-17,2.30415e-19,1.77797e-11,3.29883e-07,2.35328e-44,1.43094e-05,0.00432756
6,50522.8,49.0838,276.71,0.00475308,0.16063,-0.284145,0.000681995,,,3.35619e-17,1.20456e-22,3.49549e-09,2.70419e-21,1.60191e-13,4.60372e-12,1.16655e-10,5.10239e-07,4.15309e-12,1.0306e-12,1.02009e-16,6.85436e-19,2.0214e-11,3.29851e-07,1.77727e-42,1.54575e-05,0.00462761
7,43902.3,56.3513,271.504,0.0031873,0.168981,-0.333706,0.000712064,,,5.30412e-17,1.80909e-22,4.36737e-09,3.1556e-21,1.95803e-13,4.10032e-12,7.61931e-11,5.08178e-07,6.01077e-12,1.28341e-12,1.26478e-16,1.98954e-18,2.25419e-11,3.29816e-07,2.60139e-40,1.64376e-05,0.00487613
8,38149.4,63.534,266.245,0.00204012,0.176131,-0.424322,0.000744763,,,8.05041e-17,2.59622e-22,5.28114e-09,3.52192e-21,2.30349e-13,3.3817e-12,4.57599e-11,5.06553e-07,8.84974e-12,1.58045e-12,1.48605e-16,5.54831e-18,2.45002e-11,3.29777e-07,3.15357e-38,1.73099e-05,0.00508052
9,33150.3,70.6234,260.524,0.00122618,0.177631,-0.5045,0.000779111,,,1.16408e-16,3.53742e-22,6.17189e-09,3.67394e-21,2.58933e-13,2.54429e-12,2.51967e-11,5.05344e-07,1.31093e-11,1.8916e-12,1.63985e-16,1.50278e-17,2.57414e-11,3.29734e-07,3.37124e-36,1.79935e-05,0.00524599
10,28806.3,77.6026,254.164,0.000679591,0.173473,-0.532648,0.000810174,,,1.60149e-16,4.58441e-22,6.98441e-09,3.50706e-21,2.74822e-13,1.73574e-12,1.28399e-11,5.04501e-07,1.92097e-11,2.16493e-12,1.67596e-16,3.56443e-17,2.59393e-11,3.29687e-07,3.27649e-34,1.84774e-05,0.00537799
11,25031.6,84.4502,247.084,0.000340871,0.158544,-0.533117,0.000836595,,,2.10261e-16,5.70916e-22,7.69281e-09,3.00633e-21,2.72265e-13,1.07522e-12,6.19308e-12,5.03953e-07,2.73701e-11,2.33776e-12,1.5713e-16,6.00705e-17,2.49566e-11,3.29635e-07,2.6746e-32,1.88505e-05,0.00548411
12,21751.4,91.1439,239.313,0.000152621,0.132843,-0.527268,0.000854844,,,2.65206e-16,6.8627e-22,8.30534e-09,2.2766e-21,2.48744e-13,6.062e-13,2.91255e-12,5.03615e-07,3.74594e-11,2.3577e-12,1.34576e-16,6.47716e-17,2.29709e-11,3.2958e-07,1.71708e-30,1.90576e-05,0.00558527
13,18901.1,97.6632,231.029,6.08938e-05,0.104533,-0.49427,0.00086628,,,3.24476e-16,8.02934e-22,8.85263e-09,1.52054e-21,2.08912e-13,3.14081e-13,1.37479e-12,5.03409e-07,4.89758e-11,2.22877e-12,1.06408e-16,5.02726e-17,2.04579e-11,3.2952e-07,8.46272e-29,1.9101e-05,0.00567059
14,16424.4,103.994,222.51,2.19096e-05,0.0736243,-0.385835,0.000874635,,,3.89123e-16,9.22828e-22,9.36984e-09,9.12312e-22,1.63158e-13,1.5265e-13,6.6519e-13,5.03275e-07,6.12963e-11,1.99121e-12,7.98842e-17,3.2523e-17,1.79767e-11,3.29456e-07,3.20088e-27,1.90186e-05,0.00574431
15,14272.1,110.128,214.008,7.23908e-06,0.050868,-0.225841,0.000887769,,,4.62527e-16,1.06389e-21,9.88435e-09,5.16804e-22,1.23497e-13,7.28814e-14,3.35852e-13,5.03173e-07,7.39209e-11,1.69583e-12,6.03939e-17,1.95967e-17,1.59662e-11,3.29388e-07,9.38148e-26,1.91112e-05,0.00582414
16,12401.9,116.064,205.689,2.22956e-06,0.03627,-0.0670272,0.000909754,,,5.48071e-16,1.23024e-21,1.0413e-08,2.98658e-22,9.72599e-14,3.67694e-14,1.84367e-13,5.03085e-07,8.65503e-11,1.39146e-12,5.0221e-17,1.22659e-17,1.46838e-11,3.29315e-07,2.13857e-24,1.9323e-05,0.00590472
17,10776.8,121.857,201.251,1.01131e-06,0.0291533,-0.0267346,0.000931675,0.483013,157.654,7.01669e-16,1.46186e-21,1.09698e-08,2.50893e-22,9.15885e-14,2.60709e-14,1.23223e-13,5.03e-07,9.9004e-11,1.24771e-12,4.56505e-17,9.24368e-18,1.42691e-11,3.29237e-07,3.76281e-23,1.95636e-05,0.00598185
18,9364.59,127.604,199.96,1.01131e-06,0.0309626,-0.0323318,0.00239817,0.521299,143.917,2.5369e-15,4.65823e-21,3.02921e-08,1.60897e-22,5.42106e-14,5.63821e-15,1.06167e-14,5.00201e-07,4.88988e-10,1.37657e-11,4.03269e-17,6.48802e-17,2.88356e-11,3.26505e-07,5.2711e-22,1.98065e-05,0.00605634
19,8137.46,133.358,199.28,1.01131e-06,0.0345991,-0.0331762,0.00408513,0.587832,127.805,5.60808e-15,9.02039e-21,5.06298e-08,1.67934e-22,4.99411e-14,4.20301e-15,3.10846e-15,4.97335e-07,8.83212e-10,3.48726e-11,5.84285e-17,2.0068e-16,5.21645e-11,3.23618e-07,5.87858e-21,2.00424e-05,0.00612865
20,7071.13,139.137,199.254,1.01131e-06,0.0400712,-0.0407763,0.00600097,0.683331,114.578,1.07478e-14,1.50425e-20,7.24456e-08,2.12822e-22,5.37518e-14,4.1827e-15,2.41826e-15,4.94326e-07,1.29408e-09,6.27433e-11,8.63033e-17,4.48027e-16,8.07505e-11,3.20521e-07,5.23937e-20,2.03012e-05,0.00619898
21,6144.54,144.951,199.175,1.01131e-06,0.0460601,-0.0452878,0.00812263,0.785612,102.143,1.8993e-14,2.32312e-20,9.5851e-08,2.87153e-22,6.18645e-14,4.61534e-15,2.43159e-15,4.91173e-07,1.72479e-09,9.4841e-11,1.21991e-16,8.04169e-16,1.12647e-10,3.17214e-07,3.7778e-19,2.06038e-05,0.00626731
22,5339.36,150.799,199.199,1.01131e-06,0.0525915,-0.0529946,0.0104759,0.895776,92.3574,3.21282e-14,3.44176e-20,1.21253e-07,4.0348e-22,7.38578e-14,5.39984e-15,2.65248e-15,4.87844e-07,2.17997e-09,1.30483e-10,1.66053e-16,1.26132e-15,1.47318e-10,3.13664e-07,2.23907e-18,2.09644e-05,0.00633347
