layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
0,94839.3,3.24394,264.198,0.00226905,0.153147,-0.202723,0.000637081,,,1.26385e-30,1e-30,1.10098e-21,1e-30,6.96769e-28,8.80991e-22,4.06102e-29,5.3e-07,1.40181e-16,2.83215e-26,1e-30,1e-30,1e-30,3.3e-07,0,1.47634e-11,0.00104251
1,82588.3,9.65643,256.279,0.00111981,0.1309,-0.218371,0.000654812,,,1.58125e-30,1e-30,1.11796e-21,1e-30,8.86574e-28,8.80991e-22,4.10076e-29,5.3e-07,1.40181e-16,2.06023e-26,1e-30,1e-30,1e-30,3.3e-07,0,2.05394e-11,0.00133066
2,71919.7,15.9102,247.82,0.00050066,0.122797,-0.249247,0.000653671,,,1.92908e-30,1e-30,1.13307e-21,1e-30,1.16646e-27,8.80991e-22,4.02336e-29,5.3e-07,1.40181e-16,1.62481e-26,1e-30,1e-30,1e-30,3.3e-07,0,2.46981e-11,0.00157169
3,62629.3,21.9917,239.043,0.000203863,0.109198,-0.232992,0.000640659,,,2.30619e-30,1e-30,1.14645e-21,1e-30,1.58281e-27,8.8099e-22,3.92654e-29,5.3e-07,1.40181e-16,1.3415e-26,1e-30,1e-30,1e-30,3.3e-07,0,2.74502e-11,0.00178533
4,54539,27.8926,230.193,7.65874e-05,0.0901222,-0.208419,0.000621485,,,2.71587e-30,1e-30,1.15826e-21,1e-30,2.20466e-27,8.8099e-22,3.85908e-29,5.3e-07,1.40181e-16,1.14812e-26,1e-30,1e-30,1e-30,3.3e-07,0,2.90264e-11,0.00196635
5,47493.8,33.6098,221.46,2.69182e-05,0.0709444,-0.191919,0.000602077,,,3.16445e-30,1e-30,1.16864e-21,1e-30,3.13788e-27,8.80989e-22,3.84802e-29,5.3e-07,1.40181e-16,1.00786e-26,1e-30,1e-30,1e-30,3.3e-07,0,2.96519e-11,0.00211943
6,41358.7,39.1437,212.958,8.94042e-06,0.0516637,-0.167711,0.000577569,,,3.65922e-30,1e-30,1.17774e-21,1e-30,4.54995e-27,8.80987e-22,3.91407e-29,5.3e-07,1.40181e-16,9.00053e-27,1e-30,1e-30,1e-30,3.3e-07,0,3.09754e-11,0.00225203
7,36016.1,44.4973,204.737,2.82105e-06,0.0375914,-0.125446,0.000549747,,,4.20739e-30,1e-30,1.18568e-21,1e-30,6.71162e-27,8.80985e-22,4.0802e-29,5.3e-07,1.40181e-16,8.14918e-27,1e-30,1e-30,1e-30,3.3e-07,0,3.28616e-11,0.0023659
8,31363.7,49.6744,196.815,8.47294e-07,0.0287265,-0.084598,0.000517208,,,4.81594e-30,1e-30,1.19257e-21,1e-30,1.00683e-26,8.80982e-22,4.37674e-29,5.3e-07,1.40181e-16,7.45958e-27,1e-30,1e-30,1e-30,3.3e-07,0,3.44365e-11,0.0024639
9,27312.2,54.6797,189.193,2.42207e-07,0.0233353,-0.0533328,0.00048355,,,5.49188e-30,1e-30,1.19852e-21,1e-30,1.53653e-26,8.80976e-22,4.84525e-29,5.3e-07,1.40181e-16,6.8883e-27,1e-30,1e-30,1e-30,3.3e-07,0,3.5746e-11,0.00254914
