layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
0,98546.7,3.81806,305.889,0.0363473,0.141716,-0.0679367,0.000631318,,,1.70085e-18,4.59349e-24,7.57853e-10,4.86628e-22,2.51291e-14,2.6875e-12,3.44947e-10,5.3e-07,1.03845e-12,4.98272e-13,1.68177e-17,2.18837e-21,8.96875e-12,3.3e-07,1.43848e-46,5.42554e-06,0.00186922
1,85783.6,11.4229,301.662,0.0284674,0.129553,-0.136527,0.000686555,,,2.59783e-18,9.56793e-24,8.39725e-10,8.50266e-22,4.41302e-14,3.65314e-12,3.45754e-10,5.25016e-07,1.26605e-12,4.88497e-13,2.47626e-17,4.61524e-21,1.0843e-11,3.29981e-07,1.35472e-45,8.73183e-06,0.00251812
2,74673.5,18.9663,297.413,0.0220856,0.138991,-0.23971,0.000715822,,,4.25538e-18,1.78214e-23,1.01859e-09,1.29965e-21,6.79117e-14,4.49043e-12,3.19151e-10,5.20041e-07,1.61535e-12,5.41255e-13,3.63761e-17,1.11646e-20,1.28682e-11,3.2996e-07,1.23411e-44,1.15504e-05,0.00307785
3,65002.4,26.4496,293.126,0.0169452,0.149262,-0.32953,0.000730273,,,7.29542e-18,3.2093e-23,1.31535e-09,1.86834e-21,9.85332e-14,5.19139e-12,2.76258e-10,5.15199e-07,2.09854e-12,6.35564e-13,5.25656e-17,2.87323e-20,1.51066e-11,3.29937e-07,1.03805e-43,1.39537e-05,0.00355156
4,56583.7,33.873,288.778,0.0128311,0.160382,-0.381404,0.000738731,,,1.26914e-17,5.58916e-23,1.74883e-09,2.56495e-21,1.36987e-13,5.69049e-12,2.26135e-10,5.10608e-07,2.75353e-12,7.64177e-13,7.40018e-17,7.55653e-20,1.75871e-11,3.29911e-07,7.63085e-43,1.5914e-05,0.00394919
5,49255.4,41.2353,284.343,0.00956378,0.171116,-0.391025,0.000749242,,,2.19038e-17,9.39707e-23,2.33342e-09,3.38557e-21,1.83931e-13,5.92774e-12,1.75386e-10,5.06373e-07,3.656e-12,9.27729e-13,1.01351e-16,2.00957e-19,2.02991e-11,3.29882e-07,5.33629e-42,1.75401e-05,0.00428376
6,42876.2,48.5339,279.789,0.00699325,0.181468,-0.356732,0.000767219,,,3.69431e-17,1.51645e-22,3.07408e-09,4.29615e-21,2.38835e-13,5.8561e-12,1.28586e-10,5.02583e-07,4.93349e-12,1.13087e-12,1.34494e-16,5.38419e-19,2.31822e-11,3.29849e-07,9.33111e-41,1.88725e-05,0.00456369
7,37323.2,55.7655,275.106,0.00499579,0.191106,-0.376375,0.000795498,,,6.0353e-17,2.34103e-22,3.95918e-09,5.2356e-21,2.99849e-13,5.47255e-12,8.88351e-11,4.99299e-07,6.78136e-12,1.37883e-12,1.72034e-16,1.44313e-18,2.61125e-11,3.29814e-07,6.75489e-39,1.9946e-05,0.00479684
8,32489.4,62.9287,270.521,0.00347222,0.200027,-0.456593,0.000831968,,,9.54099e-17,3.46854e-22,4.95683e-09,6.16339e-21,3.63459e-13,4.85155e-12,5.78201e-11,4.96555e-07,9.47545e-12,1.67841e-12,2.09928e-16,3.68989e-18,2.88914e-11,3.29774e-07,5.22223e-37,2.0861e-05,0.0049915
9,28281.6,70.0239,265.923,0.00232927,0.206526,-0.559555,0.000875352,,,1.45454e-16,4.92918e-22,6.01897e-09,6.96763e-21,4.24563e-13,4.06353e-12,3.53817e-11,4.94351e-07,1.34049e-11,2.02675e-12,2.42797e-16,8.9751e-18,3.12337e-11,3.2973e-07,3.52558e-35,2.16294e-05,0.00515387
10,24618.7,77.0441,260.927,0.0014871,0.210602,-0.636676,0.000922814,,,2.12373e-16,6.69205e-22,7.08386e-09,7.42129e-21,4.75738e-13,3.17781e-12,2.02941e-11,4.92666e-07,1.90578e-11,2.3946e-12,2.64805e-16,2.11514e-17,3.27636e-11,3.29681e-07,2.2145e-33,2.21951e-05,0.00528814
11,21430.3,83.9755,255.42,0.000890142,0.205231,-0.676544,0.000968595,,,2.96791e-16,8.69523e-22,8.09263e-09,7.34253e-21,5.07339e-13,2.30754e-12,1.09529e-11,4.91452e-07,2.69119e-11,2.73322e-12,2.69297e-16,4.49028e-17,3.31193e-11,3.29627e-07,1.26375e-31,2.25601e-05,0.0053988
12,18654.8,90.8006,249.28,0.00049043,0.190408,-0.701482,0.00100932,,,3.97458e-16,1.08811e-21,9.00731e-09,6.63764e-21,5.10349e-13,1.54905e-12,5.62819e-12,4.90627e-07,3.72707e-11,2.9766e-12,2.53188e-16,7.45185e-17,3.21077e-11,3.29568e-07,6.09132e-30,2.27888e-05,0.00548953
13,16238.8,97.4986,242.426,0.000243979,0.165949,-0.717486,0.00104154,,,5.11725e-16,1.3177e-21,9.82098e-09,5.38219e-21,4.78962e-13,9.56208e-13,2.80459e-12,4.90096e-07,5.00955e-11,3.05542e-12,2.18966e-16,8.5943e-17,2.98505e-11,3.29504e-07,2.36976e-28,2.28766e-05,0.00557821
14,14135.6,104.047,234.887,0.000108083,0.131859,-0.697723,0.00106433,,,6.37075e-16,1.55194e-21,1.05546e-08,3.86323e-21,4.15633e-13,5.41343e-13,1.38501e-12,4.89763e-07,6.49059e-11,2.94852e-12,1.74905e-16,7.14581e-17,2.68326e-11,3.29434e-07,7.33395e-27,2.2798e-05,0.00565891
15,12304.9,110.426,226.845,4.25803e-05,0.0989373,-0.569816,0.00108195,,,7.73176e-16,1.79115e-21,1.12434e-08,2.46003e-21,3.33595e-13,2.82961e-13,6.91557e-13,4.89545e-07,8.09562e-11,2.68582e-12,1.31457e-16,4.80799e-17,2.37355e-11,3.2936e-07,1.80946e-25,2.25828e-05,0.00573103
16,10711.3,116.622,218.573,1.51067e-05,0.0671913,-0.345429,0.00109608,,,9.22848e-16,2.04527e-21,1.19209e-08,1.42661e-21,2.52362e-13,1.40004e-13,3.56326e-13,4.89386e-07,9.75285e-11,2.32881e-12,9.6722e-17,2.90997e-17,2.11863e-11,3.2928e-07,3.57401e-24,2.23265e-05,0.00580031
17,9324.01,122.627,210.32,4.91687e-06,0.0467517,-0.11306,0.0011282,,,1.09682e-15,2.36292e-21,1.26116e-08,8.08947e-22,1.91517e-13,7.01026e-14,1.98205e-13,4.89251e-07,1.1413e-10,1.93795e-12,7.56584e-17,1.77648e-17,1.96095e-11,3.29195e-07,5.63649e-23,2.24417e-05,0.0058817
