layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
29,1963.86,166.867,181.96,3.49318e-07,0.0890374,-0.0890074,0.0351395,1.5368,79.9199,2.90145e-13,6.15962e-19,1.44583e-07,5.20052e-21,6.06934e-13,5.13565e-15,2.12371e-14,4.93899e-07,1.27163e-08,1.65951e-10,1.76411e-16,3.8458e-16,1.42778e-10,3.18719e-07,1.28261e-15,0.000132812,0.00683547
30,1706.93,172.331,182.381,3.49318e-07,0.0979182,-0.0978937,0.0408366,1.69127,75.4743,4.43767e-13,8.44441e-19,1.61711e-07,8.68528e-21,8.28136e-13,7.22767e-15,2.91168e-14,4.91207e-07,1.39141e-08,1.78375e-10,2.18531e-16,4.17149e-16,1.56824e-10,3.17654e-07,2.36071e-15,0.000140989,0.00687881
31,1483.61,177.842,182.982,3.49318e-07,0.108209,-0.108164,0.0475771,1.87189,71.3851,6.8258e-13,1.1613e-18,1.80895e-07,1.49706e-20,1.13348e-12,1.032e-14,3.99085e-14,4.88361e-07,1.51817e-08,1.92662e-10,2.71946e-16,4.5401e-16,1.72163e-10,3.16524e-07,4.19567e-15,0.000149891,0.00691865
32,1289.51,183.406,183.771,3.49318e-07,0.120133,-0.120088,0.055586,2.08278,67.4732,1.05627e-12,1.60264e-18,2.0239e-07,2.68015e-20,1.55484e-12,1.49385e-14,5.45676e-14,4.85351e-07,1.65244e-08,2.0922e-10,3.39794e-16,4.956e-16,1.88769e-10,3.15324e-07,7.23225e-15,0.000159636,0.00695512
33,1120.81,189.029,184.756,3.49318e-07,0.134188,-0.13412,0.0651357,2.3324,63.6517,1.6448e-12,2.21997e-18,2.26437e-07,5.01322e-20,2.13506e-12,2.18976e-14,7.42342e-14,4.82169e-07,1.79477e-08,2.28481e-10,4.25863e-16,5.41968e-16,2.06457e-10,3.1405e-07,1.21441e-14,0.000170379,0.00698839
34,974.171,194.719,185.946,3.49318e-07,0.150701,-0.150619,0.0765548,2.62683,59.836,2.57739e-12,3.08689e-18,2.53242e-07,9.83675e-20,2.93031e-12,3.24532e-14,1.00156e-13,4.78804e-07,1.9458e-08,2.50889e-10,5.34541e-16,5.92597e-16,2.24815e-10,3.12695e-07,1.99477e-14,0.000182317,0.00701866
35,846.72,200.483,187.343,3.49318e-07,0.170188,-0.170075,0.0902387,2.97395,56.2518,4.06341e-12,4.3086e-18,2.82943e-07,2.02567e-19,4.01159e-12,4.85237e-14,1.33497e-13,4.7525e-07,2.10621e-08,2.76856e-10,6.70566e-16,6.46104e-16,2.43121e-10,3.11254e-07,3.21728e-14,0.000195706,0.00704615
36,735.944,206.328,188.941,3.49318e-07,0.193122,-0.192972,0.106661,3.3828,52.8027,6.44156e-12,6.03517e-18,3.15573e-07,4.35923e-19,5.46356e-12,7.2969e-14,1.74983e-13,4.715e-07,2.27673e-08,3.06631e-10,8.38478e-16,6.99849e-16,2.60267e-10,3.09721e-07,5.11121e-14,0.000210876,0.00707109
37,639.66,212.261,190.738,3.49318e-07,0.219944,-0.219748,0.126385,3.8608,49.4503,1.02617e-11,8.48095e-18,3.50996e-07,9.72445e-19,7.37827e-12,1.0998e-13,2.24321e-13,4.67552e-07,2.45814e-08,3.40368e-10,1.04168e-15,7.49884e-16,2.74759e-10,3.08089e-07,8.01744e-14,0.000228259,0.00709369
38,555.974,218.291,192.741,3.49318e-07,0.251324,-0.251057,0.150083,4.42144,46.1488,1.64203e-11,1.19526e-17,3.88852e-07,2.22516e-18,9.84049e-12,1.65553e-13,2.79486e-13,4.63407e-07,2.65121e-08,3.78154e-10,1.28199e-15,7.91547e-16,2.848e-10,3.06354e-07,1.24359e-13,0.00024842,0.00711419
