layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
0,113980,3.43346,274.401,0.0042977,0.136388,-0.202108,0.000633083,,,5.04058e-18,1.7708e-23,4.351e-09,1.60329e-22,2.13105e-14,1.66709e-12,9.6109e-11,5.3e-07,5.32653e-13,6.49327e-13,3.57637e-17,4.86515e-19,6.52529e-12,3.3e-07,1.34349e-41,4.15606e-06,0.00172093
1,99073.4,10.2327,267.092,0.00240848,0.121489,-0.169543,0.000725154,,,6.96375e-18,3.49533e-23,4.53995e-09,2.11732e-22,3.17885e-14,1.8276e-12,8.35815e-11,5.29325e-07,9.87919e-13,7.34768e-13,3.93324e-17,1.64478e-18,7.86756e-12,3.29993e-07,5.31188e-40,7.02272e-06,0.0023856
2,86116.1,16.8899,259.33,0.00122377,0.12125,-0.197484,0.000787746,,,9.46101e-18,5.62243e-23,4.82069e-09,2.39924e-22,4.1824e-14,1.62735e-12,5.91881e-11,5.28788e-07,2.0075e-12,9.74895e-13,4.83684e-17,8.30224e-18,9.31883e-12,3.29986e-07,1.52478e-38,9.57199e-06,0.00295084
3,74853.4,23.3893,250.952,0.000562215,0.116059,-0.238422,0.000833094,,,1.24997e-17,8.20046e-23,5.13829e-09,2.52714e-22,5.31223e-14,1.18673e-12,3.52042e-11,5.28387e-07,4.03166e-12,1.2822e-12,6.09216e-17,3.73794e-17,1.06644e-11,3.29978e-07,3.25317e-37,1.18754e-05,0.00342707
4,65063.8,29.7146,242.152,0.000233804,0.105934,-0.23227,0.00086887,,,1.59757e-17,1.1236e-22,5.43643e-09,2.41482e-22,6.34378e-14,7.09249e-13,1.8463e-11,5.28112e-07,7.63393e-12,1.56132e-12,7.36137e-17,8.72523e-17,1.15408e-11,3.2997e-07,5.17657e-36,1.40293e-05,0.0038357
5,56554.4,35.8546,233.186,8.89993e-05,0.0903822,-0.205359,0.000891728,,,1.9798e-17,1.46316e-22,5.68731e-09,2.00055e-22,6.76776e-14,3.60891e-13,9.10938e-12,5.27937e-07,1.32734e-11,1.7362e-12,7.94741e-17,1.10262e-16,1.16346e-11,3.29961e-07,6.18457e-35,1.60001e-05,0.00418381
6,49158,41.804,224.281,3.14759e-05,0.0694194,-0.182621,0.00090929,,,2.39662e-17,1.83518e-22,5.89438e-09,1.42376e-22,6.35024e-14,1.65198e-13,4.45617e-12,5.27834e-07,2.09976e-11,1.77297e-12,7.45452e-17,9.78189e-17,1.09453e-11,3.29951e-07,5.69349e-34,1.77906e-05,0.004475
7,42728.8,47.5621,215.58,1.04691e-05,0.0512458,-0.151726,0.000919339,,,2.8605e-17,2.2613e-22,6.0747e-09,8.90775e-23,5.337e-14,7.11658e-14,2.22556e-12,5.27771e-07,3.04388e-11,1.6768e-12,6.2345e-17,7.05208e-17,9.8034e-12,3.29941e-07,4.42624e-33,1.95781e-05,0.00472582
8,37140.6,53.1312,207.156,3.29805e-06,0.0358702,-0.102934,0.000929053,,,3.39425e-17,2.76809e-22,6.24424e-09,5.14638e-23,4.2079e-14,3.02431e-14,1.15721e-12,5.27729e-07,4.10668e-11,1.48717e-12,4.99645e-17,4.56971e-17,8.65012e-12,3.29931e-07,4.03089e-32,2.14863e-05,0.00494428
9,32283.1,58.5152,199.036,9.8697e-07,0.0263507,-0.0522337,0.000933412,,,4.00183e-17,3.34155e-22,6.41312e-09,2.96616e-23,3.35709e-14,1.35627e-14,6.54559e-13,5.27696e-07,5.24423e-11,1.25393e-12,4.2861e-17,2.97784e-17,7.83601e-12,3.29919e-07,6.62034e-31,2.32965e-05,0.00512919
