layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
0,95763.5,3.51554,285.118,0.0106567,0.157067,-0.332637,0.000730148,,,5.44437e-18,1.20245e-23,3.30684e-09,2.73117e-22,2.60201e-14,2.30126e-12,1.77453e-10,5.3e-07,4.86664e-13,4.51257e-13,2.33853e-17,3.94633e-20,6.0846e-12,3.3e-07,1.25361e-54,3.08429e-06,0.00186327
1,83384.9,10.4966,279.195,0.00714568,0.142734,-0.275723,0.000801545,,,7.62573e-18,2.26474e-23,3.49808e-09,3.88811e-22,3.94927e-14,2.72953e-12,1.65211e-10,5.28856e-07,7.56566e-13,4.78389e-13,2.69915e-17,9.73404e-20,7.2638e-12,3.2998e-07,3.49278e-53,4.83431e-06,0.00247777
2,72606.4,17.3753,273.089,0.00457457,0.149654,-0.232736,0.000845494,,,1.07999e-17,3.63461e-23,3.82711e-09,4.78428e-22,5.24221e-14,2.82043e-12,1.33213e-10,5.2788e-07,1.28646e-12,5.96678e-13,3.34396e-17,3.23061e-19,8.49741e-12,3.29957e-07,6.91516e-52,6.28116e-06,0.00300102
3,63221.1,24.1468,266.828,0.0027504,0.154537,-0.256115,0.000864714,,,1.53085e-17,5.45522e-23,4.26726e-09,5.49211e-22,6.57072e-14,2.59753e-12,9.43903e-11,5.27087e-07,2.23881e-12,7.79604e-13,4.13785e-17,1.19532e-18,9.72037e-12,3.29933e-07,1.18647e-50,7.52864e-06,0.00344373
4,55049,30.8021,260.096,0.00152616,0.157398,-0.323687,0.000873242,,,2.13016e-17,7.73357e-23,4.77001e-09,5.90555e-22,7.91031e-14,2.09703e-12,5.91707e-11,5.26475e-07,3.86081e-12,9.96956e-13,4.97235e-17,4.62222e-18,1.07843e-11,3.29906e-07,1.11512e-48,8.5564e-06,0.00381461
5,47933.3,37.3246,252.679,0.000770556,0.152851,-0.373206,0.000874561,,,2.86655e-17,1.03879e-22,5.28057e-09,5.83876e-22,9.08254e-14,1.46454e-12,3.33712e-11,5.26033e-07,6.45426e-12,1.20153e-12,5.68508e-17,1.55507e-17,1.14873e-11,3.29877e-07,3.74989e-46,9.37141e-06,0.00412168
6,41737.3,43.6952,244.64,0.000350616,0.140907,-0.35912,0.000875504,,,3.71673e-17,1.33917e-22,5.76071e-09,5.1937e-22,9.75836e-14,8.95473e-13,1.75253e-11,5.25733e-07,1.02648e-11,1.34373e-12,6.05847e-17,3.23216e-17,1.16645e-11,3.29846e-07,9.70065e-44,1.00642e-05,0.00438038
7,36342.3,49.8972,236.172,0.000143981,0.120928,-0.331166,0.000870409,,,4.66429e-17,1.65887e-22,6.20022e-09,4.10566e-22,9.66776e-14,4.9357e-13,8.9252e-12,5.2554e-07,1.53502e-11,1.3939e-12,5.95234e-17,3.9393e-17,1.12953e-11,3.29812e-07,2.10277e-41,1.05852e-05,0.00460395
8,31644.6,55.9193,227.533,5.40103e-05,0.0929292,-0.305301,0.000864023,,,5.71498e-17,1.99449e-22,6.60958e-09,2.91818e-22,8.87994e-14,2.5453e-13,4.55325e-12,5.25416e-07,2.1542e-11,1.35456e-12,5.46037e-17,3.4912e-17,1.05368e-11,3.29776e-07,4.32044e-39,1.0954e-05,0.00479051
9,27554.1,61.756,218.947,1.88045e-05,0.0681411,-0.253259,0.000855608,,,6.89512e-17,2.3556e-22,7.00593e-09,1.91177e-22,7.69868e-14,1.26885e-13,2.3759e-12,5.25334e-07,2.85542e-11,1.24496e-12,4.81765e-17,2.64307e-17,9.64086e-12,3.29738e-07,7.64154e-37,1.12279e-05,0.00494902
10,23992.4,67.4066,210.557,6.15438e-06,0.0465742,-0.162714,0.000852406,,,8.27717e-17,2.80201e-22,7.40413e-09,1.1943e-22,6.48479e-14,6.31555e-14,1.29246e-12,5.25273e-07,3.61041e-11,1.08965e-12,4.277e-17,1.87978e-17,8.85496e-12,3.29697e-07,1.0463e-34,1.16448e-05,0.00509877
11,20891.1,72.8736,202.431,1.90713e-06,0.0330422,-0.0639739,0.00084981,,,9.88582e-17,3.30453e-22,7.81428e-09,7.39512e-23,5.50038e-14,3.24945e-14,7.64737e-13,5.25221e-07,4.3968e-11,9.17797e-13,4.03562e-17,1.36243e-17,8.37222e-12,3.29654e-07,1.07068e-32,1.20045e-05,0.0052301
12,18190.7,78.1932,197.031,8.74995e-07,0.027539,-0.0269198,0.000841441,0.451987,226.624,1.24317e-16,3.96803e-22,8.24522e-09,5.78362e-23,5.1614e-14,2.10347e-14,5.44871e-13,5.25173e-07,5.1977e-11,8.13712e-13,4.01017e-17,1.12379e-17,8.33635e-12,3.29608e-07,8.00726e-31,1.23829e-05,0.00534718
13,15839.3,83.4436,194.938,8.74995e-07,0.0267034,-0.027011,0.00169951,0.444043,212.469,4.46331e-16,1.28184e-21,2.29727e-08,1.80761e-23,1.55675e-14,1.8111e-15,4.33322e-14,5.23648e-07,3.03183e-10,1.02731e-11,2.12957e-17,5.56673e-17,1.92358e-11,3.28017e-07,4.72629e-29,1.27026e-05,0.0054534
14,13791.9,88.6844,194.064,8.74995e-07,0.0298315,-0.0296196,0.00271973,0.498184,195.109,9.86054e-16,2.50732e-21,3.84882e-08,1.77482e-23,1.35248e-14,1.21938e-15,4.12579e-15,5.22069e-07,5.58246e-10,2.62887e-11,3.00264e-17,1.69238e-16,3.4023e-11,3.26337e-07,2.18369e-27,1.30007e-05,0.00555148
15,12009.1,93.9401,193.8,8.74995e-07,0.033363,-0.0334191,0.00389328,0.559654,177.393,1.8794e-15,4.20427e-21,5.50184e-08,2.21404e-23,1.43812e-14,1.17019e-15,8.5182e-16,5.20407e-07,8.23148e-10,4.70254e-11,4.43376e-17,3.773e-16,5.17501e-11,3.24547e-07,7.71002e-26,1.33057e-05,0.00564347
16,10456.8,99.2223,193.79,8.74995e-07,0.0372939,-0.0371861,0.00521626,0.6279,159.728,3.324e-15,6.53952e-21,7.27135e-08,3.00931e-23,1.64576e-14,1.27356e-15,5.84367e-16,5.18651e-07,1.10136e-09,7.12725e-11,6.28829e-17,6.84641e-16,7.18585e-11,3.22633e-07,2.0391e-24,1.36367e-05,0.00573085
17,9105.14,104.537,193.921,8.74995e-07,0.0417017,-0.0417167,0.0066917,0.703899,143.383,5.62125e-15,9.7418e-21,9.1736e-08,4.27279e-23,1.959e-14,1.47771e-15,6.12629e-16,5.16786e-07,1.3956e-09,9.823e-11,8.56561e-17,1.08367e-15,9.4069e-11,3.20583e-07,4.01992e-23,1.40063e-05,0.00581455
18,7928.19,109.886,194.098,8.74995e-07,0.0465905,-0.0465351,0.00832367,0.787704,128.536,9.21704e-15,1.41154e-20,1.12247e-07,6.21251e-23,2.39179e-14,1.78042e-15,7.01325e-16,5.14806e-07,1.708e-09,1.27106e-10,1.12739e-16,1.55385e-15,1.18184e-10,3.18384e-07,5.96442e-22,1.44223e-05,0.00589511
