layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
0,95763.5,0.579213,285.118,0.0106567,0.765811,-1.7354,0.00119473,,,7.43639e-18,3.68056e-23,3.34461e-09,6.22827e-22,5.9337e-14,3.69313e-12,1.63994e-10,5.3e-07,1.2572e-13,8.1049e-14,4.13894e-18,1.25644e-21,7.7637e-13,3.3e-07,1.35392e-27,9.33402e-06,0.00314943
1,83384.9,1.72506,279.195,0.00714568,0.655998,-1.54648,0.00116458,,,1.13345e-17,5.6223e-23,4.12634e-09,6.99262e-22,7.10876e-14,3.96398e-12,1.76585e-10,5.28395e-07,2.1643e-13,1.27979e-13,8.58439e-18,8.32796e-21,1.75907e-12,3.29927e-07,5.18831e-26,1.01741e-05,0.0033609
2,72606.4,2.84558,273.089,0.00457457,0.668898,-1.73212,0.0011506,,,1.79315e-17,8.67312e-23,5.33207e-09,7.58308e-22,8.32082e-14,4.01458e-12,1.54298e-10,5.27118e-07,4.20997e-13,2.31903e-13,1.59877e-17,6.09393e-20,3.04885e-12,3.29848e-07,1.44818e-24,1.0758e-05,0.00354559
3,63221.1,3.94047,266.828,0.0027504,0.667706,-2.00108,0.00114862,,,2.844e-17,1.32497e-22,6.9646e-09,7.86398e-22,9.42524e-14,3.7929e-12,1.18716e-10,5.26134e-07,8.36169e-13,4.25519e-13,2.74843e-17,4.54709e-19,4.80439e-12,3.2976e-07,2.92622e-23,1.12037e-05,0.00370763
4,55049,5.00876,260.096,0.00152616,0.652447,-2.11141,0.00117061,,,4.40487e-17,1.95707e-22,9.00334e-09,7.69556e-22,1.03286e-13,3.25889e-12,8.15786e-11,5.254e-07,1.66015e-12,7.58469e-13,4.4158e-17,3.55903e-18,7.15264e-12,3.29665e-07,4.34739e-22,1.14718e-05,0.0038492
5,47933.3,6.04832,252.679,0.000770556,0.595675,-2.07886,0.00121595,,,6.56261e-17,2.77004e-22,1.13944e-08,7.09765e-22,1.10645e-13,2.47958e-12,5.01634e-11,5.2487e-07,3.24083e-12,1.27699e-12,6.68653e-17,2.38275e-17,1.01627e-11,3.29561e-07,4.8617e-21,1.15812e-05,0.00397204
6,41737.3,7.05664,244.64,0.000350616,0.497419,-2.00307,0.00128627,,,9.37275e-17,3.78021e-22,1.40661e-08,6.14361e-22,1.15689e-13,1.64189e-12,2.80289e-11,5.24492e-07,6.10099e-12,1.98992e-12,9.55771e-17,9.26003e-17,1.38448e-11,3.29449e-07,4.19745e-20,1.16348e-05,0.00408521
7,36342.3,8.03168,236.172,0.000143981,0.387037,-1.8528,0.00137092,,,1.28793e-16,4.96762e-22,1.69575e-08,4.84705e-22,1.14395e-13,9.44941e-13,1.48061e-11,5.24224e-07,1.08609e-11,2.83741e-12,1.27497e-16,2.07198e-16,1.82387e-11,3.29329e-07,2.86667e-19,1.159e-05,0.00419519
8,31644.6,8.97225,227.533,5.40103e-05,0.264574,-1.41168,0.00146977,,,1.71572e-16,6.33331e-22,2.00365e-08,3.37443e-22,1.02908e-13,4.82306e-13,7.85225e-12,5.24025e-07,1.79616e-11,3.68545e-12,1.57304e-16,3.55911e-16,2.36881e-11,3.292e-07,1.58343e-18,1.14742e-05,0.00429443
9,27554.1,9.87813,218.947,1.88045e-05,0.178589,-0.666463,0.00157624,,,2.23354e-16,7.91412e-22,2.32985e-08,2.04844e-22,8.26353e-14,2.25424e-13,4.56375e-12,5.23862e-07,2.73213e-11,4.3425e-12,1.81632e-16,6.28553e-16,3.12113e-11,3.29063e-07,7.21468e-18,1.13432e-05,0.00438629
10,23992.4,10.7532,212.244,7.18475e-06,0.129112,-0.132144,0.0017089,0.0697442,35.8441,2.97486e-16,1.00662e-21,2.67661e-08,1.33433e-22,6.63238e-14,1.17609e-13,3.37207e-12,5.23712e-07,3.80175e-11,4.86134e-12,2.10863e-16,1.45037e-15,4.27263e-11,3.28918e-07,2.75838e-17,1.14385e-05,0.00448327
11,20891.1,11.6128,211.194,5e-06,0.117433,-0.115437,0.00868756,0.0641048,33.3582,2.13493e-15,6.32204e-21,1.45195e-07,4.61036e-23,2.01087e-14,1.9911e-14,3.22452e-13,5.18978e-07,2.61011e-10,1.46711e-10,1.49726e-15,8.83973e-14,4.559e-10,3.2392e-07,9.25661e-17,1.16148e-05,0.00457352
12,18190.7,12.4708,211.359,5e-06,0.138371,-0.140681,0.017331,0.0754037,30.1555,5.40284e-15,1.39463e-20,2.73561e-07,5.731e-23,2.03985e-14,2.33656e-14,3.62535e-14,5.13951e-07,4.05189e-10,3.68519e-10,4.66278e-15,5.48555e-13,9.26907e-10,3.18509e-07,2.79767e-16,1.18278e-05,0.00465785
13,15839.3,13.3294,211.321,5e-06,0.164324,-0.162758,0.0269899,0.0891079,26.3178,1.0801e-14,2.4529e-20,4.1036e-07,7.95661e-23,2.34875e-14,3.01007e-14,9.57748e-15,5.08714e-07,5.2938e-10,6.17693e-10,9.23276e-15,1.51747e-12,1.43002e-09,3.12783e-07,7.67472e-16,1.20786e-05,0.00473676
14,13791.9,14.1882,211.425,5e-06,0.195563,-0.197213,0.0379351,0.105385,24.3236,1.96981e-14,3.95119e-20,5.60682e-07,1.15493e-22,2.82396e-14,3.9677e-14,8.73527e-15,5.03126e-07,6.50839e-10,8.92219e-10,1.52237e-14,3.02534e-12,1.96991e-09,3.06589e-07,1.92676e-15,1.23906e-05,0.00481059
15,12009.1,15.047,211.154,5e-06,0.229826,-0.228606,0.0500493,0.123018,21.8013,3.36544e-14,6.02988e-20,7.23898e-07,1.67247e-22,3.45908e-14,5.13157e-14,1.11898e-14,4.97293e-07,7.81473e-10,1.178e-09,2.17867e-14,4.80975e-12,2.52844e-09,3.00037e-07,4.46399e-15,1.27765e-05,0.00487961
16,10456.8,15.905,210.935,5e-06,0.267612,-0.26886,0.0638309,0.142306,20.4702,5.57878e-14,8.98277e-20,9.06116e-07,2.46348e-22,4.31118e-14,6.70185e-14,1.52169e-14,4.91094e-07,9.19898e-10,1.48204e-09,2.934e-14,6.84158e-12,3.1168e-09,2.92991e-07,9.6247e-15,1.32603e-05,0.00494406
17,9105.14,16.7619,210.505,5e-06,0.309572,-0.308598,0.0793278,0.163584,18.707,8.99274e-14,1.3144e-19,1.10796e-06,3.6367e-22,5.44447e-14,8.72545e-14,2.10594e-14,4.84625e-07,1.07127e-09,1.7927e-09,3.7147e-14,8.80704e-12,3.72306e-09,2.85555e-07,1.94673e-14,1.38583e-05,0.00500415
18,7928.19,17.6176,210.213,5e-06,0.356406,-0.357384,0.0972404,0.18727,17.8354,1.43452e-13,1.91429e-19,1.3366e-06,5.48478e-22,6.99776e-14,1.16183e-13,3.03845e-14,4.77767e-07,1.22962e-09,2.11894e-09,4.61953e-14,1.08365e-11,4.35989e-09,2.77594e-07,3.72232e-14,1.45975e-05,0.00506009
19,6903.37,18.4722,209.874,5e-06,0.409243,-0.408453,0.117811,0.213978,16.5119,2.25929e-13,2.77602e-19,1.59293e-06,8.37496e-22,9.13872e-14,1.56526e-13,4.52768e-14,4.70601e-07,1.3993e-09,2.45172e-09,5.59709e-14,1.2699e-11,5.01544e-09,2.69205e-07,6.77644e-14,1.55028e-05,0.00511209
