layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
0,95763.5,0.579213,285.118,0.0106567,0.765811,-1.73539,0.00119472,,,7.43602e-18,3.68068e-23,3.34441e-09,6.22845e-22,5.93387e-14,3.69319e-12,1.63996e-10,5.3e-07,1.25737e-13,8.10577e-14,4.13942e-18,1.25672e-21,7.76483e-13,3.3e-07,1.35488e-27,9.33488e-06,0.00314943
1,83384.9,1.72506,279.195,0.00714568,0.655998,-1.54647,0.00116458,,,1.1334e-17,5.62254e-23,4.12612e-09,6.99287e-22,7.10901e-14,3.96405e-12,1.76588e-10,5.28395e-07,2.16459e-13,1.27993e-13,8.58559e-18,8.33002e-21,1.75933e-12,3.29927e-07,5.19145e-26,1.0175e-05,0.00336089
2,72606.4,2.84558,273.089,0.00457457,0.668898,-1.73212,0.0011506,,,1.79309e-17,8.67357e-23,5.33183e-09,7.58341e-22,8.32118e-14,4.01466e-12,1.543e-10,5.27118e-07,4.21051e-13,2.31927e-13,1.59901e-17,6.09551e-20,3.0493e-12,3.29848e-07,1.44894e-24,1.07591e-05,0.00354558
3,63221.1,3.94047,266.828,0.0027504,0.667706,-2.00108,0.00114863,,,2.84393e-17,1.32505e-22,6.96434e-09,7.86439e-22,9.42574e-14,3.79297e-12,1.18717e-10,5.26134e-07,8.36273e-13,4.25564e-13,2.74888e-17,4.54833e-19,4.80512e-12,3.2976e-07,2.92763e-23,1.12048e-05,0.00370762
4,55049,5.00876,260.096,0.00152616,0.652447,-2.1114,0.00117061,,,4.40479e-17,1.9572e-22,9.00306e-09,7.69604e-22,1.03293e-13,3.25894e-12,8.15787e-11,5.254e-07,1.66036e-12,7.58551e-13,4.41658e-17,3.56005e-18,7.15375e-12,3.29665e-07,4.34932e-22,1.1473e-05,0.00384919
5,47933.3,6.04832,252.679,0.000770556,0.595675,-2.07886,0.00121596,,,6.56251e-17,2.77024e-22,1.1394e-08,7.09819e-22,1.10653e-13,2.4796e-12,5.01627e-11,5.24869e-07,3.24125e-12,1.27713e-12,6.68781e-17,2.38347e-17,1.01643e-11,3.29561e-07,4.86371e-21,1.15824e-05,0.00397203
6,41737.3,7.05664,244.64,0.000350616,0.497419,-2.00306,0.00128628,,,9.37263e-17,3.7805e-22,1.40658e-08,6.14414e-22,1.15699e-13,1.64187e-12,2.80281e-11,5.24492e-07,6.10183e-12,1.99015e-12,9.55968e-17,9.26292e-17,1.3847e-11,3.29449e-07,4.19909e-20,1.1636e-05,0.0040852
7,36342.3,8.03168,236.172,0.000143981,0.387036,-1.85279,0.00137094,,,1.28791e-16,4.96801e-22,1.69571e-08,4.84748e-22,1.14405e-13,9.4491e-13,1.48054e-11,5.24224e-07,1.08625e-11,2.83776e-12,1.27524e-16,2.07262e-16,1.82416e-11,3.29329e-07,2.86773e-19,1.15912e-05,0.00419518
8,31644.6,8.97225,227.533,5.40103e-05,0.264573,-1.41166,0.0014698,,,1.7157e-16,6.33383e-22,2.00361e-08,3.37469e-22,1.02916e-13,4.82274e-13,7.85174e-12,5.24024e-07,1.79644e-11,3.68593e-12,1.57336e-16,3.56016e-16,2.36917e-11,3.292e-07,1.584e-18,1.14754e-05,0.00429442
9,27554.1,9.87813,218.947,1.88045e-05,0.178588,-0.666425,0.00157628,,,2.23352e-16,7.91478e-22,2.3298e-08,2.04853e-22,8.26391e-14,2.25398e-13,4.56341e-12,5.23861e-07,2.73257e-11,4.3431e-12,1.81663e-16,6.28725e-16,3.12159e-11,3.29063e-07,7.21715e-18,1.13444e-05,0.00438628
