layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
0,113980,3.43346,274.401,0.0042977,0.136201,-0.202673,0.00049268,,,1.49911e-30,1e-30,1.37935e-21,1e-30,5.69147e-28,1.36455e-21,2.49786e-28,5.3e-07,9.8792e-17,3.67964e-26,1e-30,1e-30,1e-30,3.3e-07,0,1.43896e-11,0.00097698
1,99073.4,10.2327,267.092,0.00240848,0.121202,-0.169293,0.000519429,,,1.93096e-30,1e-30,1.4018e-21,1e-30,6.98932e-28,1.36454e-21,2.56361e-28,5.3e-07,9.8792e-17,2.54241e-26,1e-30,1e-30,1e-30,3.3e-07,0,2.12098e-11,0.00130066
2,86116.1,16.8899,259.33,0.00122377,0.120834,-0.19715,0.000522539,,,2.42606e-30,1e-30,1.42188e-21,1e-30,8.80409e-28,1.36454e-21,2.55112e-28,5.3e-07,9.8792e-17,1.93625e-26,1e-30,1e-30,1e-30,3.3e-07,0,2.63378e-11,0.00157271
3,74853.4,23.3893,250.952,0.000562215,0.115573,-0.238657,0.000511972,,,2.97091e-30,1e-30,1.43976e-21,1e-30,1.14778e-27,1.36454e-21,2.50971e-28,5.3e-07,9.8792e-17,1.57164e-26,1e-30,1e-30,1e-30,3.3e-07,0,2.99161e-11,0.00179868
4,65063.8,29.7146,242.152,0.000233804,0.105438,-0.233628,0.00049584,,,3.56106e-30,1e-30,1.45563e-21,1e-30,1.54677e-27,1.36454e-21,2.46703e-28,5.3e-07,9.8792e-17,1.32515e-26,1e-30,1e-30,1e-30,3.3e-07,0,3.21366e-11,0.00199473
5,56554.4,35.8546,233.186,8.89993e-05,0.0900988,-0.20889,0.000474008,,,4.19969e-30,1e-30,1.46964e-21,1e-30,2.14533e-27,1.36454e-21,2.43828e-28,5.3e-07,9.8792e-17,1.14887e-26,1e-30,1e-30,1e-30,3.3e-07,0,3.32202e-11,0.00216381
6,49158,41.804,224.281,3.14759e-05,0.0695709,-0.191035,0.000455418,,,4.89633e-30,1e-30,1.48196e-21,1e-30,3.047e-27,1.36454e-21,2.43219e-28,5.3e-07,9.8792e-17,1.0183e-26,1e-30,1e-30,1e-30,3.3e-07,0,3.33904e-11,0.00230571
7,42728.8,47.5621,215.58,1.04691e-05,0.0519324,-0.169304,0.000433984,,,5.66318e-30,1e-30,1.49276e-21,1e-30,4.41499e-27,1.36454e-21,2.4547e-28,5.3e-07,9.8792e-17,9.16688e-27,1e-30,1e-30,1e-30,3.3e-07,0,3.36027e-11,0.00242678
8,37140.6,53.1312,207.156,3.29805e-06,0.0371859,-0.129763,0.000410727,,,6.51247e-30,1e-30,1.50219e-21,1e-30,6.51322e-27,1.36454e-21,2.51109e-28,5.3e-07,9.8792e-17,8.34928e-27,1e-30,1e-30,1e-30,3.3e-07,0,3.53123e-11,0.00253104
9,32283.1,58.5152,199.036,9.8697e-07,0.0272938,-0.089254,0.000385232,,,7.45597e-30,1e-30,1.5104e-21,1e-30,9.77651e-27,1.36453e-21,2.60703e-28,5.3e-07,9.8792e-17,7.67968e-27,1e-30,1e-30,1e-30,3.3e-07,0,3.67262e-11,0.00262
10,28061,63.7187,191.225,2.80679e-07,0.0222574,-0.0575667,0.000358503,,,8.50527e-30,1e-30,1.5175e-21,1e-30,1.4934e-26,1.36453e-21,2.74923e-28,5.3e-07,9.8792e-17,7.11976e-27,1e-30,1e-30,1e-30,3.3e-07,0,3.78879e-11,0.00269676
11,24391.1,68.7463,183.717,7.57768e-08,0.0194932,-0.0343822,0.000332505,,,9.6724e-30,1e-30,1.52361e-21,1e-30,2.32051e-26,1.36452e-21,2.94575e-28,5.3e-07,9.8792e-17,6.64338e-27,1e-30,1e-30,1e-30,3.3e-07,0,3.88395e-11,0.00276401
12,21201.1,73.6094,176.966,3.1153e-08,0.0190006,-0.01987,0.00030673,0.315077,413.281,1.10975e-29,1e-30,1.52882e-21,1e-30,3.51263e-26,1.36451e-21,3.20656e-28,5.3e-07,9.8792e-17,6.19487e-27,1e-30,1e-30,1e-30,3.3e-07,0,3.96211e-11,0.00282407
13,18428.3,78.3422,172.197,3.1153e-08,0.0189684,-0.0183001,0.000279386,0.314511,422.214,1.44393e-29,1e-30,1.66695e-21,1e-30,4.9009e-26,1.36449e-21,9.54831e-28,5.3e-07,9.8792e-17,5.65161e-27,1e-30,1e-30,1e-30,3.3e-07,0,4.027e-11,0.00287879
14,16018.2,82.9883,168.799,3.1153e-08,0.0193983,-0.0200432,0.000252056,0.321036,423.651,1.89598e-29,1e-30,1.77866e-21,1e-30,6.23618e-26,1.36448e-21,1.41499e-27,5.3e-07,9.8792e-17,5.07645e-27,1e-30,1e-30,1e-30,3.3e-07,0,4.08194e-11,0.00292958
15,13923.2,87.5716,165.888,3.1153e-08,0.0198811,-0.0197649,0.000226419,0.32923,419.218,2.4753e-29,1e-30,1.86894e-21,1e-30,7.72444e-26,1.36446e-21,1.74081e-27,5.3e-07,9.8792e-17,4.53866e-27,1e-30,1e-30,1e-30,3.3e-07,0,4.12981e-11,0.00297751
16,12102.3,92.1076,163.69,3.1153e-08,0.0204164,-0.0205388,0.000202234,0.338996,407.806,3.24899e-29,1e-30,1.94216e-21,1e-30,9.12578e-26,1.36445e-21,1.96443e-27,5.3e-07,9.8792e-17,4.02119e-27,1e-30,1e-30,1e-30,3.3e-07,0,4.17301e-11,0.00302329
17,10519.5,96.6119,161.966,3.1153e-08,0.02109,-0.021096,0.000179878,0.351849,388.686,4.27551e-29,1e-30,2.00168e-21,1e-30,1.04327e-25,1.36444e-21,2.11073e-27,5.3e-07,9.8792e-17,3.54102e-27,1e-30,1e-30,1e-30,3.3e-07,0,4.21347e-11,0.00306739
