layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
0,95173.1,3.37742,274.647,0.00523149,0.159471,-0.24487,0.00071015,,,1.78043e-19,1.01904e-24,1.19044e-10,1.6327e-23,2.18066e-15,6.31936e-13,1.85908e-11,5.3e-07,9.99675e-14,9.58639e-15,8.17854e-21,1.31167e-24,5.95062e-15,3.3e-07,5.62149e-38,7.38845e-06,0.00186267
1,82876,10.0717,267.879,0.0030665,0.141682,-0.205331,0.000757005,,,5.59309e-19,4.29804e-24,2.81992e-10,4.74875e-23,7.14645e-15,1.11189e-12,3.784e-11,5.21357e-07,1.2119e-13,1.45008e-14,3.78156e-20,2.23158e-23,3.97579e-14,3.29927e-07,3.18425e-37,1.17224e-05,0.0024757
2,72167.7,16.639,260.702,0.00164628,0.142169,-0.238838,0.000782899,,,1.70993e-18,1.4909e-23,6.72695e-10,8.37762e-23,1.45434e-14,1.42965e-12,4.02975e-11,5.13233e-07,1.94373e-13,2.56554e-14,1.5982e-19,4.44061e-22,1.11445e-13,3.29847e-07,1.74374e-36,1.52944e-05,0.00299569
3,62843.1,23.0645,252.863,0.000802467,0.137584,-0.291973,0.000814749,,,4.66926e-18,4.31998e-23,1.48097e-09,1.14923e-22,2.38364e-14,1.50442e-12,3.19124e-11,5.06278e-07,3.91937e-13,5.3933e-14,6.1671e-19,9.85629e-21,2.91337e-13,3.29761e-07,1.02321e-35,1.82032e-05,0.00343252
4,54723.3,29.3305,244.484,0.000353426,0.127964,-0.293557,0.000880137,,,1.07135e-17,1.02481e-22,2.81522e-09,1.31147e-22,3.36518e-14,1.28303e-12,1.83485e-11,5.0085e-07,9.25699e-13,1.22521e-13,2.07553e-18,1.49795e-19,7.14602e-13,3.29668e-07,6.42864e-35,2.06819e-05,0.00380273
5,47652.6,35.4231,235.794,0.00014151,0.111389,-0.264618,0.000972676,,,2.02555e-17,1.97377e-22,4.50285e-09,1.33734e-22,4.37717e-14,8.4307e-13,6.87969e-12,4.96958e-07,2.40913e-12,2.74157e-13,6.07648e-18,1.14086e-18,1.59229e-12,3.29569e-07,4.20348e-34,2.27905e-05,0.00412093
6,41495.5,41.334,227.041,5.22315e-05,0.0878448,-0.24318,0.00107164,,,3.18395e-17,3.13566e-22,6.07619e-09,1.26091e-22,5.3941e-14,4.10188e-13,1.57748e-12,4.94414e-07,6.44117e-12,5.6441e-13,1.50622e-17,5.17859e-18,3.0715e-12,3.29464e-07,2.73665e-33,2.46405e-05,0.00438757
7,36133.9,47.0602,218.413,1.80296e-05,0.0664658,-0.216351,0.00114381,,,4.31448e-17,4.27996e-22,7.13776e-09,1.02084e-22,5.81637e-14,1.5121e-13,2.54017e-13,4.92954e-07,1.6423e-11,1.02288e-12,2.68062e-17,1.41326e-17,4.71037e-12,3.29353e-07,1.7701e-32,2.6351e-05,0.00461371
8,31465.1,52.6024,210.019,5.87904e-06,0.0472549,-0.163232,0.00118978,,,5.33144e-17,5.36888e-22,7.65463e-09,6.03592e-23,4.64941e-14,4.19694e-14,3.946e-14,4.92232e-07,3.7029e-11,1.55586e-12,2.55268e-17,1.75214e-17,5.09999e-12,3.29236e-07,1.41475e-31,2.84102e-05,0.00481733
9,27399.6,57.9636,201.906,1.82021e-06,0.0342114,-0.100866,0.00120952,,,6.2751e-17,6.38714e-22,7.8602e-09,2.50421e-23,2.63689e-14,9.40588e-15,7.14914e-15,4.9187e-07,6.95898e-11,1.93374e-12,1.21429e-17,9.0613e-18,3.78257e-12,3.29112e-07,1.97717e-30,3.03701e-05,0.00499206
10,23859.3,63.1478,194.091,5.35992e-07,0.0273443,-0.04561,0.00121174,,,7.24595e-17,7.44498e-22,7.95792e-09,1.04463e-23,1.5114e-14,2.47967e-15,1.76406e-15,4.91625e-07,1.10119e-10,2.00924e-12,5.32322e-18,3.63984e-18,2.52119e-12,3.28982e-07,3.80501e-29,3.22916e-05,0.00514341
11,20776.5,68.1811,188.192,2.36545e-07,0.0237234,-0.0234435,0.00120287,0.394003,308.327,8.61844e-17,8.66719e-22,8.02068e-09,7.70932e-24,1.39877e-14,1.26263e-15,1.18094e-15,4.91411e-07,1.55132e-10,1.95856e-12,5.45042e-18,3.16815e-18,2.75554e-12,3.28843e-07,7.11701e-28,3.40264e-05,0.00527619
12,18092,73.117,184.627,2.36545e-07,0.0236739,-0.0237398,0.0015082,0.394322,303.443,1.27813e-16,1.17124e-21,9.2939e-09,2.77062e-24,5.00309e-15,4.11111e-17,1.22802e-16,4.85032e-07,1.64351e-09,1.78593e-11,2.21578e-18,1.00751e-17,9.21404e-12,3.24153e-07,1.22067e-26,3.55749e-05,0.00539453
13,15754.4,77.9978,182.028,2.36545e-07,0.0240439,-0.0241086,0.00176168,0.40132,294.46,1.84743e-16,1.53754e-21,1.04517e-08,2.6561e-24,4.65962e-15,1.93547e-17,8.44825e-17,4.78659e-07,3.16317e-09,2.98083e-11,1.73821e-18,1.13253e-17,1.21151e-11,3.19315e-07,1.91719e-25,3.69543e-05,0.00550183
14,13718.8,82.8454,180.19,2.36545e-07,0.0248591,-0.0248214,0.00198912,0.415642,280.873,2.65669e-16,1.99396e-21,1.16034e-08,3.02355e-24,4.98341e-15,1.37916e-17,7.73086e-17,4.72166e-07,4.72299e-09,3.92551e-11,1.56514e-18,1.15026e-17,1.40961e-11,3.14283e-07,2.72144e-24,3.81808e-05,0.00560081
15,11946.2,87.6779,178.985,2.36545e-07,0.0257838,-0.025791,0.00221327,0.432441,263.279,3.83917e-16,2.57681e-21,1.28273e-08,3.76944e-24,5.68223e-15,1.19253e-17,7.97668e-17,4.65467e-07,6.33386e-09,4.7452e-11,1.52617e-18,1.1584e-17,1.58754e-11,3.09008e-07,3.41196e-23,3.92707e-05,0.00569352
16,10402.7,92.5106,178.298,2.36545e-07,0.0268381,-0.0268213,0.00245413,0.452183,242.099,5.60455e-16,3.33692e-21,1.42002e-08,4.98697e-24,6.7309e-15,1.16089e-17,8.81282e-17,4.58493e-07,8.00623e-09,5.53461e-11,1.57713e-18,1.18976e-17,1.7788e-11,3.03444e-07,3.71263e-22,4.02406e-05,0.00578142
17,9058.57,97.3563,178.061,2.36545e-07,0.0281286,-0.0281268,0.00273296,0.476206,219.359,8.30056e-16,4.35035e-21,1.58135e-08,6.90005e-24,8.1817e-15,1.23058e-17,1.01728e-16,4.51183e-07,9.75086e-09,6.37967e-11,1.71158e-18,1.26447e-17,2.00867e-11,2.97543e-07,3.47911e-21,4.11071e-05,0.00586549
18,7888.13,102.226,178.196,2.36545e-07,0.0296799,-0.0296676,0.00307421,0.504969,196.428,1.25102e-15,5.7332e-21,1.77892e-08,9.89051e-24,1.01313e-14,1.39469e-17,1.20967e-16,4.43479e-07,1.15782e-08,7.36114e-11,1.94292e-18,1.40273e-17,2.30082e-11,2.91255e-07,2.801e-20,4.18857e-05,0.00594626
19,6868.92,107.13,178.632,2.36545e-07,0.0315505,-0.0315449,0.00351047,0.538538,174.533,1.92447e-15,7.66985e-21,2.03035e-08,1.45957e-23,1.27191e-14,1.67269e-17,1.46858e-16,4.35325e-07,1.3498e-08,8.57281e-11,2.30635e-18,1.63718e-17,2.68442e-11,2.8453e-07,1.93529e-19,4.25909e-05,0.00602396
20,5981.4,112.076,179.295,2.36545e-07,0.0337873,-0.0337739,0.00408884,0.577805,154.386,3.03131e-15,1.04632e-20,2.36243e-08,2.20721e-23,1.61334e-14,2.11056e-17,1.80941e-16,4.26669e-07,1.55186e-08,1.01377e-10,2.87056e-18,2.02798e-17,3.20037e-11,2.77315e-07,1.14724e-18,4.32353e-05,0.0060986
21,5208.55,117.068,180.127,2.36545e-07,0.0364779,-0.0364722,0.00488262,0.623757,136.743,4.90837e-15,1.46306e-20,2.81733e-08,3.41147e-23,2.06276e-14,2.79652e-17,2.25365e-16,4.17462e-07,1.76462e-08,1.22416e-10,3.76806e-18,2.69686e-17,3.91265e-11,2.69559e-07,5.84534e-18,4.38305e-05,0.00617004
22,4535.57,122.113,181.086,2.36545e-07,0.0397392,-0.0397261,0.00600872,0.678598,121.766,8.20689e-15,2.10812e-20,3.46223e-08,5.38616e-23,2.65419e-14,3.89528e-17,2.83042e-16,4.07659e-07,1.98835e-08,1.51778e-10,5.261e-18,3.90417e-17,4.92413e-11,2.61211e-07,2.57196e-17,4.43871e-05,0.00623807
23,3949.54,127.214,182.165,2.36545e-07,0.0439054,-0.0439055,0.00765124,0.748102,108.987,1.42232e-14,3.14299e-20,4.40163e-08,8.70006e-23,3.43346e-14,5.71798e-17,3.57821e-16,3.97218e-07,2.22287e-08,1.94114e-10,7.88606e-18,6.23704e-17,6.39799e-11,2.52218e-07,9.84725e-17,4.49161e-05,0.0063025
24,3439.22,132.376,183.364,2.36545e-07,0.0492469,-0.0492326,0.0100806,0.837288,97.9739,2.55484e-14,4.84899e-20,5.78788e-08,1.43982e-22,4.46193e-14,8.8453e-17,4.54713e-16,3.86096e-07,2.4674e-08,2.56204e-10,1.27533e-17,1.10494e-16,8.57189e-11,2.42523e-07,3.3131e-16,4.5431e-05,0.00636313
25,2994.85,137.602,184.704,2.36545e-07,0.0564827,-0.0564925,0.013653,0.958621,88.3919,4.72697e-14,7.69316e-20,7.81862e-08,2.44181e-22,5.82282e-14,1.43421e-16,5.80327e-16,3.74256e-07,2.72044e-08,3.4693e-10,2.21406e-17,2.14581e-16,1.17531e-10,2.3207e-07,9.90645e-16,4.59495e-05,0.00641987
26,2607.89,142.898,186.182,2.36545e-07,0.0660091,-0.065988,0.018765,1.11922,80.2146,8.89364e-14,1.23974e-19,1.07117e-07,4.22874e-22,7.63037e-14,2.40766e-16,7.43867e-16,3.61663e-07,2.97976e-08,4.75758e-10,4.04938e-17,4.42281e-16,1.62641e-10,2.208e-07,2.664e-15,4.64963e-05,0.00647266
27,2270.93,148.268,187.8,2.36545e-07,0.0785995,-0.0786222,0.0257734,1.33231,73.0109,1.6759e-13,1.99975e-19,1.46576e-07,7.44146e-22,1.00457e-13,4.12253e-16,9.58656e-16,3.48296e-07,3.2425e-08,6.5055e-10,7.58913e-17,9.2607e-16,2.23566e-10,2.08666e-07,6.5193e-15,4.71047e-05,0.00652155
28,1977.51,153.718,189.542,2.36545e-07,0.0944959,-0.0944661,0.0349202,1.60207,66.6654,3.12193e-13,3.1903e-19,1.97805e-07,1.32491e-21,1.3296e-13,7.10334e-16,1.24414e-15,3.34142e-07,3.5055e-08,8.75039e-10,1.417e-16,1.88866e-15,3.01169e-10,1.95627e-07,1.46797e-14,4.78177e-05,0.00656667
29,1722,159.252,191.387,2.36545e-07,0.114052,-0.114089,0.0463141,1.93472,60.9419,5.70373e-13,4.99983e-19,2.61274e-07,2.38644e-21,1.7704e-13,1.22116e-15,1.62856e-15,3.19208e-07,3.7653e-08,1.14798e-09,2.58181e-16,3.64283e-15,3.94219e-10,1.81677e-07,3.07195e-14,4.86871e-05,0.00660818
