layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
0,115608,3.71814,295.357,0.0168004,0.129328,-0.167352,0.000529403,,,1.99466e-18,1.14699e-24,1.30971e-09,6.85271e-23,4.72941e-15,1.03093e-12,9.37704e-11,5.3e-07,1.65196e-13,8.87471e-14,1.64904e-18,1.67354e-22,2.4891e-13,3.3e-07,1.30101e-39,8.73718e-07,0.00174008
1,100473,11.1111,289.98,0.0120088,0.119165,-0.25971,0.000585113,,,2.78696e-18,2.12529e-24,1.36305e-09,1.09779e-22,7.8434e-15,1.36074e-12,9.41233e-11,5.29599e-07,2.02259e-13,7.2595e-14,1.06226e-18,1.55696e-22,2.88412e-13,3.3e-07,1.38905e-38,1.35374e-06,0.00242225
2,87320.6,18.4151,284.39,0.00834442,0.127612,-0.286332,0.00061154,,,3.88843e-18,3.245e-24,1.44949e-09,1.44106e-22,1.077e-14,1.58358e-12,8.62044e-11,5.29248e-07,2.5099e-13,6.65854e-14,8.13122e-19,2.04016e-22,3.17606e-13,3.3e-07,1.18199e-37,1.70291e-06,0.00300453
3,75889.6,25.6241,278.522,0.00559678,0.13596,-0.237754,0.000617728,,,5.41621e-18,4.53584e-24,1.56924e-09,1.68683e-22,1.33694e-14,1.69375e-12,7.29719e-11,5.28958e-07,3.18196e-13,6.52857e-14,6.83829e-19,3.36478e-22,3.36443e-13,3.29999e-07,8.66031e-37,1.93858e-06,0.00349858
4,65955,32.7321,272.507,0.00358457,0.144216,-0.230868,0.000609612,,,7.52452e-18,6.02444e-24,1.71946e-09,1.82203e-22,1.54817e-14,1.6944e-12,5.77026e-11,5.2873e-07,4.07608e-13,6.58999e-14,5.96773e-19,6.25637e-22,3.45148e-13,3.29999e-07,5.66324e-36,2.08245e-06,0.00391475
5,57320.9,39.734,266.338,0.00215705,0.149699,-0.281845,0.000587567,,,1.03859e-17,7.83387e-24,1.89609e-09,1.85e-22,1.70606e-14,1.59823e-12,4.29292e-11,5.28557e-07,5.21492e-13,6.66624e-14,5.22319e-19,1.23279e-21,3.44383e-13,3.29999e-07,3.32108e-35,2.1861e-06,0.00426228
6,49817.1,46.6194,259.66,0.00119799,0.152417,-0.357668,0.000561075,,,1.41086e-17,9.81203e-24,2.09471e-09,1.75896e-22,1.80827e-14,1.41463e-12,3.01681e-11,5.28433e-07,6.60957e-13,6.60448e-14,4.49571e-19,2.54764e-21,3.35363e-13,3.29998e-07,1.72579e-34,2.21973e-06,0.00454841
7,43295.7,53.3701,252.274,0.000604287,0.146874,-0.390211,0.000533326,,,1.87423e-17,1.18486e-23,2.31092e-09,1.5718e-22,1.87062e-14,1.17538e-12,2.0128e-11,5.28346e-07,8.2512e-13,6.32201e-14,3.8282e-19,4.95897e-21,3.20025e-13,3.29998e-07,7.9187e-34,2.1911e-06,0.00478024
8,37627.9,59.9652,244.231,0.000273701,0.133077,-0.372714,0.000509656,,,2.43161e-17,1.41184e-23,2.54133e-09,1.33448e-22,1.91572e-14,9.22463e-13,1.28475e-11,5.28287e-07,1.01151e-12,5.80839e-14,3.30716e-19,7.04181e-21,3.00762e-13,3.29997e-07,3.34631e-33,2.15528e-06,0.00497431
9,32702.1,66.3861,235.718,0.000111314,0.112254,-0.352206,0.00048648,,,3.08793e-17,1.63494e-23,2.7841e-09,1.08467e-22,1.95309e-14,6.8818e-13,7.92002e-12,5.28248e-07,1.2167e-12,5.11822e-14,2.9846e-19,6.9523e-21,2.80034e-13,3.29997e-07,1.58678e-32,2.07992e-06,0.00514168
10,28421.1,72.6198,227.005,4.11358e-05,0.0844141,-0.326136,0.000466842,,,3.85635e-17,1.85026e-23,3.03883e-09,8.53479e-23,1.99155e-14,4.9334e-13,4.77032e-12,5.28222e-07,1.43702e-12,4.35429e-14,2.88006e-19,5.72277e-21,2.60116e-13,3.29996e-07,1.25889e-31,1.977e-06,0.00527948
11,24700.5,78.66,218.331,1.40472e-05,0.06077,-0.262006,0.000448979,,,4.75974e-17,2.08458e-23,3.30619e-09,6.56597e-23,2.03627e-14,3.43976e-13,2.84776e-12,5.28205e-07,1.66963e-12,3.5973e-14,2.99053e-19,4.50975e-21,2.42928e-13,3.29996e-07,1.61083e-30,1.88193e-06,0.00539764
12,21467,84.5057,209.852,4.49385e-06,0.0413262,-0.167747,0.000434929,,,5.84937e-17,2.43579e-23,3.58749e-09,4.99566e-23,2.10022e-14,2.36772e-13,1.7233e-12,5.28194e-07,1.9126e-12,2.89932e-14,3.34124e-19,3.64631e-21,2.30075e-13,3.29995e-07,2.25823e-29,1.86619e-06,0.00551343
13,18656.8,90.1591,201.642,1.35734e-06,0.0293,-0.0787848,0.00042212,,,7.14958e-17,2.84152e-23,3.88424e-09,3.84496e-23,2.22845e-14,1.65139e-13,1.10717e-12,5.28186e-07,2.1645e-12,2.30356e-14,4.06789e-19,3.18046e-21,2.2298e-13,3.29995e-07,2.98703e-28,1.85387e-06,0.00561601
14,16214.5,95.6336,194.413,6.09427e-07,0.0246897,-0.0274011,0.000408644,0.40455,239.126,8.8396e-17,3.3935e-23,4.1985e-09,3.22876e-23,2.51257e-14,1.25004e-13,8.28849e-13,5.2818e-07,2.42444e-12,1.8641e-14,5.36105e-19,3.17347e-21,2.23083e-13,3.29994e-07,3.61849e-27,1.88035e-06,0.00570896
