layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
0,115608,3.71814,295.357,0.0168004,0.134618,-0.16624,0.000564847,,,3.09601e-18,5.94405e-24,2.00892e-09,2.50956e-22,1.73198e-14,2.04388e-12,2.47689e-10,5.3e-07,4.09838e-13,3.60727e-13,1.72977e-17,7.13684e-21,5.96924e-12,3.3e-07,7.65072e-56,2.95194e-06,0.00175172
1,100473,11.1111,289.98,0.0120088,0.123698,-0.257764,0.000633341,,,4.53044e-18,1.21573e-23,2.15917e-09,4.10417e-22,2.93987e-14,2.67626e-12,2.41338e-10,5.28236e-07,5.9499e-13,3.62544e-13,2.04275e-17,1.49566e-20,7.19783e-12,3.29979e-07,2.44537e-54,4.88853e-06,0.00243928
2,87320.6,18.4151,284.39,0.00834442,0.132677,-0.284407,0.000675633,,,6.80972e-18,2.09005e-23,2.44708e-09,5.60868e-22,4.21255e-14,3.0602e-12,2.09421e-10,5.26631e-07,9.17975e-13,4.30288e-13,2.63457e-17,4.27511e-20,8.5083e-12,3.29955e-07,5.76479e-53,6.49683e-06,0.00302639
3,75889.6,25.6241,278.522,0.00559678,0.141813,-0.23649,0.000702762,,,1.03654e-17,3.34972e-23,2.8702e-09,7.00954e-22,5.59489e-14,3.17796e-12,1.63816e-10,5.25239e-07,1.45586e-12,5.47617e-13,3.41482e-17,1.41212e-19,9.88603e-12,3.29929e-07,1.07347e-51,7.82732e-06,0.00352484
4,65955,32.7321,272.507,0.00358457,0.151115,-0.230112,0.000721223,,,1.569e-17,5.11234e-23,3.40248e-09,8.25297e-22,7.07459e-14,3.01086e-12,1.15828e-10,5.24084e-07,2.33574e-12,7.09258e-13,4.32183e-17,4.89766e-19,1.12574e-11,3.299e-07,6.54192e-50,8.93044e-06,0.00394502
5,57320.9,39.734,266.338,0.00215705,0.157773,-0.281267,0.000730174,,,2.32194e-17,7.48355e-23,3.99924e-09,9.23306e-22,8.60219e-14,2.57746e-12,7.38013e-11,5.23171e-07,3.75968e-12,9.0599e-13,5.26031e-17,1.70345e-18,1.2482e-11,3.29869e-07,2.73688e-47,9.90111e-06,0.00429624
6,49817.1,46.6194,259.66,0.00119799,0.161791,-0.35686,0.000736456,,,3.30386e-17,1.03844e-22,4.60566e-09,9.6156e-22,9.99737e-14,1.95173e-12,4.2374e-11,5.22489e-07,6.00341e-12,1.10974e-12,6.0619e-17,5.83752e-18,1.33579e-11,3.29834e-07,9.54787e-45,1.06845e-05,0.00458577
7,43295.7,53.3701,252.274,0.000604287,0.156769,-0.388744,0.000739761,,,4.48576e-17,1.36627e-22,5.17392e-09,9.08631e-22,1.09445e-13,1.29806e-12,2.22876e-11,5.22015e-07,9.33874e-12,1.2777e-12,6.50736e-17,1.66647e-17,1.36844e-11,3.29797e-07,2.67661e-42,1.12849e-05,0.00482071
8,37627.9,59.9652,244.231,0.000273701,0.14271,-0.370114,0.000742846,,,5.82697e-17,1.72683e-22,5.68201e-09,7.65896e-22,1.11329e-13,7.69562e-13,1.10971e-11,5.21705e-07,1.39053e-11,1.36994e-12,6.44e-17,2.94585e-17,1.33718e-11,3.29756e-07,6.9907e-40,1.17903e-05,0.00501767
9,32702.1,66.3861,235.718,0.000111314,0.120802,-0.347827,0.000741233,,,7.30524e-17,2.10272e-22,6.13566e-09,5.72925e-22,1.04484e-13,4.16379e-13,5.4223e-12,5.21511e-07,1.96206e-11,1.36865e-12,5.88004e-17,3.1621e-17,1.25148e-11,3.29712e-07,1.56396e-37,1.21381e-05,0.00518771
10,28421.1,72.6198,227.005,4.11358e-05,0.0910547,-0.31881,0.000738783,,,8.93643e-17,2.4929e-22,6.55556e-09,3.86281e-22,9.12978e-14,2.11799e-13,2.67329e-12,5.2139e-07,2.62136e-11,1.2863e-12,5.05217e-17,2.53838e-17,1.13592e-11,3.29666e-07,2.66009e-35,1.23474e-05,0.00532791
11,24700.5,78.66,218.331,1.40472e-05,0.0657366,-0.250721,0.000734847,,,1.07684e-16,2.91299e-22,6.96347e-09,2.41522e-22,7.5858e-14,1.04447e-13,1.35293e-12,5.21307e-07,3.3368e-11,1.14797e-12,4.22605e-17,1.77511e-17,1.01849e-11,3.29616e-07,3.31452e-33,1.24861e-05,0.00544825
12,21467,84.5057,209.852,4.49385e-06,0.0448593,-0.151215,0.000738922,,,1.29266e-16,3.44107e-22,7.37556e-09,1.45833e-22,6.20645e-14,5.18259e-14,7.14294e-13,5.21243e-07,4.08291e-11,9.7989e-13,3.61732e-17,1.18741e-17,9.21724e-12,3.29563e-07,2.98202e-31,1.28235e-05,0.00556605
13,18656.8,90.1591,201.642,1.35734e-06,0.0320072,-0.0500814,0.000743856,,,1.54424e-16,4.03553e-22,7.80193e-09,8.88913e-23,5.21015e-14,2.69459e-14,4.09712e-13,5.21187e-07,4.8427e-11,8.07821e-13,3.35407e-17,8.22977e-18,8.606e-12,3.29506e-07,1.95336e-29,1.31079e-05,0.00567054
14,16214.5,95.6739,197.309,6.09427e-07,0.0271757,-0.0245558,0.000744884,0.446886,222.886,1.99462e-16,4.86658e-22,8.25254e-09,7.48504e-23,4.93769e-14,1.8825e-14,2.83475e-13,5.21133e-07,5.60426e-11,7.30823e-13,3.15241e-17,6.54097e-18,8.45214e-12,3.29446e-07,9.45419e-28,1.34169e-05,0.00576526
15,14091.9,101.146,196.211,6.09427e-07,0.0269546,-0.0284596,0.00171589,0.450016,205.792,7.62684e-16,1.64178e-21,2.3943e-08,3.24559e-23,1.94506e-14,2.47682e-15,2.0447e-14,5.19371e-07,2.98131e-10,9.1167e-12,1.95927e-17,3.70687e-17,1.72285e-11,3.27326e-07,3.56564e-26,1.36729e-05,0.00585286
