layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
0,95173.1,3.37742,274.647,0.00523149,0.159552,-0.245143,0.000778993,,,7.44309e-18,1.36632e-23,5.39001e-09,1.57473e-22,2.10323e-14,1.68017e-12,8.21212e-11,5.3e-07,4.87172e-13,5.52588e-13,2.5752e-17,2.39187e-19,3.87566e-12,3.3e-07,2.21866e-59,2.18793e-06,0.0018442
1,82876,10.0717,267.879,0.0030665,0.141816,-0.206406,0.000853669,,,1.00043e-17,2.4818e-23,5.59115e-09,1.97419e-22,2.92529e-14,1.81737e-12,7.32281e-11,5.29497e-07,8.24937e-13,5.92499e-13,2.40485e-17,5.91497e-19,4.58249e-12,3.2998e-07,9.1337e-58,3.41387e-06,0.00244617
2,72167.7,16.639,260.702,0.00164628,0.142368,-0.239678,0.000895204,,,1.32926e-17,3.78524e-23,5.88655e-09,2.15402e-22,3.62722e-14,1.65992e-12,5.50078e-11,5.29098e-07,1.51932e-12,7.34881e-13,2.55082e-17,2.165e-18,5.2874e-12,3.29958e-07,3.13472e-56,4.43746e-06,0.00295699
3,62843.1,23.0645,252.863,0.000802467,0.137721,-0.291884,0.000916089,,,1.73005e-17,5.27269e-23,6.24146e-09,2.17862e-22,4.32644e-14,1.29443e-12,3.58777e-11,5.28797e-07,2.7793e-12,9.1601e-13,2.78053e-17,8.21965e-18,5.91326e-12,3.29934e-07,1.0702e-53,5.27181e-06,0.00338627
4,54723.3,29.3305,244.484,0.000353426,0.127898,-0.29221,0.000929684,,,2.19767e-17,6.98259e-23,6.61773e-09,2.04839e-22,4.9809e-14,8.66644e-13,2.10496e-11,5.28582e-07,4.83303e-12,1.07633e-12,3.01543e-17,1.98751e-17,6.34543e-12,3.29908e-07,9.01248e-51,5.99469e-06,0.00375026
5,47652.6,35.4231,235.794,0.00014151,0.11083,-0.261182,0.00093235,,,2.72785e-17,8.84378e-23,6.99118e-09,1.74805e-22,5.38203e-14,5.09353e-13,1.15989e-11,5.28435e-07,7.84921e-12,1.17138e-12,3.16884e-17,2.74075e-17,6.49346e-12,3.29881e-07,5.0894e-48,6.57709e-06,0.00406329
6,41495.5,41.334,227.041,5.22315e-05,0.0865353,-0.234583,0.000931314,,,3.3246e-17,1.08356e-22,7.35601e-09,1.34984e-22,5.40622e-14,2.74936e-13,6.24756e-12,5.28337e-07,1.18485e-11,1.18754e-12,3.19096e-17,2.72519e-17,6.36297e-12,3.29851e-07,2.37605e-45,7.03336e-06,0.00432553
7,36133.9,47.0602,218.413,1.80296e-05,0.064428,-0.197565,0.000925184,,,4.00056e-17,1.3012e-22,7.71761e-09,9.59731e-23,5.10661e-14,1.4237e-13,3.38703e-12,5.2827e-07,1.67134e-11,1.1312e-12,3.11547e-17,2.31286e-17,6.06239e-12,3.2982e-07,1.06235e-42,7.40936e-06,0.00454781
8,31465.1,52.6024,210.019,5.87904e-06,0.0445182,-0.133235,0.000921241,,,4.79336e-17,1.57265e-22,8.08428e-09,6.46199e-23,4.64704e-14,7.32836e-14,1.89861e-12,5.2822e-07,2.2256e-11,1.01967e-12,3.05366e-17,1.84015e-17,5.75462e-12,3.29787e-07,3.88386e-40,7.87961e-06,0.00474785
9,27399.6,57.9636,201.906,1.82021e-06,0.031945,-0.0572449,0.000914811,,,5.71303e-17,1.87731e-22,8.46307e-09,4.26555e-23,4.20914e-14,3.87839e-14,1.1567e-12,5.28179e-07,2.8279e-11,8.79185e-13,3.16573e-17,1.48454e-17,5.60714e-12,3.29752e-07,1.03536e-37,8.29052e-06,0.00491955
10,23859.3,63.1754,196.188,8.35439e-07,0.0267024,-0.0262914,0.000899865,0.439709,257.858,7.11398e-17,2.27057e-22,8.86098e-09,3.38849e-23,4.09865e-14,2.4876e-14,8.5172e-13,5.28141e-07,3.45964e-11,7.84931e-13,3.44081e-17,1.33515e-17,5.77361e-12,3.29714e-07,1.9527e-35,8.70348e-06,0.00506837
11,20776.5,68.307,193.521,8.35439e-07,0.0256811,-0.0258522,0.00157106,0.427047,246.654,2.29709e-16,6.71965e-22,2.2385e-08,6.50213e-24,7.83422e-15,1.1018e-15,7.62464e-14,5.26997e-07,2.338e-10,1.01099e-11,1.61622e-17,6.20738e-17,1.65159e-11,3.28426e-07,2.7966e-33,9.06244e-06,0.00519913
12,18092,73.4134,192.072,8.35439e-07,0.0283326,-0.0282635,0.00237962,0.471878,231.497,4.90228e-16,1.29278e-21,3.65644e-08,5.97955e-24,6.55298e-15,6.77074e-16,7.3862e-15,5.25814e-07,4.36314e-10,2.49336e-11,2.36713e-17,1.88185e-16,2.88335e-11,3.27073e-07,2.96351e-31,9.40032e-06,0.00531601
13,15754.4,78.5184,191.251,8.35439e-07,0.0312744,-0.0312675,0.00331054,0.522009,215.62,9.13299e-16,2.15649e-21,5.15801e-08,7.27317e-24,6.97123e-15,6.27261e-16,9.30899e-16,5.24573e-07,6.46424e-10,4.32023e-11,3.48853e-17,4.05743e-16,4.28264e-11,3.2564e-07,2.3164e-29,9.74219e-06,0.0054224
14,13718.8,83.6353,190.813,8.35439e-07,0.0345028,-0.0344601,0.00436026,0.577006,199.058,1.58997e-15,3.35332e-21,6.75721e-08,9.75101e-24,8.00629e-15,6.68251e-16,3.10245e-16,5.23263e-07,8.66938e-10,6.39006e-11,4.85661e-17,7.06547e-16,5.83542e-11,3.24116e-07,1.31941e-27,1.01046e-05,0.00552095
15,11946.2,88.7731,190.651,8.35439e-07,0.0381142,-0.0381083,0.00553236,0.638722,182.084,2.65971e-15,5.00742e-21,8.46811e-08,1.37774e-23,9.57448e-15,7.65661e-16,2.73429e-16,5.21875e-07,1.09991e-09,8.65047e-11,6.48669e-17,1.07956e-15,7.54046e-11,3.22489e-07,5.38114e-26,1.0498e-05,0.00561365
16,10402.7,93.9381,190.679,8.35439e-07,0.0421155,-0.042084,0.00683389,0.70726,164.844,4.33294e-15,7.2873e-21,1.03055e-07,2.00959e-23,1.17508e-14,9.1752e-16,3.11306e-16,5.204e-07,1.34707e-09,1.10646e-10,8.41647e-17,1.51185e-15,9.40307e-11,3.20748e-07,1.56476e-24,1.09294e-05,0.00570186
17,9058.57,99.1351,190.838,8.35439e-07,0.0465932,-0.0465927,0.00827492,0.783555,148.481,6.92708e-15,1.04221e-20,1.22858e-07,2.99236e-23,1.46895e-14,1.13362e-15,3.7479e-16,5.18829e-07,1.60996e-09,1.36048e-10,1.06947e-16,1.98966e-15,1.14311e-10,3.18882e-07,3.28325e-23,1.1403e-05,0.00578648
18,7888.13,104.367,191.084,8.35439e-07,0.0515603,-0.0515379,0.00986855,0.867855,133.314,1.09194e-14,1.47232e-20,1.44278e-07,4.51859e-23,1.86203e-14,1.43216e-15,4.63191e-16,5.17154e-07,1.89004e-09,1.62488e-10,1.33791e-16,2.49895e-15,1.36326e-10,3.16881e-07,5.08102e-22,1.19218e-05,0.00586798
19,6868.92,109.637,191.382,8.35439e-07,0.0570492,-0.057052,0.0116312,0.959905,119.649,1.70253e-14,2.06142e-20,1.67538e-07,6.88976e-23,2.38638e-14,1.84024e-15,5.83259e-16,5.15368e-07,2.18874e-09,1.89766e-10,1.65353e-16,3.02541e-15,1.6014e-10,3.14732e-07,5.95124e-21,1.24878e-05,0.00594656
20,5981.4,114.945,191.69,8.35439e-07,0.0630792,-0.0630585,0.0135823,1.0601,107.505,2.63073e-14,2.86695e-20,1.92906e-07,1.05724e-22,3.08635e-14,2.39573e-15,7.45736e-16,5.13463e-07,2.5075e-09,2.17617e-10,2.02283e-16,3.5525e-15,1.85802e-10,3.12426e-07,5.41588e-20,1.31029e-05,0.0060222
21,5208.55,120.292,191.986,8.35439e-07,0.0696595,-0.0696678,0.0157468,1.16826,97.0996,4.03527e-14,3.96745e-20,2.20705e-07,1.62994e-22,4.0228e-14,3.15271e-15,9.6597e-16,5.11431e-07,2.84761e-09,2.45843e-10,2.45458e-16,4.06748e-15,2.13373e-10,3.0995e-07,3.92643e-19,1.3769e-05,0.00609476
22,4535.57,125.678,192.261,8.35439e-07,0.0768244,-0.0768054,0.0181591,1.28509,88.3896,6.15469e-14,5.47127e-20,2.51335e-07,2.52388e-22,5.27939e-14,4.18948e-15,1.2656e-15,5.09265e-07,3.21015e-09,2.74394e-10,2.96208e-16,4.56564e-15,2.42966e-10,3.07293e-07,2.32085e-18,1.44882e-05,0.00616406
23,3949.54,131.103,192.529,8.35439e-07,0.0846501,-0.0846649,0.0208658,1.41212,81.0535,9.35146e-14,7.5296e-20,2.85303e-07,3.92955e-22,6.97108e-14,5.62182e-15,1.67497e-15,5.06957e-07,3.59587e-09,3.03458e-10,3.56643e-16,5.05374e-15,2.74787e-10,3.04442e-07,1.14237e-17,1.52633e-05,0.0062299
24,3439.22,136.568,192.806,8.35439e-07,0.0931991,-0.0931788,0.0239296,1.55063,74.7833,1.41801e-13,1.03553e-19,3.23256e-07,6.16287e-22,9.25644e-14,7.62157e-15,2.23682e-15,5.04498e-07,4.00537e-09,3.33416e-10,4.29795e-16,5.54708e-15,3.0915e-10,3.01384e-07,4.77361e-17,1.60982e-05,0.00629209
25,2994.85,142.073,193.123,8.35439e-07,0.102699,-0.102722,0.0274351,1.70494,69.3946,2.15027e-13,1.42529e-19,3.66024e-07,9.76665e-22,1.2354e-13,1.04513e-14,3.01104e-15,5.0188e-07,4.43887e-09,3.64991e-10,5.20247e-16,6.07302e-15,3.46492e-10,2.98102e-07,1.72341e-16,1.69979e-05,0.00635052
26,2607.89,147.621,193.509,8.35439e-07,0.113263,-0.113238,0.0314942,1.87727,64.8495,3.26713e-13,1.96622e-19,4.14673e-07,1.56981e-21,1.65658e-13,1.45133e-14,4.0822e-15,4.99092e-07,4.89653e-09,3.99131e-10,6.34444e-16,6.66603e-15,3.87356e-10,2.94578e-07,5.4624e-16,1.79696e-05,0.00640512
27,2270.93,153.214,194,8.35439e-07,0.12536,-0.125393,0.0362537,2.07606,60.8159,4.98367e-13,2.72271e-19,4.70544e-07,2.57169e-21,2.2309e-13,2.04379e-14,5.56983e-15,4.96121e-07,5.37825e-09,4.37124e-10,7.81712e-16,7.371e-15,4.32341e-10,2.90792e-07,1.54233e-15,1.9023e-05,0.00645587
28,1977.51,158.857,194.624,8.35439e-07,0.139181,-0.13915,0.0419035,2.30507,57.1419,7.645e-13,3.78998e-19,5.35303e-07,4.31845e-21,3.01608e-13,2.92177e-14,7.64517e-15,4.92953e-07,5.88409e-09,4.8051e-10,9.75228e-16,8.24163e-15,4.82017e-10,2.86721e-07,3.93158e-15,2.01714e-05,0.00650283
29,1722,164.554,195.422,8.35439e-07,0.1555,-0.155545,0.0486853,2.57767,53.6378,1.18126e-12,5.31004e-19,6.10901e-07,7.48599e-21,4.09205e-13,4.24502e-14,1.05561e-14,4.89574e-07,6.41396e-09,5.31271e-10,1.23422e-15,9.34757e-15,5.36762e-10,2.82337e-07,9.15902e-15,2.14329e-05,0.00654611
30,1499.5,170.312,196.411,8.35439e-07,0.174613,-0.174574,0.056895,2.89947,50.4494,1.83978e-12,7.49481e-19,6.99538e-07,1.34871e-20,5.56956e-13,6.26779e-14,1.46729e-14,4.85965e-07,6.96866e-09,5.91407e-10,1.58516e-15,1.07637e-14,5.96518e-10,2.77608e-07,1.97174e-14,2.28318e-05,0.00658585
31,1305.75,176.138,197.608,8.35439e-07,0.197527,-0.197586,0.0668818,3.28711,47.3279,2.88845e-12,1.06603e-18,8.0343e-07,2.54147e-20,7.60177e-13,9.39682e-14,2.05593e-14,4.82107e-07,7.54958e-09,6.63006e-10,2.06456e-15,1.25712e-14,6.60455e-10,2.72502e-07,3.96234e-14,2.44e-05,0.00662227
32,1137.04,182.038,199.012,8.35439e-07,0.22464,-0.22459,0.0790457,3.74797,44.3313,4.56723e-12,1.52756e-18,9.24603e-07,5.02864e-20,1.03981e-12,1.42715e-13,2.90928e-14,4.77981e-07,8.1598e-09,7.47916e-10,2.72056e-15,1.48429e-14,7.26645e-10,2.66981e-07,7.50069e-14,2.61787e-05,0.00665556
33,990.126,188.02,200.629,8.35439e-07,0.256841,-0.256916,0.093824,4.29601,41.4125,7.26304e-12,2.20335e-18,1.06444e-06,1.0455e-19,1.42387e-12,2.18837e-13,4.16412e-14,4.73567e-07,8.80365e-09,8.47816e-10,3.61534e-15,1.7633e-14,7.91692e-10,2.61011e-07,1.34838e-13,2.82205e-05,0.00668599
34,862.194,194.091,202.457,8.35439e-07,0.2946,-0.294542,0.111686,4.93921,38.5577,1.15938e-11,3.19508e-18,1.22341e-06,2.27445e-19,1.94803e-12,3.37108e-13,6.03099e-14,4.68845e-07,9.48777e-09,9.63904e-10,4.8244e-15,2.09468e-14,8.50567e-10,2.54552e-07,2.31824e-13,3.0591e-05,0.00671381
35,750.791,200.259,204.463,8.35439e-07,0.33824,-0.338325,0.133098,5.68222,35.8235,1.85252e-11,4.65361e-18,1.40066e-06,5.12823e-19,2.65525e-12,5.18052e-13,8.82044e-14,4.63797e-07,1.02213e-08,1.09575e-09,6.42603e-15,2.4672e-14,8.9662e-10,2.47573e-07,3.83515e-13,3.33992e-05,0.00673927
36,653.783,206.53,206.611,8.35439e-07,0.388233,-0.388167,0.158533,6.53499,33.2629,2.95488e-11,6.79143e-18,1.59388e-06,1.18216e-18,3.58899e-12,7.87302e-13,1.29425e-13,4.58408e-07,1.10153e-08,1.2416e-09,8.49199e-15,2.85646e-14,9.22265e-10,2.40044e-07,6.13608e-13,3.67299e-05,0.00676261
37,569.309,212.91,208.878,8.35439e-07,0.444151,-0.444245,0.188464,7.49257,30.8038,4.6945e-11,9.91071e-18,1.79925e-06,2.74657e-18,4.7857e-12,1.17333e-12,1.88708e-13,4.5267e-07,1.18803e-08,1.39836e-09,1.10777e-14,3.22573e-14,9.20493e-10,2.31949e-07,9.53432e-13,4.06909e-05,0.00678408
38,495.75,219.404,211.248,8.35439e-07,0.506501,-0.506427,0.223399,8.56553,28.5595,7.41778e-11,1.44422e-17,2.01185e-06,6.35187e-18,6.26686e-12,1.70349e-12,2.70577e-13,4.46575e-07,1.28247e-08,1.56174e-09,1.42171e-14,3.53137e-14,8.86928e-10,2.23282e-07,1.44351e-12,4.54232e-05,0.00680389
39,431.695,226.016,213.691,8.35439e-07,0.574537,-0.574634,0.263901,9.74716,26.4789,1.16425e-10,2.09912e-17,2.22614e-06,1.44814e-17,8.03673e-12,2.39885e-12,3.78106e-13,4.40124e-07,1.38538e-08,1.72504e-09,1.7902e-14,3.72596e-14,8.21629e-10,2.14053e-07,2.1351e-12,5.10946e-05,0.00682223
40,375.917,232.751,216.202,8.35439e-07,0.648934,-0.648848,0.310642,11.0526,24.552,1.81486e-10,3.04098e-17,2.4364e-06,3.2391e-17,1.00884e-11,3.27482e-12,5.12304e-13,4.33318e-07,1.49669e-08,1.88113e-09,2.20993e-14,3.77462e-14,7.2988e-10,2.04286e-07,3.0916e-12,5.79047e-05,0.00683926
41,327.345,239.614,218.793,8.35439e-07,0.72979,-0.729877,0.365043,12.4921,22.751,2.81292e-10,4.39507e-17,2.63694e-06,7.11098e-17,1.24242e-11,4.34711e-12,6.72769e-13,4.26161e-07,1.61583e-08,2.02246e-09,2.67586e-14,3.66262e-14,6.21278e-10,1.94027e-07,4.38964e-12,6.61842e-05,0.00685513
42,285.049,246.608,221.486,8.35439e-07,0.819384,-0.819276,0.429381,14.1016,21.0055,4.34371e-10,6.34763e-17,2.8227e-06,1.53834e-16,1.50724e-11,5.63922e-12,8.58623e-13,4.18659e-07,1.74208e-08,2.14067e-09,3.17988e-14,3.39535e-14,5.07177e-10,1.83335e-07,6.11973e-12,7.64024e-05,0.00687409
43,248.219,253.74,224.279,8.35439e-07,0.917147,-0.917207,0.504,15.8795,19.4044,6.68134e-10,9.13609e-17,2.99019e-06,3.28257e-16,1.80628e-11,7.17169e-12,1.06686e-12,4.10819e-07,1.87454e-08,2.22868e-09,3.70508e-14,2.99842e-14,3.97961e-10,1.72287e-07,8.38684e-12,8.87839e-05,0.00689578
44,216.147,261.016,227.172,8.35439e-07,1.02496,-1.02481,0.590779,17.8779,17.9757,1.02488e-09,1.31046e-16,3.13658e-06,6.93724e-16,2.14732e-11,8.97797e-12,1.29473e-12,4.02651e-07,2.01231e-08,2.28101e-09,4.23283e-14,2.51889e-14,3.01282e-10,1.60977e-07,1.13108e-11,0.000103803,0.00691698
