layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
62,19.2119,437.843,262.734,3.49318e-07,3.89185,-3.88987,3.53062,53.1621,7.22077,7.77211e-07,1.4445e-14,1.06547e-06,5.46353e-11,1.69496e-10,6.67301e-11,9.84537e-13,2.62066e-07,2.92241e-08,3.33287e-11,1.74174e-15,2.11983e-20,1.59839e-14,9.81078e-09,2.30669e-10,0.00242312,0.00743759
63,16.6984,448.115,261.259,3.49318e-07,3.73008,-3.7281,3.36724,50.7818,7.32738,9.56724e-07,1.5822e-14,9.51735e-07,7.9396e-11,1.76117e-10,6.93034e-11,9.01503e-13,2.59471e-07,2.93231e-08,2.41254e-11,1.17862e-15,7.85713e-21,9.03119e-15,8.40445e-09,2.39908e-10,0.00260262,0.00743048
64,14.5137,458.421,259.517,3.49318e-07,3.54897,-3.54719,3.18311,48.4041,7.44974,1.16279e-06,1.71399e-14,8.52661e-07,1.12947e-10,1.81731e-10,7.15118e-11,8.23216e-13,2.57461e-07,2.93984e-08,1.76279e-11,7.99535e-16,2.97425e-21,5.17133e-15,7.23496e-09,2.47877e-10,0.0027606,0.00742134
65,12.6149,468.751,257.595,3.49318e-07,3.35636,-3.35483,2.98627,46.0386,7.60258,1.39839e-06,1.83923e-14,7.6559e-07,1.57813e-10,1.86354e-10,7.33525e-11,7.49126e-13,2.55957e-07,2.94557e-08,1.30012e-11,5.44215e-16,1.14863e-21,2.99649e-15,6.26047e-09,2.54701e-10,0.00289719,0.00741074
66,10.9645,479.099,255.544,3.49318e-07,3.16001,-3.15877,2.78418,43.7328,7.77104,1.66724e-06,1.9581e-14,6.88682e-07,2.17179e-10,1.90016e-10,7.4828e-11,6.78969e-13,2.54885e-07,2.94994e-08,9.67686e-12,3.71975e-16,4.52227e-22,1.75479e-15,5.44643e-09,2.60511e-10,0.00301343,0.00739908
67,9.53002,489.457,253.391,3.49318e-07,2.96646,-2.96546,2.58344,41.5215,7.93508,1.97399e-06,2.07154e-14,6.20638e-07,2.9505e-10,1.92759e-10,7.59471e-11,6.12747e-13,2.54174e-07,2.95327e-08,7.26599e-12,2.55498e-16,1.81435e-22,1.03754e-15,4.76415e-09,2.65435e-10,0.00311101,0.00738656
68,8.28321,499.823,251.159,3.49318e-07,2.78051,-2.77975,2.38879,39.4243,8.06109,2.32444e-06,2.18083e-14,5.60336e-07,3.96516e-10,1.9463e-10,7.67206e-11,5.50415e-13,2.53759e-07,2.95583e-08,5.50205e-12,1.76461e-16,7.41421e-23,6.18845e-16,4.19044e-09,2.69598e-10,0.00319201,0.00737337
69,7.19952,510.193,248.937,3.49318e-07,2.60278,-2.60219,2.20145,37.0404,8.01801,2.7269e-06,2.28643e-14,5.06405e-07,5.28388e-10,1.95636e-10,7.71362e-11,4.91354e-13,2.53583e-07,2.9578e-08,4.20161e-12,1.22562e-16,3.08028e-23,3.7171e-16,3.7061e-09,2.73108e-10,0.00325864,0.00736009
70,6.25761,520.567,246.764,3.49318e-07,2.43533,-2.43489,2.02321,35.0482,8.04083,3.19141e-06,2.38954e-14,4.58035e-07,6.99389e-10,1.95804e-10,7.71928e-11,4.35522e-13,2.53593e-07,2.95934e-08,3.23463e-12,8.56178e-17,1.29933e-23,2.2454e-16,3.29544e-09,2.76065e-10,0.00331298,0.00735122
71,5.43892,530.945,244.642,3.49318e-07,2.27973,-2.27938,1.85553,33.4446,7.97935,3.72904e-06,2.49135e-14,4.14625e-07,9.2056e-10,1.95198e-10,7.69148e-11,3.83394e-13,2.53743e-07,2.96054e-08,2.50949e-12,6.01638e-17,5.56131e-24,1.36337e-16,2.94566e-09,2.78552e-10,0.00335694,0.00734561
72,4.72735,541.33,242.563,3.49318e-07,2.13556,-2.1353,1.69798,31.6535,7.80595,4.34969e-06,2.59134e-14,3.75421e-07,1.20616e-09,1.94026e-10,7.63993e-11,3.35955e-13,2.53993e-07,2.96149e-08,1.9618e-12,4.25252e-17,2.41453e-24,8.32579e-17,2.64648e-09,2.80643e-10,0.00339221,0.00734004
73,4.10887,551.722,240.56,3.49318e-07,1.99911,-1.9989,1.54715,30.138,7.53593,5.05946e-06,2.68502e-14,3.39261e-07,1.57658e-09,1.92779e-10,7.58743e-11,2.94525e-13,2.54306e-07,2.96225e-08,1.54635e-12,3.02186e-17,1.06258e-24,5.12364e-17,2.38948e-09,2.82401e-10,0.00342028,0.00733461
74,3.57131,562.125,238.655,3.49318e-07,1.86818,-1.86803,1.40086,28.6637,7.18045,5.86291e-06,2.76798e-14,3.05446e-07,2.06428e-09,1.92326e-10,7.57107e-11,2.60321e-13,2.54648e-07,2.96287e-08,1.23055e-12,2.15967e-17,4.74421e-25,3.18935e-17,2.16774e-09,2.83874e-10,0.00344237,0.0073294
75,3.10407,572.541,236.881,3.49318e-07,1.74813,-1.74801,1.26346,27.4063,6.74861,6.79458e-06,2.84849e-14,2.74737e-07,2.72162e-09,1.93055e-10,7.59857e-11,2.31795e-13,2.54988e-07,2.96338e-08,9.88496e-13,1.55534e-17,2.15075e-25,2.00863e-17,1.97559e-09,2.85105e-10,0.00345952,0.00732452
76,2.69797,582.977,235.291,3.49318e-07,1.65287,-1.65278,1.14887,26.6187,6.25801,7.98144e-06,2.9634e-14,2.49854e-07,3.62074e-09,1.93419e-10,7.58072e-11,2.03003e-13,2.55291e-07,2.96381e-08,7.96966e-13,1.13128e-17,9.85504e-26,1.26448e-17,1.80828e-09,2.86135e-10,0.00347276,0.00732013
77,2.34499,593.442,233.948,3.49318e-07,1.6019,-1.60182,1.0747,26.2995,5.74186,9.70247e-06,3.17926e-14,2.34182e-07,4.83378e-09,1.89462e-10,7.31919e-11,1.66664e-13,2.55525e-07,2.96418e-08,6.36756e-13,8.3052e-18,4.50013e-26,7.74913e-18,1.66191e-09,2.87003e-10,0.0034832,0.00731642
78,2.0382,603.947,232.837,3.49318e-07,1.60667,-1.60661,1.05242,26.5604,5.23462,1.23952e-05,3.57291e-14,2.29735e-07,6.39477e-09,1.77496e-10,6.65099e-11,1.22352e-13,2.55666e-07,2.96452e-08,4.98922e-13,6.13995e-18,2.02254e-26,4.50706e-18,1.53318e-09,2.87746e-10,0.00349179,0.00731336
79,1.77154,614.499,231.858,3.49318e-07,1.66557,-1.6655,1.07982,27.2506,4.76342,1.6594e-05,4.20062e-14,2.3567e-07,8.26733e-09,1.57773e-10,5.63028e-11,7.89451e-14,2.55702e-07,2.96481e-08,3.8514e-13,4.57311e-18,8.99994e-27,2.47547e-18,1.41952e-09,2.88396e-10,0.00349923,0.00731066
80,1.53977,625.102,230.858,3.49318e-07,1.76404,-1.76398,1.1424,28.2924,4.34371,2.28255e-05,5.07751e-14,2.48656e-07,1.03527e-08,1.34294e-10,4.494e-11,4.56081e-14,2.55644e-07,2.96507e-08,2.97774e-13,3.44115e-18,4.04885e-27,1.30479e-18,1.31888e-09,2.88977e-10,0.00350589,0.00730788
81,1.33832,635.749,229.691,3.49318e-07,1.88046,-1.8804,1.21979,29.5597,3.98863,3.14961e-05,6.17429e-14,2.6427e-07,1.25254e-08,1.11217e-10,3.45966e-11,2.44855e-14,2.55512e-07,2.96529e-08,2.3368e-13,2.61616e-18,1.87228e-27,6.75221e-19,1.2297e-09,2.89502e-10,0.00351184,0.00730461
82,1.16323,646.432,228.237,3.49318e-07,1.99577,-1.99571,1.29299,30.927,3.703,4.28107e-05,7.42951e-14,2.78506e-07,1.46687e-08,9.07974e-11,2.62352e-11,1.26877e-14,2.55336e-07,2.96549e-08,1.86882e-13,2.0038e-18,8.94085e-28,3.49346e-19,1.1507e-09,2.89978e-10,0.003517,0.00730049
83,1.01105,657.134,226.423,3.49318e-07,2.09637,-2.09632,1.34782,32.3097,3.49524,5.67209e-05,8.76319e-14,2.88463e-07,1.66898e-08,7.36445e-11,1.98896e-11,6.54215e-15,2.55139e-07,2.96566e-08,1.52066e-13,1.54185e-18,4.40016e-28,1.82736e-19,1.08087e-09,2.90409e-10,0.00352124,0.00729531
